treedepth,sentences
6,കാനകളില്‍ ഇറക്കിവെച്ചിരിക്കുന്ന തൈകള്‍ ആണ് എങ്കില്‍ തൈകള്‍ക്ക് ചുറ്റും ഉള്ള മണ്ണ് ശ്രദ്ധാപൂര്‍വം മാറ്റിയ ശേഷം കൂടകള്‍ കാനയില്‍ ‍നിന്നും പുറത്തെടുക്കണം .
5,പക്കവേരുകളോ തായ്‌വേരുകളോ കൂടയ്ക്ക് പുറത്തേക്ക് വളര്‍ന്നിട്ടുണ്ട് എങ്കില്‍ അവ മുറിച്ച് മാറ്റുകയും വേണം .
5,മാറ്റി നടുന്നതിന് തൊട്ടുമുമ്പ് ഉള്ള ഒരു ദിവസം കൂടയിലെ മണ്ണില്‍ വെള്ളം ഒഴിക്കാന്‍പാടില്ല .
7,ഇങ്ങനെ ചെയ്താല്‍ പോളിത്തീന്‍കൂട കീറി മാറ്റുമ്പോള്‍ അതിന് അകത്തെ മണ്‍കട്ട പൊടിഞ്ഞുപോകാന്‍ ഉള്ള സാധ്യത ഉണ്ട്. .
6,തോട്ടത്തില്‍ തയ്യാറാക്കിയിട്ടിട്ടുള്ള കുഴിയുടെ മധ്യഭാഗത്ത് ആയി പോളിത്തീന്‍കൂടയുടെ വലിപ്പത്തേക്കാള്‍ കുറച്ച് കൂടി വലിപ്പം ഉള്ള ഒരു കുഴി ഉണ്ടാക്കുക .
7,കൂട തൈയോടു കൂടി കുഴിയില്‍ ഇറക്കിവെക്കുന്നതിന് മുമ്പ് ആയി കൂടയുടെ അടിവശം ഒരു ബ്ലെയിഡോ കത്തിയോ ഉപയോഗിച്ച് പൂര്‍ണമായി മുറിച്ചുമാറ്റണം .
5,അടിവശം കീറിമാറ്റിയ കൂട സാവധാനം തൈ നടാന്‍ തയ്യാറാക്കിയിട്ടിട്ടുള്ള കുഴിയില്‍ ഇറക്കിവെക്കണം .
4,ഇറക്കിവെച്ചതിനു ശേഷം പകുതിക്ക് താഴെ ഉള്ള പോളിത്തീന്‍ ഒരു വശത്ത് നെടുനിളത്തില്‍ ബ്ലെയിഡോ കത്തിയോ ഉപയോഗിച്ച് കീറണം .
4,കീറിയ ഭാഗത്തെ പോളിത്തീന്‍ മുകളിലേക്ക് വലിച്ച് ഉയര്‍ത്തിയ ശേഷം അത്രയും ഭാഗം ( കൂട മാറ്റിയ ഭാഗം ) മണ്ണ് ഇട്ട് ഉറപ്പിക്കണം .
8,ഇങ്ങനെ മണ്ണ് ഇട്ട് ഉറപ്പിക്കുമ്പോള്‍ തൈയുടെ വേരിന് ചുറ്റും ഉള്ള മണ്‍കട്ടി ഉടഞ്ഞ് വേരിന് ഇളക്കം തട്ടാതെ സൂക്ഷിക്കണം .
3,അതിനു ശേഷം ബാക്കിഭാഗം കൂടി കീറി പോളിത്തീന്‍കൂട എടുത്തുമാറ്റിയ ശേഷം മണ്ണ് ഇട്ട് ചുറ്റും തറനിരപ്പ് വരെ ഉറപ്പിക്കണം .
5,റബ്ബര്‍തൈകള്‍ നടുന്നതിന് കുറച്ചു മുമ്പോ തൈകള്‍ നടുന്നതിനോട് ഒപ്പമോ തോട്ടത്തില്‍ തോട്ടപ്പയറും ( ആവരണവിള ) പിടിപ്പിക്കേണ്ടത് ആണ് .
5,ആവര്‍ത്തനകൃഷി ചെയ്യുന്ന തോട്ടങ്ങളില്‍ കഴിയുമെങ്കില്‍ റബ്ബര്‍തൈകള്‍ നടുന്നതിന് ഒരു വര്‍ഷം മുമ്പു് തന്നെ തോട്ടപ്പയര്‍ പിടിപ്പിച്ചാല്‍ നന്നായിരിക്കും .
7,തോട്ടപ്പയര്‍ പിടിപ്പിച്ചാല്‍ അത് റബ്ബര്‍ മരങ്ങളുടെ വളര്‍ച്ചയെ ത്വരിതപ്പെടുത്തുകയും ഉത്പാദനക്ഷമത വര്‍ധിപ്പിക്കുകയും ചെയ്യും എന്ന് ഉള്ളതിന് പുറമേ തോട്ടംസംരക്ഷണത്തിന്റെ ചെലവ് വളരെ ഏറെ കുറയ്ക്കാനും സഹായിക്കും .
4,വിത്ത് പാകിയോ തണ്ടുകള്‍ മുറിച്ചുനട്ടോ തോട്ടപ്പയര്‍ പിടിപ്പിക്കാം .
3,"കൂടുതല്‍ വിവരങ്ങള്‍ക്ക് ഫോണ്‍ : 04712572060 , 8281436960 ."
4,കളയില്ലാക്കൃഷിക്ക് ആയി മണ്ണിന് മുകളില്‍ പ്ലാസ്റ്റിക്ഷീറ്റിന് പകരം മള്‍ച്ചിങ് രീതി ചെലവേറിയത് .
6,ഫലപ്രദമായതും ചെലവേറിയതും ആയ മള്‍ച്ചിങ് കൂടുതല്‍ ആദായകരം ആക്കാന്‍ ആണ് സന്തോഷ് മള്‍ച്ചിങ്ങിന് പകരം ആയി പ്ലാസ്റ്റിക് ചാക്കുകള്‍ പരീക്ഷിച്ചത് .
2,പദ്ധതി ലക്ഷ്യം കണ്ടു .
3,ചെലവ് എട്ടിലൊന്ന് ആയി ചുരുങ്ങി .
3,മലമ്പുഴ പന്നിമടയിലെ 15ഏക്കര്‍ കൃഷിയിടത്തില്‍ അഞ്ചേക്കറില്‍ ആണ് ചാക്ക് ഇട്ട് പരീക്ഷണം നടത്തിയത് .
4,അഞ്ച് ഏക്കറും ഇപ്പോള്‍ കള ഇല്ലാ പാടം .
5,59ഏക്കറില്‍ പാട്ടത്തിനും 50സെന്റ് സ്വന്തം ഭൂമിയിലും കൃഷി നടത്തുന്ന 36കാരന്‍ ആയ സന്തോഷ് ചാക്ക് ഉപയോഗിച്ച് ഉള്ള കളനിയന്ത്രണം കൂടുതല് ഇടത്തിലേക്ക് വ്യാപിപ്പിക്കാന്‍ പോകുകയാണ് .
6,പത്രസ്ഥാപനത്തിലെ ജോലി വിട്ട് കൃഷിയിലേക്ക് ഇറങ്ങിയ മലമ്പുഴസ്വദേശിയായ സന്തോഷ് മുമ്പ് സാധാരണരീതിയില്‍ ഉള്ള മള്‍ച്ചിങ്കൃഷിസമ്പ്രദായം പരീക്ഷിച്ചിരുന്നു .
2,പ്ലാസ്റ്റിക്ഷീറ്റ് മീറ്ററിന് എട്ട് രൂപ വന്നു .
4,അപ്പോഴ് ആണ് പാഴായിപ്പോകുന്ന പ്ലൂസ്റ്റിക് ചാക്കുകളെ പറ്റി ചിന്തിച്ചത് .
3,മൊത്തമായി എടുത്തപ്പോള്‍ ചാക്ക് ഒന്നിന് ഒരുരൂപ നിരക്കില്‍ കിട്ടി .
3,പന്നിമടയിലെ തോട്ടത്തില്‍ അഞ്ച് ഏക്കറില്‍ മുളകുകൃഷി ഉണ്ട് .
3,ഇതില്‍ ആണ് ചാക്കുപുതപ്പ് പരീക്ഷണം വിജയിച്ചിരിക്കുന്നത് .
4,ചെറിയ തോതില്‍ കൃഷി തുടങ്ങിയ സന്തോഷ് കൃഷിയിടം വിപുലമാക്കിയത് ആണ് .
6,"ഇതിന് ഇടെ , വി . എഫ് . പി . സി . കെയുടെ സംസ്ഥാനത്തെ മികച്ച കര്‍ഷകന്‍ ഉള്ള പുരസ്‌കാരവും കിട്ടി ."
5,"മണ്ഡലക്കാലത്ത് വിളവ് എടുക്കുന്ന രീതിയില്‍ ഇപ്പോള്‍ ആറ്നേന്ത്രന്‍ , സ്വര്‍ണമുഖി ഇനം വാഴയുടെ കൃഷി ഉണ്ട് ."
5,കൂടുതല്‍ വലിയ കുല തരുന്ന ഈ ഇനങ്ങള്‍ കരുത്തുറ്റവ ആയതിനാല്‍ താങ്ങ് വേണ്ട എന്ന പ്രത്യേകതയും ഉണ്ട് .
3,ഇവയുടെ കന്നില്‍ നിന്ന് ടിഷ്യൂകള്‍ച്ചര്‍ രീതിയില്‍ ആണ് വാഴക്കന്നുകള്‍ സന്തോഷ് ഉത്പാദിപ്പിക്കുന്നത് .
4,പാലക്കാട്ടെ കാലാവസ്ഥയില്‍ വളരുന്ന എല്ലായിനങ്ങളും സന്തോഷിന്റെ കൃഷിയിടത്തില്‍ ഉണ്ട് .
5,കൂര്‍ക്ക അനായാസം തൊലി കളഞ്ഞ് വൃത്തിയാക്കാവുന്ന ലഘുയന്ത്രം തവന്നൂര്‍ കാര്‍ഷിക എന്‍ജിനീയറിങ് കോളേജിലെ ഫാം പവര്‍ മെഷിനറി വിഭാഗം മേധാവി പി . ആര്‍ . ജയന്റെ നേതൃത്വത്തില്‍ രൂപപ്പെടുത്തിയിട്ടുണ്ട് .
3,ഇത് ഉപയോഗിച്ച് മണിക്കൂറില്‍ ഏകദേശം 15കിലോ കൂര്‍ക്ക വരെ തൊലി കളഞ്ഞ് വൃത്തിയാക്കാം .
7,0.5 എച്ച് . പി . 1400 ആ . പി . എം . വേഗത്തില്‍ ഉള്ള വൈദ്യുതിമോട്ടോറും തൊലി നീക്കംചെയ്യുന്ന വയര്‍മെഷും ആണ് പ്രധാനഭാഗങ്ങള്‍ .
4,കൂര്‍ക്ക പീലിങ്യൂണിറ്റില്‍ ഇട്ട് ആവശ്യത്തിന് വെള്ളം ഒഴിച്ച് മോട്ടോര്‍ പ്രവര്‍ത്തിപ്പിച്ചാല്‍ കൂര്‍ക്കത്തൊലി നീങ്ങിക്കിട്ടും .
5,വിശദാംശങ്ങള്‍ക്ക് : 0494 2686214 എന്ന ഫോണ്‍നമ്പറിലോ jayan.pr@kau.in എന്ന ഇ-മെയില്‍ വിലാസത്തിലോ ബന്ധപ്പെടുക .
3,മുളകിലും പൊടിയിലും മാരകവിഷം എന്ന് കണ്ടെത്തല്‍ .
1,കൊച്ചി :
5,കേരളത്തില്‍ എത്തുന്ന പച്ചക്കറിയിലും പഴത്തിലും പുറമെ പലവ്യഞ്ജനങ്ങളിലും മാരകമായ തോതില്‍ വിഷാംശം .
4,കൃഷിവകുപ്പിന്റേയും കാര്‍ഷിക സര്‍വകലാശാലയുടേയും സംയുക്ത പരിശോധനയില്‍ ആണ് ഈ കണ്ടെത്തല്‍ .
5,കഴിഞ്ഞ ജനവരി മുതല്‍ മാര്‍ച്ച് വരെ വിവിധ ജില്ലകളിലെ പൊതുവിപണിയില്‍ നിന്ന് ശേഖരിച്ച സാമ്പിളുകള്‍ ആണ് പരിശോധിച്ചത് .
3,പരിശോധനാപരമ്പരയുടെ ആറാമത്തെ റിപ്പോര്‍ട്ട് സര്‍ക്കാര്‍ പുറത്തു വിട്ടു .
9,പല ബ്രാന്‍ഡുകളുടെ പേരില്‍ പാക്കറ്റില്‍ ലഭിക്കുന്ന 24 ഇനം സുഗന്ധദ്രവ്യങ്ങള് മസാലപ്പൊടികള്‍ എന്നിവയുടെ 110 സാമ്പിള്‍ പരിശോധിച്ചതില്‍ ആറ് ഇനത്തില്‍ പെട്ട 13 സാമ്പിളുകള്‍ വിഷാംശപരിധി ലംഘിച്ചതായി വ്യക്തം ആയിരുന്നു .
6,"ഏലയ്ക്ക , ജീരകം , തൈരുമുളക് ( കൊണ്ടാട്ടം ) , സാധാരണ മുളകുപൊടി , കശ്മീരിമുളകുപൊടി , വറ്റല്‍മുളക് എന്നിവയുടെ സാമ്പിളില്‍ അപകടസാദ്ധ്യത ഉള്ള അളവില്‍ വിഷാംശം കണ്ടെത്തി ."
4,"സാധാരണ മുളകുപൊടിയുടെ നാല് സാമ്പിളില്‍ , ക്‌ളോര്‍പൈറിഫോസ് , സൈപെര്‍മെത്രിന്‍ , എത്തയോണ്‍ എന്നീ കീടനാശിനികള്‍ ആണ് കണ്ടെത്തിയത് ."
5,"കശ്മീരിമുളകുപൊടിയുടെ ബ്രാന്‍ഡുകളില്‍ സൈപെര്‍മെത്രിന്‍ , എത്തയോണ്‍ എന്നീ കീടനാശിനികളുടെ സാന്നിധ്യവും കണ്ടു ."
7,"ഇത്വരെ നടത്തിയ സാമ്പിള്‍ പരിശോധനകള്‍ എല്ലാം സൂചിപ്പിക്കുന്നത് , എല്ലാത്തരം മുളകിലും മുളക് ഉത്പന്നങ്ങളിലും ബ്രാന്‍ഡ് ചെയ്ത മുളക്പൊടിയിലും രണ്ടില്‍ ഏറെ കീടനാശിനികളുടെ സാന്നിദ്ധ്യം ഉണ്ട് എന്ന് ആണ് ."
7,"അയമോദകം , മല്ലിപ്പൊടി , പൊടിച്ചമുളക് , ജീരകപ്പൊടി , പെരുംജീരകം , ഗോബിമഞ്ചൂരിയന്‍ മസാല , ഉലുവയില ഉണക്കിയത് എന്നിവയുടെ സാമ്പിളിലും വിഷാംശം കണ്ടു എങ്കിലും അത് പരിധിക്ക് താഴെ ആയിരുന്നു ."
4,"പാവയ്ക്കാകൊണ്ടാട്ടം , കുരുമുളകുപൊടി , കറിമസാല , കരീജീരകം , രസംപൊടി , സാമ്പാര്‍പൊടി , തക്കാളിവറ്റല്‍ , പെരുംജീരകപൊടി , ഗരംമസാല , ഉലുവ , ഉലുവപ്പൊടി എന്നിവ പൂര്‍ണമായും വിഷരഹിതം ആയി കണ്ടു ."
9,"തിരുവനന്തപുരം , എറണാകുളം , കോഴിക്കോട് , കാസര്‍ഗോഡ് നഗരങ്ങളിലെ പച്ചക്കറിക്കടകള്‍ , സൂപ്പര്‍ / ഹൈപ്പര്‍ മാര്‍ക്കറ്റുകള്‍ എന്നിവിടങ്ങളില്‍ നിന്ന് ശേഖരിച്ച 40 ഇനം പച്ചക്കറികളുടെ 125 സാമ്പിളുകളും ഇക്കൂട്ടത്തില്‍ പരിശോധിച്ചിരുന്നു ."
7,"കറിവേപ്പില , കോളിഫ്‌ലവര്‍ എന്നിവയുടെ ഓരോ സാമ്പിളില്‍ അപകടസാധ്യത ഉള്ള അളവില്‍ വിഷാംശം കണ്ടെത്തി ."
4,"ബീന്‍സ് , പടവലം , പച്ചമുളക് , മുരിങ്ങക്ക , ചുവപ്പ്ചീര , പയര്‍ എന്നിവയില്‍ പരിധിക്ക് താഴെ മാത്രം ആയിരുന്നു വിഷാംശം ."
6,"തിരുവനന്തപുരം നഗരത്തിലെ മൂന്ന് ജൈവപച്ചക്കറി മാര്‍ക്കറ്റുകളില്‍ നിന്ന് ശേഖരിച്ച 35 ഇനം പച്ചക്കറികളില്‍ കറിവേപ്പില , പയര്‍ , കോവക്ക എന്നിവയുടെ ഒന്നോ രണ്ടോ സാമ്പിളില്‍ അപകടസാധ്യത ഉള്ള അളവിലും പച്ചമുളകിന്റെ രണ്ട് സാമ്പിളില്‍ പരിധിക്ക് താഴെയും ആണ് വിഷാംശം കണ്ടത് ."
5,"തിരുവനന്തപുരം , എറണാകുളം , കാസര്‍ഗോഡ് ജില്ലകളില് നിന്ന് പതിമൂന്ന് ഇനം പഴവര്‍ഗങ്ങളുടെ സാമ്പിള്‍ പരിശോധിച്ചതില്‍ ഒന്നില്‍ പോലും പരിധിക്ക് മുകളില്‍ വിഷാംശം ഇല്ലായിരുന്നു ."
7,"തിരുവനന്തപുരം , കാസര്‍ഗോഡ് ജില്ലകളില്‍ നിന്ന് ശേഖരിച്ച ആറ് ഇനം ഉണങ്ങിയ പഴവര്‍ഗങ്ങളില്‍ രണ്ട് ഇനത്തില്‍ പെട്ട ഉണക്കമുന്തിരിയില്‍ അപകടസാധ്യത ഉള്ള അളവില്‍ വിഷാംശം കണ്ടു ."
3,വെള്ളായണി കാര്‍ഷികകോളേജിലെ ' കീടനാശിനി അവശിഷ്ട വിഷാംശ പരിശോധന ലബോറട്ടറിയില്‍ ആണ് സാമ്പിളുകള്‍ പരിശോധിച്ചത് .
8,"കീടനാശിനി 100 കോടിയില്‍ ഒരു അംശം വരെ അളക്കുന്ന ഗ്യാസ് ക്രൊമറ്റോഗ്രാഫ് , ലിക്വിഡ് ക്രൊമറ്റോഗ്രാഫ് , മാസ്സ് സ്‌പെക്ട്രോമീറ്റര്‍ എന്നീ ഉപകരണങ്ങളും ഉള്ള അന്താരാഷ്ട്ര നിലവാരത്തില്‍ ഉള്ള സര്‍ക്കാര്‍ തലത്തിലെ ഏക അക്രഡിറ്റഡ്ലബോറട്ടറി ആണ് ഇത് ."
10,"ഭക്ഷ്യവസ്തുക്കള്‍ സ്ഥിരമായി ഉപയോഗിക്കുമ്പോള്‍ അപകടസാധ്യത ഉണ്ടോ എന്നു വിലയിരുത്താന്‍ , ഫുഡ് സേഫ്റ്റി ആന്‍ഡ് സ്റ്റാന്‍ഡേര്‍ഡ്‌സ് അതോറിട്ടി ഓഫ് ഇന്ത്യയോ യൂറോപ്യന്‍ യൂണിയനോ നിശ്ചയിച്ച പരിധികള്‍ ആണ് മാനദണ്ഡം ആക്കിയത് എന്ന് കാര്‍ഷികകോളേജ് പ്രൊഫസര്‍ ഡോ തോമസ് ബിജു മാത്യു പറഞ്ഞു ."
6,ക്വാറികളിലും വീട്ടുവളപ്പിലെ കൃത്രിമ ടാങ്കുകളിലും അലങ്കാരമത്സ്യം വളര്‍ത്തി ഇത് ഒരു ബമ്പര്‍ വ്യവസായം ആണ് എന്നു തെളിയിക്കുക ആണ് ബോണിജോസഫ് .
3,"കോഴിക്കോട് , തിരുവമ്പാടി സ്വദേശി ബോണി ഏഴ് വര്‍ഷം മുമ്പ് ആണ് അലങ്കാര മത്സ്യകൃഷിലേക്ക് തിരിയുന്നത് ."
3,ഇന്നു കേരളത്തിലെ ഏറ്റവും മികച്ച അലങ്കാരമത്സ്യ സംരംഭകരില്‍ ഒരാള്‍ ആണ് ബോണി .
5,ആറ്ഏക്കര്‍ വിസ്തൃതിയില്‍ ഉള്ള വീട്ടുവളപ്പില്‍ രണ്ടരഏക്കര്‍ മത്സ്യടാങ്കുകള്‍ക്ക് ആയി മാറ്റിവെച്ചിരിക്കുക ആണ് .
6,അടിഭാഗം സിമന്റ്് ചെയ്യാത്ത 60 സിമന്റുടാങ്കുകളില്‍ കട്ടികൂടിയ സില്‍പ്പോളിന്‍ഷീറ്റുകള്‍ വിരിച്ച് അതില്‍ ആണ് പ്രധാനമായും മത്സ്യംവളര്‍ത്തല്‍ .
4,പറമ്പില്‍ തന്നെ മഴവെള്ളസംഭരണത്തിന്‍ ഉള്ള പടുതാകുളങ്ങള്‍ ഉണ്ട് .
4,ഇവയില്‍ സംഭരിക്കപ്പെടുന്ന മഴവെള്ളം ടാങ്കുകളില്‍ നിറയ്ക്കുന്നു .
3,രണ്ട് ആഴ്ചയില്‍ ഒരിക്കല്‍ വെള്ളം മാറ്റി പുതിയ വെള്ളം നിറച്ചുകൊടുക്കുന്നുണ്ട് .
4,ജലത്തിലെ ഓക്‌സിജന്റെ തോത് നിലനിര്‍ത്താന്‍ ഇത് അത്യാവശ്യം ആണ് .
6,മത്സ്യത്തിന്റെ കാഷ്ഠവും മറ്റും വീണ് ജലം മലിനം ആകുന്നതു തടയാന്‍ ഫില്‍റ്ററേഷന്‍ സംവിധാനം ഉണ്ട് .
4,"ജോഡിക്ക് 10 രൂപ മുതല്‍ 10,000 രൂപ വരെ വില ഉള്ള അലങ്കാരമത്സ്യങ്ങളെ ബോണി വളര്‍ത്തുന്നുണ്ട് ."
3,മുട്ടയിടുന്നവയും പ്രസവിക്കുന്നവയും ഇതില്‍ പെടും .
3,"ഓസ്‌കാര്‍ , വൈറ്റ്ഷാര്‍ക്ക് , ട്രീന്‍ടെറര്‍ , റെഡ്സ്വോര്‍ഡ്ടെയ്ല്‍ , കോയികാര്‍പ്പ് , മൂണ്‍ലൈറ്റ് , ഗൗരാമി തുടങ്ങി വര്‍ണാഭംആയ നിരവധി മത്സ്യങ്ങള്‍ ."
9,ടാങ്കുകളിലെ വെള്ളം അധികം മലിനം ആകാത്ത വിധം തീറ്റ നല്‍കുന്നതിനും വെള്ളം ടാങ്കില്‍ നിറഞ്ഞൊഴുകുന്നതു തടയുന്നതിനും ഒക്കെ ഉള്ള സംവിധാനങ്ങള്‍ ഉണ്ട് .
6,"ഉണക്കച്ചെമ്മീന്‍ , മണ്ണിര , പുഴുങ്ങിയ മത്സ്യം , വിപണിയില്‍ നിന്നും വാങ്ങുന്ന മത്സ്യത്തീറ്റ എന്നിവ ഒക്കെ മത്സ്യങ്ങള്‍ക്ക് നല്‍കുന്നു ."
3,മത്സ്യങ്ങളുടെ പ്രജനനത്തിന് പ്രത്യേകം ടാങ്കുകള്‍ ഉണ്ട് .
5,മുട്ടകളെയും കുഞ്ഞുങ്ങളെയും ശേഖരണത്തിനും പ്രാരംഭ പരിപാലനത്തിനും ഒക്കെ വേണ്ട സംവിധാനങ്ങളും ഉണ്ട് .
4,ഒരേക്കറില്‍ ഏറെ വിസ്തൃതി ഉള്ള ക്വാറിയിലും ബോണി ലാഭകരമായി മത്സ്യം വളര്‍ത്തുന്നുണ്ട് .
4,ജൂണില്‍ തുടങ്ങുന്ന മത്സ്യകൃഷി അടുത്ത മെയ്‌ വരെ നീളുന്നു .
3,മെയില്‍ വെള്ളം വറ്റിച്ചു മത്സ്യങ്ങളെ പിടിച്ചുവില്‍ക്കും .
4,ക്വാറിയിലെ വെള്ളത്തെ വീട്ടുവളപ്പിലെ ടാങ്കുകളും ആയി ബന്ധിച്ചിട്ടുണ്ട് .
4,വെള്ളം നിറയ്ക്കാനും വറ്റിക്കാനും ഒക്കെ ഇതു സഹായകരം ആകുന്നു .
6,ക്വാറിയിലെ വെള്ളത്തിന് മീതെ നെറ്റ് അടിച്ച് നീര്‍കാക്കകളും മറ്റും മത്സ്യങ്ങളെ പിടിക്കുന്നത് ഒഴിവാക്കേണ്ടതുണ്ട് എന്ന് ബോണി ചൂണ്ടിക്കാട്ടി .
4,മത്സ്യംവളര്‍ത്തലിന്‍ ഒപ്പം ജലസസ്യങ്ങളുടെയും അലങ്കാരആമകളുടെയും വ്യവസായവും പുരോഗമിക്കുന്നു .
