,number,sentences
12,,ರೋಹತಂಗವರೆಗೆ ಏರಿಕೆ ಮತ್ತು ನಂತರ ಇಳಿಕೆ .
13,,"ಮೊದಲು ಚಂದ್ರ ನದಿಯ ಕರಾವಳಿ ಪ್ರಯಾಣ , ನಂತರ ಬಾಗ ನದಿಯ ."
14,,ಈ ಎರಡೂ ನದಿಗಳು ತಂದಿ ಸಂಗಮದಲ್ಲಿ ಚಂದ್ರ ಭಗ ನದಿ ಆಗಿ ಹೋಗುತ್ತವೆ ಮತ್ತು ಮುಂದೆ ಹೋಗಿ ಚಿನಬ್ .
15,sg,"ಸಮುದ್ರ ತಳದಿಂದ 3,150 ಮೀಟರಿನ ಎತ್ತರವಾದ ಕೆಲಂಗ್ 8ನೇ ಶತಮಾನದ ಗುರುಘಂಟಾಲ ಗೊಂಪ ಬೌದ್ಧ ಮಂದಿರದ ಅನನ್ಯ ಕಲಾತ್ಮಕವಾಗಿ ಪ್ರಸಿದ್ಧ ಆಗಿದೆ ."
16,sg,ಕರದಂಗ್ ಗೊಂಪಾದ ಪುಸ್ತಕಾಲಯ ಮತ್ತು ಚಿತ್ರ ಸಂಗ್ರಹಾಲಯ ಆಶ್ಚರ್ಯಚಕಿತ ಮಾಡುತ್ತದೆ .
17,,ಈ ಸ್ಥಳ ಪದ್ಮಸಂಭವದ ನೆನೆಪು ನೀಡುತ್ತದೆ ಯಾರು ಇಲ್ಲಿ ಇದರ ಅಡಿಪಾಯ ಇಟ್ಟಿದ್ದರು .
18,,"ಕೆಲಂಗ್ ಲಾಹುಲ್ ಸ್ಪಿತಿಯ ಅತ್ಯಂತ ದೊಡ್ಡ ವ್ಯಾಪಾರ ಕೇಂದ್ರ ಮತ್ತು ಮುಖ್ಯ ಮಾರುಕಟ್ಟೆ ಕೂಡ ಆಗಿದೆ , ಅಲ್ಲಿ ಪ್ರವಾಸಿಗರು ಉಣ್ಣೆಯ ಬಟ್ಟೆ , ಬೌದ್ಧ ಮೂರ್ತಿ ಮತ್ತು ಅಲಂಕಾರಿಕ ವಸ್ತುಗಳನ್ನು ಖರೀದಿಸಬಹುದು ."
19,,"ಕೆಲಂಗ್ ಲಾಹುಲ್ ಸ್ಪಿತಿಯ ಅತ್ಯಂತ ವಿಶಿಷ್ಟ ಮತ್ತು ರಹಸ್ಯ ಸ್ಥಳ ಆಗಿದೆ ಅಲ್ಲಿ ಯಾವುದೇ ಜನಸಂಖ್ಯೆ ಇಲ್ಲ , ಯಾವುದೇ ಅಂಗಡಿಗಳು ಇಲ್ಲ ."
20,sg,ಕೇವಲ ಕೆರೆ 3 ಕಿಲೋಮೀಟರ್ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಶಾಂತ ಮತ್ತು ಸ್ತಬ್ಧ ಕಂಡುಬರುತ್ತದೆ .
21,sg,ಬೆಳದಿಂಗಳ ರಾತ್ರಿಯಲ್ಲಿ ಕೆಲಂಗಿನಲ್ಲಿ ಉಳಿಯುವುದು ಒಂದು ಹೊಸ ಜಗತ್ತಿನಲ್ಲಿ ತಲುಪುವುದಾಗಿದೆ .
22,sg,ಲೇಖಕ ಸ್ವತಃ ಕೆಲಂಗಿನಲ್ಲಿ ತಮ್ಮ ಡೇರೆಯನ್ನು ಸ್ಥಾಪಿಸಿದ್ದಾರೆ .
23,sg,ಪೂರ್ಣ ಚಂದ್ರನ ಕೆಳಗೆ ಸರೋವರದ ನಿಧಾನ ಗಾಳಿಯಿಂದ ನರ್ತಿಸುತ್ತಿದ್ದರೆ ಬೆಳದಿಂಗಳು ನರ್ತಕಿಯ ರೂಪ ತಳೆದು ನಿಧಾನವಾಗಿ ನರ್ತಿಸುತ್ತಿರುವಳೇನೋ ಎನಿಸುತ್ತದೆ .
24,,ಮುಖ್ಯ ಮಾರ್ಗದಿಂದ 11 ಕಿಲೋಮೀಟರ್ ವಾಹನ ಮೂಲಕ ಮತ್ತು 3 ಕಿಲೋಮೀಟರ್ ಕಾಲ್ನಡಿಗೆಯಲ್ಲಿ ನಡೆದು ಚಂದ್ರತಲ್ ತಲುಪಬಹುದು .
25,pl,ಜೂನಿಂದ ಅಕ್ಟೋಬರವರೆಗೆ ಮನಾಲಿಯಿಂದ ಸಮೂಹ ರೂಪದಲ್ಲಿ ಜನ ಇಲ್ಲಿ ತಲುಪುತ್ತಾರೆ .
26,pl,ಟೂರ್ ಮತ್ತು ಪ್ರಯಾಣ ಅಥವಾ ಸಾಹಸ ಸಂಸ್ಥೆಗಳು ಇಲ್ಲಿ ಕೆಲಸ ನಿರ್ವಹಿಸುತ್ತವೆ .
27,pl,ಚಂದ್ರತಳದಿಂದ ಹಿಂತಿರುಗಿ ಪ್ರವಾಸಿಗರು ಬತ್ಲ ಹೆಸರಿನ ಶಿಬಿರದಿಂದ ಕುಂಜುಮ ಬಳಿಯ ಏರಿಕೆ ಪ್ರಾರಂಭ ಮಾಡುತ್ತಾರೆ .
28,sg,ಕುಂಜುಮ ಬಳಿಯ ತುಂಬಾ ಅಪಾಯಕಾರಿ ತುಂಬಿದ ಮಾರ್ಗ ಆಗಿದೆ .
29,sg,ಸ್ವಲ್ಪ ತಪ್ಪು ಆದರೂ ವಾಹನ ನೂರಾರು ಅಡಿಗಳಷ್ಟು ಕೆಳಗೆ ಉರುಳಬಹುದು .
30,pl,ಜಾಗರೂಕತೆಯ ಕಾರಣ ಕುಂಜುಮ ಬಳಿಯ ಕ್ಷೇತ್ರದಲ್ಲಿ ಅಪಘಾತಗಳು ಅತ್ಯಂತ ಕಡಿಮೆ ಆಗುತ್ತವೆ .
31,,ಕಜಾ ಸ್ಪಿತಿಯ ಅಂಚಿನಲ್ಲಿ ಇರುವ ಅತ್ಯಂತ ಕಠಿಣ ಜೀವನ ಇರುವ ಪ್ರದೇಶ ಆಗಿದೆ ಅಲ್ಲಿ ಒಣ ಮತ್ತು ತಂಪು ಗಾಳಿಗಳು ಆಗಾಗ್ಗೆ ಬರುತ್ತವೆ .
32,sg,ಆದರೆ ಬಣ್ಣಬಣ್ಣದ ಕಲ್ಲುಗಳು ಮತ್ತು ಅದರಿಂದ ರಚಿಸಲ್ಪಟ್ಟು ಕೆಳಗೆ ಬೀಳುತ್ತಿರುವ ಹೊಯಿಗೆ ಹೊಸ-ಹೊಸ ರೂಪ ರಚಿಸಿ ಪ್ರವಾಸಿಗರನ್ನು ಆಕರ್ಷಿಸಿಸುತ್ತದೆ .
33,sg,ಮರಳು ಪರ್ವತದ ಆ ಶಿಖರಗಳಿಂದ ಚಲಿಸುತ್ತದೆ ಅದರಲ್ಲಿ ವರ್ಷಪೂರ್ತಿ ಹಿಮದ ಭಂಡಾರ ಒಟ್ಟಾಗಿರುತ್ತವೆ .
34,pl,ಕಜಾವನ್ನು ಸರಕಾರಿ ನೌಕರ ತನಗಾಗಿ ' ಕಪ್ಪು ನೀರು ' ಪರಿಗಣಿಸುತ್ತಾರೆ .
35,pl,ಕಜಾದಲ್ಲಿ ಈಗ ಮರಗಳ ಸಾಲುಗಳ ಮತ್ತು ಸೇಬಿನ ಮರ ಕಾಣಲು ಆರಂಭ ಆಗಿವೆ .
36,,"ಕಜಾದ ಹತ್ತಿರ ಜಗತ್ತಿನ ಅತ್ಯಂತ ಎತ್ತರ ಹೇಳಲಾಗುವ ವಸಾಹತುಗಳಲ್ಲಿ ' ಕಿಬ್ಬರ್ ' , ' ನ ' ಮತ್ತು ' ಗೆತೆ ' ಅಂತಹ ಅವರ ಇಲಾಖೆಗಳು ಇವೆ ಅಲ್ಲಿ ಬಸ್ಸು ಮತ್ತು ವಿದ್ಯುತ್ ತಲುಪಿದೆ ."
37,sg,ಕಜಾದ ಬೌದ್ಧ ವಿಹಾರ ಮತ್ತು ವಿಶಿಷ್ಟ ಜನಜೀವನ ಪ್ರವಾಸಿಗರಿಗೆ ದಂಗು ಗೊಳಿಸುತ್ತದೆ .
38,pl,ಕಜಾದಲ್ಲಿ ಕೆಲವು ಅತಿಥಿಗೃಹ ಕೂಡ ಇವೆ .
39,pl,ತಾಬೊವನ್ನು ' ಹಿಮಾಲಯದ ಅಜಂತಾ ' ಕೂಡ ಕರೆಯುತ್ತಾರೆ .
40,pl,ತಾಬೊದಲ್ಲಿ ಆ ಯೋಗಿ - ಯೋಗಿನಿಯರ ಪ್ರತಿಮೆಗಳು ಇವೆ .
41,sg,ಆ 1 ಸಾವಿರ ವರ್ಷಗಳ ಹಿಂದೆ ಬೆತ್ತಲೆ ಆಗಿ ಧ್ಯಾನಮುದ್ರೆಯಲ್ಲಿ ಕುಳಿತುಕೊಂಡಿದ್ದರು .
42,sg,ಮಣ್ಣಿನ ಈ ವಿಗ್ರಹಗಳ ಮೇಲೆ ಈಗ ವಸ್ತ್ರ ಧರಿಸಲಾಗಿದೆ .
43,sg,"ಇಲ್ಲಿಯ ಬೌದ್ಧ ವಿಹಾರ , ಧ್ಯಾನ ಕೊಠಡಿ , ಮ್ಯೂಸಿಯಂ ಮತ್ತು ವರ್ಣಚಿತ್ರ ದರ್ಶನಿಯ ಆದುದು ."
44,sg,ಗೊಂಪ ಯಾನೆ ಬೌದ್ಧ ವಿಹಾರದಲ್ಲಿ ಯಾತ್ರಿಕರಿಗೆ ಉಳಿಯುವ ಆರ್ಥಿಕ ವ್ಯವಸ್ಥೆ ಇದೆ .
45,sg,ಗೊಂಪದಲ್ಲಿ ಸಣ್ಣದಾದ ಮಾರುಕಟ್ಟೆ ಕೂಡ ಇದೆ .
46,sg,ಗೊಂಪ ಪ್ರದೇಶದಲ್ಲಿ ತಿರುಗಾಡಲಿಕ್ಕಾಗಿ ಮನಾಲಿಯಲ್ಲಿ ಇರುವ ಪ್ರವಾಸೋದ್ಯಮ ಕಚೇರಿ ( ಫೋನ್ : 01902 - 252175 ) ಮೇಲೆ ವಿಚಾರಣೆ ಮಾಡಿ .
47,,ಅನೇಕ ಇತಿಹಾಸಕಾರರು ಮತ್ತು ಜಮ್ಮುವಿನ ಜನರು ಕೂಡ ನಂಬುತ್ತಾರೆ ಎಂದರೆ ಗೊಂಪ ಪಟ್ಟಣದ ಸ್ಥಾಪನೆ 14ನೇ ಶತಮಾನದಲ್ಲಿ ರಾಜ ಜಂಬುಲೋಚನನು ಮಾಡಿದನು .
48,sg,ಕಾಶ್ಮೀರದ ಪ್ರವೇಶದ್ವಾರ ಎಂದು ನಂಬಲಾಗುವ ಜಮ್ಮು ಪಟ್ಟಣ ತವಿ ನದಿಯ ದಡದಲ್ಲಿ ಇದೆ .
49,sg,ಸಮುದ್ರತಳದಿಂದ 305 ಮೀಟರಿನ ಎತ್ತರದಲ್ಲಿ ಇರುವ ಜಮ್ಮು ನಗರದ ಕ್ಷೇತ್ರ ವಿಸ್ತೀರ್ಣ 20.36 ಚದರಕಿಲೋಮಿಟರ್ ಇದೆ .
50,sg,ಬಾಲಕನ ಕಣ್ಮರೆಯ ನಂತರ ದೇವರ ಅನುಭೂತಿ ಜನರಿಗೆ ಅಲ್ಲಿ ಆಯಿತು .
51,sg,ಪರಿಣಾಮವಾಗಿ ಈ ಮಂದಿರ ನಿರ್ಮಿಸಲಾಯಿತು .
52,sg,ಕ್ರಿಸ್ತಶಕ 1683ರಲ್ಲಿ ಈಸ್ಟ್ ಇಂಡಿಯಾ ಕಂಪೆನಿ ತಲಚೇರಿಯ ಜೊತೆ ನಿರಂತರ ಸಂಬಂಧ ಸೃಷ್ಟಿಸುತ್ತ ಬಂದಿತ್ತು .
53,,1703ರಲ್ಲಿ ಕಂಪೆನಿಯು ತಲಶ್ಶೌರಿಯಲ್ಲಿ ಒಂದು ಕೋಟೆ ನಿರ್ಮಿಸಿತ್ತು .
54,sg,ನಂತರದಲ್ಲಿ ತಲಚೇರಿಯ ಈ ಕೋಟೆಯ ಆಸು - ಪಾಸಿನ ನಗರದ ವಿಕಾಸ ಆಯಿತು .
55,sg,ಈ ಕೋಟೆ ಇತಿಹಾಸದ ಅಧ್ಯಯನಕಾರರಿಗೆ ಪ್ರಿಯ ಆಗಿದೆ .
56,pl,ತಲಚೇರಿಯ ಈ ಕೋಟೆಯ ಗೋಡೆಗಳು ಅತ್ಯಂತ ಎತ್ತರ ಆಗಿವೆ .
57,pl,"ತಲಚೇರಿಯ ಈ ಕೋಟೆಯಲ್ಲಿ ಅನೇಕ ಈ ರೀತಿಯ ನಿಗೂಢ ಸುರಂಗಗಳು ಇವೆ , ಆ ಸಮುದ್ರದ ಕಡೆಯಿಂದ ತೆರೆಯುತ್ತವೆ ."
58,sg,ವಳಪಟ್ಟಣಮ್ ಮರದ ಕಾರ್ಖಾನೆ ಇಡೀ ಏಷ್ಯಾದಲ್ಲಿ ಅತ್ಯಂತ ಪ್ರಾಚೀನ ಉದ್ಯೋಗ ಸ್ಥಳ ಆಗಿದೆ .
59,,"ವಳಪಟ್ಟಣಮ್ ನದಿ ದಂಡೆಯ ದಟ್ಟ ಅರಣ್ಯದಿಂದ ಸಿಗುವ ಸಾಗುವಾನಿ , ತಾಳೆ , ಇಲ್ವಾ , ಕರಿಮುರಿಕ್ಕು , ಚಂದನ ಇತ್ಯಾದಿ ಮರಗಳ ದಿಮ್ಮಿಗಳಿಂದ ವಳಪಟ್ಟಣಮ್ ನ ಮರದ ಉದ್ಯೋಗ ಯಶಸ್ವಿ ಆಗಿದೆ ."
60,,"ವೆಸ್ಟರ್ನ್ ಇಂಡಿಯಾ ಪ್ಲೈವುಡ್ ಲಿಮಿಟೆಡ್ ವಳಪಟ್ಟಣಮ್ ನ ಮರದ ಉದ್ಯೋಗ ಕಂಪನಿ , ದಕ್ಷಿಣ ಪೂರ್ವ ಏಶಿಯಾದ ಪ್ರಮುಖ ಮರದ ಉದ್ಯೋಗ ಕಂಪನಿ ."
61,sg,"ವಳಪಟ್ಟಣಮ್ ನಲ್ಲಿ ಟೀ , ಕಾಫಿ , ತಂಬಾಕು , ಗೋಡಂಬಿ ಇತ್ಯಾದಿಗಳ ಕೃಷಿ ಸಹ ಆಗುತ್ತದೆ ."
62,sg,"ಕೇರಳದಲ್ಲಿ ತಂಬಾಕು , ಕೃಷಿಯ ಅಸಾಮಾನ್ಯ ಹೊಲಕ್ಕೆ ವಳಪಟ್ಟಣಮ್ ನ ಹೆಸರು ಬರುತ್ತದೆ ."
63,,"ಮತ್ತೊಂದು ಆಕರ್ಷಣೆ ಮೀನು ಸಂಗ್ರಹಣಾ ಕೇಂದ್ರ , ಜಲಸಿಂಚನ ಕೇಂದ್ರ ಇತ್ಯಾದಿ ."
64,sg,"ವಳಪಟ್ಟಣಮ್ ನಿಂದ ಅತೀ ಹತ್ತಿರ ರೈಲ್ವೆ ನಿಲ್ದಾಣ - ಕಣ್ಣೂರ್ , 7 ಕಿ.ಮೀ. ದೂರದಲ್ಲಿ ಇದೆ ."
65,sg,"ವಳಪಟ್ಟಣಮ್ ನಿಂದ ಅತೀ ಹತ್ತಿರ ವಿಮಾನ ನಿಲ್ದಾಣ - ಕರಿಪ್ಪೂರ್ ಅಂತಾರಾಷ್ಟ್ರೀಯ ವಿಮಾನ ನಿಲ್ದಾಣ , 100 ಕಿ.ಮೀ. ದೂರ ಇದೆ ."
66,sg,ಬೆಕ್ಕಲ್ ಕೋಟೆ ಕೇರಳದ ಅತ್ಯಂತ ಹೆಚ್ಚು ಪ್ರಸಿದ್ಧ ಕೋಟೆ ಆಗಿದೆ .
67,sg,ಬೇಕಲ್ ಕೋಟೆಯಿಂದ ಸಮುದ್ರದ ಆಳ ಹರಳನ್ನು ನೋಡುವ ಅನುಭವ ಅವಿಸ್ಮರಣೀಯ ಆದದ್ದು .
68,sg,"ಮಲಯಾಳಂ , ತಮಿಳು , ಬಾಲಿವುಡ್ ಸಿನಿಮಾಗಳ ಶೂಟಿಂಗಿನ ಪ್ರಿಯ ಸ್ಥಳ ಆಗಿದೆ ಬೇಕಲ್ ಕೋಟೆ ."
69,sg,"ಕೇರಳ ಸರಕಾರವು ಬೇಕಲ್ ಕೋಟೆ , ಸಮುದ್ರ ತೀರ ಮತ್ತು ಸಂಬಂಧಿಸಿದ ಪ್ರವಾಸಿ ಕೇಂದ್ರಗಳ ಅಭಿವೃದ್ಧಿಗಾಗಿ ಬೇಕಲ್ ರೆಸಾರ್ಟ್ , ಅಭಿವೃದ್ಧಿ ನಿಗಮದ ರಚನೆ ಮಾಡಿದೆ ."
70,,ಜೊತೆಗೆ ಬೇಕಲ್ ಸಮುದ್ರ ತೀರದ ಸೌಂದರ್ಯ ಹೆಚ್ಚಿಸಲು ಅನೇಕ ಯೋಜನೆಗಳನ್ನು ಪ್ರಾರಂಭಿಸಲಾಗಿದೆ .
71,sg,"ಈ ಯೋಜನೆಯ ಅಡಿಯಲ್ಲಿ ತೆಯ್ಯಂ ಶಿಲೆ , ಭಿತ್ತಿಚಿತ್ರ , ವರ್ಣಚಿತ್ರಗಳು ಇತ್ಯಾದಿ ಕಲೆಗಳ ಅಭಿವೃದ್ಧಿಯು ಬರುತ್ತದೆ ."
72,sg,ಪಾರ್ಕಿಂಗ್ - ದಡದ ಹತ್ತಿರ 7000 ಚದರಮೀಟರ್ ವಿಸ್ತಾರದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಸ್ಥಳ ಇದೆ .
73,sg,ವಿಶ್ರಾಂತಿಗಾಗಿ ಟ್ರೀ ಹೌಸ್ ಮತ್ತು ಡೋರ್ ಮೆಟ್ರಿ ಸೌಲಭ್ಯ ಇದೆ .
74,,ಮಕ್ಕಳ ಪಾರ್ಕ್ - 14 ವರ್ಷಕ್ಕಿಂತ ಕೆಳಗಿನ ಮಕ್ಕಳ ವಿನೋದಕ್ಕಾಗಿ ಈ ಪಾರ್ಕ್ ಉಪಯುಕ್ತವಾಗಿದೆ .
75,,ಬೇಕಲ್ ಸಮುದ್ರ ತೀರದಲ್ಲಿ ಪ್ರವೇಶಕ್ಕಾಗಿ ಒಂದು ರೂಪಾಯಿ ಪ್ರತಿ ವ್ಯಕ್ತಿಯ ದರದಿಂದ ಟಿಕೆಟ್ ತೆಗೆದುಕೊಳ್ಳಬೇಕಾಗುತ್ತದೆ .
76,,ಪಾರ್ಕಿಂಗ್ ಶುಲ್ಕ ಕೂಡ ನೀಡಬೇಕು ಅದು ಅಧಿಕವೇನಿಲ್ಲ .
77,sg,ಇಲ್ಲಿಯ 11 ಎಕರೆ ಜಮೀನಿನಲ್ಲಿ ಒಂದು ನೀರಿನ ಥೀಮ್ ಪಾರ್ಕ್ ನಿರ್ಮಿಸುವ ಯೋಜನೆ ಕೂಡ ಆರ್ಡಿಸಿಯ ಬಳಿ ಇದೆ .
78,sg,ಬೇಕಲ್ ಕೋಟೆಯ ಹತ್ತಿರದ ರೈಲ್ವೆ ನಿಲ್ದಾಣ ಕಾಸರಗೋಡ್ ಆಗಿದೆ .
79,,"ಬೇಕಲ್ ಕೋಟೆಯಿಂದ ಹತ್ತಿರ ವಿಮಾನ ನಿಲ್ದಾಣ - ಮಂಗಳೂರು , 50 ಕಿ.ಮೀ. , ಕರಿಪುರ ಅಂತಾರಾಷ್ಟ್ರೀಯ ವಿಮಾನ ನಿಲ್ದಾಣ , 200 ಕಿ.ಮೀ. ದೂರ ಇದೆ ."
80,sg,ಚಂದ್ರಗಿರಿಪ್ಪುಶ ( ನದಿ ) ದ ತೀರದಲ್ಲಿ 17ನೇ ಶತಮಾನದಲ್ಲಿ ನಿರ್ಮಿಸಿದ ಒಂದು ಕೋಟೆ ಇದೆ .
81,sg,ಆ ಕೋಟೆಯಿಂದ ಅರಬ್ಬೀ ಸಮುದ್ರ ಹಾಗೂ ಚಂದ್ರಗಿರಿ ನದಿಯ ಅದ್ಭುತ ದೃಶ್ಯದ ಆಸ್ವಾದನೆ ಮಾಡಬಹುದಾಗಿದೆ .
82,,ನದಿ ದಡದ ಹತ್ತಿರದ ಕಿಶೂರ್ ಮಂದಿರದ ಗೀತೋತ್ಸವ ಬಹಳ ಪ್ರಸಿದ್ಧ .
83,pl,ಬೇಕಲ್ ರೆಸಾರ್ಟ್ ಅಭಿವೃದ್ಧಿ ನಿಗಮವು ಚಂದ್ರಗಿರಿ ನದಿಯಲ್ಲಿ ದೋಣಿ ವಿಹಾರದ ಸೌಲಭ್ಯವನ್ನು ಒದಗಿಸಿವೆ .
84,sg,ಚಂದ್ರಗಿರಿ ಕಾಸರಗೋಡು ಪಟ್ಟಣದ ಬಹಳ ಸಮೀಪದಲ್ಲಿ ಇದೆ .
85,,ಹತ್ತಿರದ ರೈಲ್ವೆ ನಿಲ್ದಾಣ - ಕಾಸರಗೋಡು .
86,,"ಹತ್ತಿರದ ವಿಮಾನ ನಿಲ್ದಾಣ - ಮಂಗಳೂರು , 50 ಕಿ.ಮೀ. ."
87,sg,ಚಿತ್ತಾರಿ ಹಸಿರಿನಿಂದ ಮುಚ್ಚಿದ ಒಂದು ಸಣ್ಣ ದ್ವೀಪ ಆಗಿದೆ .
88,sg,ಚಿತ್ತಾರಿನ ಕರಾವಳಿ ಭಾಗ ವಿಶಾಲ ಆಗಿದೆ .
89,sg,ಚಿತ್ತಾರಿ ಬೇಕಲ್ ಪ್ರವಾಸೋದ್ಯಮದ ಯೋಜನೆಯ ಭಾಗ ಆಗಿದೆ .
90,sg,ಪ್ರವಾಸೋದ್ಯಮದ ಗಲಭೆ ಗದ್ದಲಗಳು ಈ ದ್ವೀಪವನ್ನು ಸ್ಪರ್ಶ ಸಹ ಮಾಡಿಲ್ಲ .
91,sg,ಶಾಂತಿಯಿಂದ ಸಮಯ ಕಳೆಯಲಿಕ್ಕಾಗಿ ಚಿತ್ತಾರಿ ಉಪಯುಕ್ತ ಸ್ಥಳ ಆಗಿದೆ .
92,sg,"ಚಿತ್ತಾರಿಯಿಂದ ಹತ್ತಿರದ ರೈಲ್ವೆ ನಿಲ್ದಾಣ - ಕಾಂಞ್ಯಾಂಗಡ್ , 5 ಕಿ.ಮೀ. ದೂರದಲ್ಲಿ ಇದೆ ."
93,sg,ಬೇಕಲ್ಲಿನ ದಟ್ಟಣೆ ತುಂಬಿದ ಯಾತ್ರೆಯ ನಂತರ ಒಂದು ವೇಳೆ ಶಾಂತ ವಾತಾವರಣದಲ್ಲಿ ಸ್ವಲ್ಪ ಸಮಯ ಕಳೆಯಲು ಬಯಸಿದ್ದಲ್ಲಿ ಕಪ್ಪಿಲ ಸಮುದ್ರ ತೀರ ಉಪಯುಕ್ತ ಸ್ಥಳ ಆಗಿದೆ .
94,,"ಕಪ್ಪಿಲ ಬೇಕಲ್ ನಿಂದ ಆರು ಕಿ.ಮೀ. ದೂರದಲ್ಲಿ ಇದೆ , ಹಾಗೂ ಅತ್ಯಂತ ಶಾಂತ ಸ್ಥಳ ಆಗಿದೆ ."
95,,ಇಲ್ಲಿಯ ಆಕರ್ಷಣೆ ಎಂದರೆ ಬಿಸಿಲಿನಲ್ಲಿ ಹೊಳೆಯುವ ಸಮುದ್ರ ತೀರ ಮತ್ತು ಶಾಂತ ವಾತಾವರಣ .
96,,ಯಾರು ಸಾಹಸಿ ಇದ್ದಾರೋ ಅವರು ಹತ್ತಿರದ ಕೋಡಿಕ್ಕುಣ್ಞುವಿನಲ್ಲಿ ಹತ್ತಿ ಅರಬ್ಬೀ ಸಮುದ್ರದ ದಟ್ಟಣೆಯನ್ನು ನೋಡಬಹುದು .
97,sg,"ಕಪ್ಪಿಲ ಬೀಚಿನ ಹತ್ತಿರ ರೈಲ್ವೆ ನಿಲ್ದಾಣ ಕಾಸರಗೋಡು , 12 ಕಿ.ಮೀ. ದೂರದಲ್ಲಿ ಇದೆ ."
98,sg,"ಕಪ್ಪಿಲ ಬೀಚಿನಿಂದ ಹತ್ತಿರದ ವಿಮಾನ ನಿಲ್ದಾಣ ಮಂಗಳೂರು , 50 ಕಿ.ಮೀ. ದೂರದಲ್ಲಿ ಇದೆ ."
