wordcontent,sentences,index
ಬಿಟ್ಟು,1931ರಲ್ಲಿ ಇಂಗ್ಲೆಂಡ್ ಈ ಪ್ರಮಿತಿಯನ್ನು ಬಿಟ್ಟು ಕೊಟ್ಟಿತು .,3978
ಇಷ್ಟು,ಎಂದೋ ಬೆಳಕು ಕಾಣಬೇಕಾಗಿದ್ದ ನನ್ನ ಈ ಕೃತಿ ಇಷ್ಟು ತಡವಾಗಿ ಆದರೂ ಹೊರಬೀಳುತ್ತಿದೆಯಲ್ಲಾ ! ಅದೇ ನನ್ನ ಸಮಾಧಾನ - ಸಂತೋಷ .,4992
ಇಷ್ಟು,ಆದರೂ ನಮ್ಮ ಪ್ರಯಾಣದ ಕತೆ ಇಷ್ಟು ಸ್ವಾರಸ್ಯ ಆಗಿತ್ತು .,5126
ಇಷ್ಟು,ಆದುದರಿಂದ ಇಷ್ಟು ದೊಡ್ಡ ಪ್ರಮಾಣದ ಸಿದ್ಧತೆಗಳು ನಡೆದಿವೆ .,5253
ಇಷ್ಟು,"ಅವರ ಆರ್ಥಿಕ ನೆರವು ಇಲ್ಲದಿದ್ದಲ್ಲಿ ಈ ಪುಸ್ತಕವನ್ನು ಇಷ್ಟು ಸುಂದರವಾಗಿ ತರುವುದಾಗಲೀ , ಇಷ್ಟೊಂದು ಅಗ್ಗದ ಬೆಲೆಗೆ ಕೊಡುವುದಾಗಲೀ ಸಾಧ್ಯ ಆಗುತ್ತಿರಲಿಲ್ಲ .",5341
ಇಷ್ಟು,"ಜಿಂಕೆ , ನೀನು ಇಷ್ಟು ಸಣ್ಣ ಇದ್ದೀ ಇಷ್ಟು ದೊಡ್ಡ ದೈತ್ಯನನ್ನು ಹೇಗೆ ಹಿಡಿದೆ ?",6688
ಇಷ್ಟು,ನೀನು ಇಷ್ಟು ದೊಡ್ಡ ಸಿಂಹ ಆದುದರಲ್ಲಿ ಆಶ್ಚರ್ಯ ಏನು ಇಲ್ಲ .,6718
ಚಾಲುಕ್ಯರ,ಮಲೆಬೆನ್ನೂರಿನ ಆಗ್ನೇಯಕ್ಕೆ ಕುಮಾರನಹಳ್ಳಿಗೆ ಸುಮಾರು 3 ಕಿ. ಮೀ ದೂರದಲ್ಲಿ ಇರುವ ಹಳ್ಳಿವನ ಗ್ರಾಮದಲ್ಲಿ ಒಂದು ಚಾಲುಕ್ಯ ದೇವಾಲಯದ ಅವಶೇಷ ಇದ್ದು ಅದರ ಎದುರು ಚಾಲುಕ್ಯರ ಕಾಲದ ವೀರಗಲ್ಲುಗಳು ಇವೆ .,1448
ಚಾಲುಕ್ಯರ,"ಚಾಲುಕ್ಯರ ಕಾಲದಲ್ಲಿ ಈ ದೇವಾಲಯದಲ್ಲಿ ಚಾಲುಕ್ಯ , ಹೊಯ್ಸಳ , ಸೇವುಣ , ವಿಜಯನಗರ ದೊರೆಗಳ ಶಾಸನಗಳು ಇವೆ .",1477
ಚಾಲುಕ್ಯರ,ಇಲ್ಲಿ ಇರುವ ಪಂಪಾ ವಿರೂಪಾಕ್ಷ ದೇವಾಲಯವು ಕಲ್ಯಾಣಿ ಚಾಲುಕ್ಯರ ಕಾಲದ್ದು .,1516
ಚಾಲುಕ್ಯರ,ಕಲ್ಯಾಣದ ಚಾಲುಕ್ಯರ ಹಾಗೂ ಹೊಯ್ಸಳರ ಕಾಲದಲ್ಲಿ ಇದು ಒಂದು ಸಮೃದ್ಧವಾದ ಕೇಂದ್ರ ಆಗಿತ್ತು .,1517
ಚಾಲುಕ್ಯರ,ವಿರೂಪಾಕ್ಷ ದೇವಾಲಯದ ಬಳಿ ಇರುವ ಹೇಮಕೂಟ ಪರ್ವತದ ಮೇಲೆ ಬಾದಾಮಿ ಚಾಲುಕ್ಯರ ಕಾಲದ ಒಂದು ದೇವಾಲಯ ಇದೆ .,1566
ಚಾಲುಕ್ಯರ,ಕಲ್ಯಾಣದ ಚಾಲುಕ್ಯರ ಕಾಲದಲ್ಲಿ ಇದು ಒಂದು ಮುಖ್ಯ ನಗರ ಆಗಿತ್ತು .,1634
ಉಂಟಾಗುತ್ತದೆ,ಅವಶ್ಯಕತೆಗಿಂತ ಹೆಚ್ಚಿನ ಹಣವು ಚಲಾವಣೆಗೆ ಬಂದಾಗ ಹಣದುಬ್ಬರ ಉಂಟಾಗುತ್ತದೆ .,1123
ಉಂಟಾಗುತ್ತದೆ,ಸಿ. ಪಿ. ಗೂರವರ ಪ್ರಕಾರ ವರಮಾನವನ್ನು ಗಳಿಸುವ ಚಟುವಟಿಕೆಗಿಂತಲೂ ಹೆಚ್ಚು ವೇಗದಲ್ಲಿ ಹಣದ ಆದಾಯವು ಹೆಚ್ಚಾದರೆ ಹಣದುಬ್ಬರ ಉಂಟಾಗುತ್ತದೆ .,1133
ಉಂಟಾಗುತ್ತದೆ,"ಕೇನ್ಸರವರ ಪ್ರಕಾರ , ಪೂರ್ಣ ಉದ್ಯೋಗ ಸ್ಥಿತಿ ಹೊಂದಿದ ನಂತರ ಚಲಾವಣೆಯಲ್ಲಿ ಹಣ ಹೆಚ್ಚಿದರೆ ಮಾತ್ರ ಹಣದುಬ್ಬರ ಉಂಟಾಗುತ್ತದೆ .",1140
ಉಂಟಾಗುತ್ತದೆ,ಆಗ ಚಲಾವಣೆಯಲ್ಲಿ ಇರುವ ಹಣವನ್ನು ಹೆಚ್ಚಿಸಿದಲ್ಲಿ ಬೆಲೆಗಳು ಏರಿದರೂ ಉತ್ಪಾದನೆಯಲ್ಲಿ ಹೆಚ್ಚಳ ಉಂಟಾಗುತ್ತದೆ .,1142
ಉಂಟಾಗುತ್ತದೆ,ಅಂದರೆ ಕೇನ್ಸರವರ ಪ್ರಕಾರ ಪೂರ್ಣ ಉದ್ಯೋಗ ಸ್ಥಿತಿಯನ್ನು ಮುಟ್ಟಿದ ನಂತರ ಚಲಾವಣೆಯ ಹಣವನ್ನು ಹೆಚ್ಚಿಸಿದಾಗ ಮಾತ್ರ ಹಣದುಬ್ಬರ ಉಂಟಾಗುತ್ತದೆ .,1148
ಉಂಟಾಗುತ್ತದೆ,"ಅಮೇರಿಕಾದ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞರು ಆದ ಇರ್ವಿಂಗ್ ಫಿಷರವರ ಸಮೀಕರಣದ ಪ್ರಕಾರ ಬಳಕೆಯಲ್ಲಿ ಇರುವ ಹಣದ ಮೊತ್ತವು ಹೆಚ್ಚಾಗಿ , ಮಾರಾಟ ಮಾಡಲು ಇರುವ ಪದಾರ್ಥಗಳ ಪ್ರಮಾಣ ಮೊದಲಿನಷ್ಟೇ ಇದ್ದರೆ ಬೆಲೆಗಳು ಏರಲು ಆರಂಭಿಸಿ ಹಣದುಬ್ಬರ ಉಂಟಾಗುತ್ತದೆ .",1149
100,ಇದು ಸುಮಾರು 100 ಚ. ಕಿ. ಮೀ. ಹೆಚ್ಚು ವಿಸ್ತೀರ್ಣದ ಭೂಪ್ರದೇಶ ಹೊಂದಿದೆ .,1654
100,"ಭಾರತದಲ್ಲಿ 1 , 2 , 5 , 20 , 50 , 100 , 500 , ಮತ್ತು 1000 ರೂಪಾಯಿಯ ಕಾಗದದ ನೋಟುಗಳು ಚಲಾವಣೆಯಲ್ಲಿ ಇವೆ .",4004
100,"ಉದಾಹರಣೆಗೆ , ಎಲ್ಲಾ ವಸ್ತುಗಳ ಮೌಲ್ಯವು ರೂ. 100 ಕೋಟಿ ಆಗಿದ್ದು , ಎಲ್ಲಾ ವಸ್ತುಗಳಿಗೆ ನೂರರ ತೂಕವನ್ನು ನೀಡುತ್ತೇವೆ ಎಂದು ಇಟ್ಟುಕೊಳ್ಳೋಣ .",4292
100,ಪ್ರತಿಯೊಂದು ವಸ್ತುವಿನ ಮೂಲ ವರ್ಷದ ಬೆಲೆಯನ್ನು 100 ಎಂದು ಇಟ್ಟುಕೊಳ್ಳಲಾಗುವುದು .,4305
100,"ಉದಾಹರಣೆಗೆ , ಮೂಲ ವರ್ಷದಲ್ಲಿ ಸಕ್ಕರೆಯ ಬೆಲೆಯು ಕಿ. ಗ್ರಾಂ.ಗೆ ಮೂರು ರೂಪಾಯಿಗಳು ಇವೆ ಎಂದು ಭಾವಿಸಿದರೆ , ಇದನ್ನು 100 ಎಂದು ಇಟ್ಟುಕೊಳ್ಳಲಾಗುವುದು .",4307
100,ಸೂಕ್ಷ್ಮ ವಸ್ತುಗಳನ್ನು ಅವುಗಳ ನೈಜ ಗಾತ್ರದ 100 ಪಟ್ಟು ವಿಸ್ತರಿಸಿ ವೀಕ್ಷಿಸುವುದು ಸಾಧ್ಯ .,4503
ಇಲ್ಲವೋ,ಖಾತೆವಹಿಯಲ್ಲಿನ ಬಾಕಿ ತೋರಿಸುವ ಎಲ್ಲ ಖಾತೆಗಳನ್ನು ತಾಳೆಪಟ್ಟಿಯಲ್ಲಿ ತೆಗೆದುಕೊಂಡಿದೆಯೋ ಇಲ್ಲವೋ ಎಂಬುದನ್ನು ಪರೀಕ್ಷಿಸುವುದು .,3734
ಇಲ್ಲವೋ,"ಕಂಪೆನಿಯ ಲೆಕ್ಕ ಪರಿಶೋಧಕನಾಗಿ ನೇಮಿಸಲ್ಪಟ್ಟಾಗ , ಅವನು ತನ್ನ ನೇಮಕವು ಕಂಪನಿಗಳ ಕಾಯಿದೆಯ ಪ್ರಕಾರ ಆಗಿದೆಯೋ ಇಲ್ಲವೋ ಎಂಬುದನ್ನು ಪರಿಶೀಲಿಸಬೇಕು .",3845
ಇಲ್ಲವೋ,ಲೆಕ್ಕಪರಿಶೋಧನಾ ಕಾರ್ಯಕ್ರಮ ಪಟ್ಟಿಯಿಂದ ಲೆಕ್ಕಪರಿಶೋಧಕನಿಗೆ ತನ್ನ ಗುಮಾಸ್ತರು ಈ ಕಾರ್ಯಕ್ರಮದಂತೆ ಕೆಲಸ ಮಾಡುತ್ತಿರುವರೋ ಇಲ್ಲವೋ ಮತ್ತು ಅವರ ಪ್ರಗತಿ ಎಷ್ಟು ಆಗಿದೆ ಎಂಬುದನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಸಾಧ್ಯ ಆಗುತ್ತದೆ .,3872
ಇಲ್ಲವೋ,ಹನ್ನೊಂದು ಹಣ ತೊಡಗಿಸಿದ್ದನ್ನು ಪರಿಶೀಲಿಸಿ ಅದು ನಿಯಮಕ್ಕೆ ಅನುಗುಣವಾಗಿ ಇದೆಯೋ ಇಲ್ಲವೋ ಎಂಬುದನ್ನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು .,5784
ಇಲ್ಲವೋ,"ಹದಿಮೂರು ಸಾಲಗಾರರಿಂದ ಬಂದ ಬಡ್ಡಿ , ಸಾಲದ ಮರುಪಾವತಿ ಎಲ್ಲವೂ ನಿಯಮಕ್ಕೆ ಅನುಸಾರವಾಗಿ ಇರುವುವೋ ಇಲ್ಲವೋ ಎಂಬುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು .",5787
ಇಲ್ಲವೋ,"ಮೂರು ಬರಬೇಕಾಗಿರುವ ಬಡ್ಡಿ ಮತ್ತು ಲಾಭಾಂಶ ಬಂದಿದೆಯೇ ಇಲ್ಲವೋ ತಿಳಿದುಕೊಂಡು , ಅದು ನಗದು ಪುಸ್ತಕದಲ್ಲಿ ಸರಿಯಾಗಿ ನಮೂದು ಆಗಿದೆಯೋ ಇಲ್ಲವೋ ಎಂಬುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು .",5801
ಕೊನೆಯ,ಕೊನೆಯ ರಂಧ್ರಗಳನ್ನು ಮರದ ಕಾಲಿನ ಭಾಗಕ್ಕೆ ಮೊಳೆಯಿಂದ ಬಿಗಿಯಬೇಕು .,1095
ಕೊನೆಯ,ಹೆಳವನಕಟ್ಟೆ ಗಿರಿಯಮ್ಮ ತನ್ನ ಕೊನೆಯ ಕಾಲವನ್ನು ಇಲ್ಲಿ ಕಳೆದಳು ಎಂದು ಹೇಳುವರು .,1471
ಕೊನೆಯ,"ಪ್ರತೀಯೊಬ್ಬ ಕಾರ್ಮಿಕನಿಗೆ ಕೊನೆಯ ಪಕ್ಷ ಒಂದು ಗಂಟೆಗೆ ರೂ. 3 ಕೂಲಿ ಕೊಡುತ್ತಿದ್ದರೆ , ಕೆಲಸ ನಿಲ್ಲಿಸಿದ ಗಂಟೆಗೆ ಸಾವಿರಾರು ಕಾರ್ಮಿಕರಿಗೆ ಕೂಲಿ ಎಷ್ಟು ಆಯಿತು ?",2996
ಕೊನೆಯ,"ಯಾವ ವಿಭಾಗ ಬೇಡಿಕೆ ಪತ್ರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತದೆಯೊ ಅದು ಸಂಸ್ಥೆಯ ನಿಯಮ ಮತ್ತು ಅಗತ್ಯಗಳಿಗೆ ಅನುಗುಣವಾಗಿ ಮೂರು ಪ್ರತಿಗಳನ್ನು ಸಿದ್ಧಪಡಿಸಿ ಮೊದಲನೆ ಪ್ರತಿಯನ್ನು ಕೊಳ್ಳುವ ವಿಭಾಗಕ್ಕೆ ಕಳುಹಿಸಿ , ಎರಡನೆಯದನ್ನು ವೆಚ್ಚ ನಿರ್ಣಯ ವಿಭಾಗಕ್ಕೆ ಮತ್ತು ಮೂರನೆಯ ಅಥವಾ ಕೊನೆಯ ಪ್ರತಿಯನ್ನು ಸಿದ್ಧಪಡಿಸುವ ವಿಭಾಗವೇ ದಾಖಲೆಗಾಗಿ ಇಟ್ಟುಕೊಳ್ಳುತ್ತದೆ .",3185
ಕೊನೆಯ,"ಕೊಳ್ಳುವ ಆದೇಶವನ್ನು ಸಂಸ್ಥೆಯ ಅನುಕೂಲದಂತೆ ನಾಲ್ಕು ಅಥವಾ ಐದು ಪ್ರತಿ ತಯಾರಿಸಿ , ಮೊದಲ ಪ್ರತಿಯನ್ನು ಸರಬರಾಜುದಾರನಿಗೆ ರವಾನಿಸಿ , ಎರಡನೆಯ ಪ್ರತಿಯನ್ನು ದಾಸ್ತಾನು ವಿಭಾಗಕ್ಕೂ , ಮೂರನೆಯ ಪ್ರತಿಯನ್ನು ಪದಾರ್ಥ ಸ್ವೀಕೃತ ಮತ್ತು ತಪಾಸಣೆ ವಿಭಾಗಕ್ಕೂ , ನಾಲ್ಕನೆಯ ಪ್ರತಿಯನ್ನು ವೆಚ್ಚ ನಿರ್ಣಯ ವಿಭಾಗಕ್ಕೂ ಮತ್ತು ಕೊನೆಯ ಪ್ರತಿಯನ್ನು ಕೊಳ್ಳುವ ವಿಭಾಗವು ದಾಖಲೆಗಾಗಿ ಇಟ್ಟುಕೊಳ್ಳಬೇಕು .",3203
ಕೊನೆಯ,"ಈ ಅಧಿಕಾರಿ ಸಿದ್ಧಪಡಿಸಿದ ವರದಿ ಸಾಮಾನ್ಯವಾಗಿ ನಾಲ್ಕು ಪ್ರತಿಯಲ್ಲಿ ಇದ್ದು , ಮೊದಲನೆಯದನ್ನು ಕೊಳ್ಳುವ ಅಧಿಕಾರಿಗೂ , ಎರಡನೆಯದನ್ನು ದಾಸ್ತಾನು ವಿಭಾಗಕ್ಕೂ , ಮೂರನೆಯ ಪ್ರತಿಯನ್ನು ವೆಚ್ಚ ನಿರ್ಣಯ ವಿಭಾಗಕ್ಕೂ ಮತ್ತು ಕೊನೆಯ ಪ್ರತಿಯನ್ನು ಪರೀಕ್ಷಣ ವಿಭಾಗದಲ್ಲಿ ದಾಖಲೆಗಾಗಿ ಇಟ್ಟುಕೊಳ್ಳಲಾಗುತ್ತದೆ .",3214
ಪದ್ಧತಿಯು,ಈ ಪದ್ಧತಿಯು ಅಕಾರಾದಿ ಪದ್ಧತಿ ಮತ್ತು ಸಂಖ್ಯಾಸೂಚಕ ಪದ್ಧತಿ ಇವುಗಳ ಸಂಯೋಜನೆ ಆಗಿದೆ .,2493
ಪದ್ಧತಿಯು,ಈ ಪದ್ಧತಿಯು ಮೊದಲ ಮೂರು ಪದ್ದತಿಗಳು ಆದ ' ಅ ' ಕಾರಾದಿ ಸಂಖ್ಯಾಸೂಚಕ ಮತ್ತು ನ್ಯುಮೋನಿಕ್ ಪದ್ಧತಿಗಳಿಗಿಂತ ಉತ್ತಮ ಎನ್ನಬಹುದು .,2498
ಪದ್ಧತಿಯು,ಈ ದೃಷ್ಟಿಯಲ್ಲಿ ಅಕಾರಾದಿ ಸಂಖ್ಯಾಸೂಚಕ ಪದ್ಧತಿಯು ಎರಡು ಪದ್ಧತಿಗಳ ಸಂಯೋಜನೆ ಆಗಿದ್ದು ಉತ್ತಮ ಆಗಿದೆ .,2501
ಪದ್ಧತಿಯು,ನಾಗರಿಕತೆಯ ಆರಂಭದ ಹಂತದಲ್ಲಿ ಲೆಕ್ಕ ಪತ್ರಗಳನ್ನು ಇಡುವ ಪದ್ಧತಿಯು ಬಹಳೇ ಒರಟು ಆಗಿತ್ತು .,3264
ಪದ್ಧತಿಯು,ಎಲಿಜಬೆತ್ ರಾಣಿಯ ತಂದೆ ಆದ ಎರಡನೆಯ ಹೆನ್ರಿಯ ಕಾಲದಲ್ಲಿ ಸಂಪೂರ್ಣವಾಗಿ ಅಸ್ತವ್ಯಸ್ತ ಆಗಿದ್ದ ಇಂಗ್ಲೆಂಡಿನ ಹಣಕಾಸಿನ ಪದ್ಧತಿಯು ಈಕೆಯ ಕಾಲದಲ್ಲಿಯೂ ಅಸ್ತವ್ಯಸ್ತ ಆಗಿಯೇ ಮುಂದುವರೆಯಿತು .,3401
ಪದ್ಧತಿಯು,"ನಾಣ್ಯ ಪದ್ಧತಿಯು ಸುಲಭವೂ , ಸುರಕ್ಷಿತವೂ , ನಮ್ಯತೆ ಹೊಂದಿದುದೂ ಆಗಿರಬೇಕು .",4079
ಆಗುತ್ತವೆ,"ಏಕರೂಪತೆಯ ಪಠ್ಯಪುಸ್ತಕಗಳು , ಶಿಕ್ಷಣ ಉಪಕರಣಗಳು , ದಿನಬಳಕೆಯಲ್ಲಿ ಇಲ್ಲದ ಪದ ಪ್ರಯೋಗಗಳು ಈ ವಯಸ್ಕ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ತಲೆಭಾರ ಆಗುತ್ತವೆ .",553
ಆಗುತ್ತವೆ,ಅವರ ಕಲೆ ನಿಜಕ್ಕೂ ಜೀವ ತುಂಬಿಸಿರುವ ಆಟಿಕೆಗಳು ಆಗುತ್ತವೆ .,1080
ಆಗುತ್ತವೆ,"ಹಣದ ಪೂರೈಕೆ ಅಧಿಕ ಆಗುವುದು , ಖಾಸಗಿ ಮತ್ತು ಸರಕಾರಿ ವಲಯಗಳ ವೆಚ್ಚಗಳು ಏರುವುದು , ಇವುಗಳ ಜೊತೆಗೆ ಬ್ಯಾಂಕುಗಳು ಹೆಚ್ಚಾಗಿ ಸಾಲ ಕೊಡುವುದು ವಿದೇಶಿಯರಿಂದ ದೇಶೀಯ ವಸ್ತುಗಳಿಗೆ ಬೇಡಿಕೆ ಹೆಚ್ಚಾಗುವುದು ಇತ್ಯಾದಿ ಅಂಶಗಳು ಹಣದುಬ್ಬರಕ್ಕೆ ಕಾರಣ ಆಗುತ್ತವೆ .",1161
ಆಗುತ್ತವೆ,ಹೆಚ್ಚು ಉದ್ಯೋಗಗಳು ಅಧಿಕ ಉತ್ಪಾದನೆಗೆ ನೆರವು ಆಗುತ್ತವೆ .,1196
ಆಗುತ್ತವೆ,ಹಣದುಬ್ಬರದ ವೇಗ ಹೆಚ್ಚಾದಂತೆ ಈ ಸೌಲಭ್ಯಗಳು ಮಾಯ ಆಗುತ್ತವೆ .,1199
ಆಗುತ್ತವೆ,ಹೀಗೆ ಐಶ್ಚರ್ಯ ಮತ್ತು ಆರ್ಥಿಕ ಶಕ್ತಿಗಳು ಕೆಲವರ ಬಳಿ ಮಾತ್ರ ಕೇಂದ್ರೀಕೃತ ಆಗುತ್ತವೆ .,1221
