senlen,sentences
8,ಅಂತಹವರಿಗೆ ಮನಿಯಾರ್ಡರನ್ನು ಕೊಡಲಾರೆ ' ಎಂದು ಉದ್ಗಾರ ಎಳೆದನು .
7,ಪೊಲೀಸ್ ಪೇದೆಯೂ ಸಹ ಅಕ್ಷರ ಪ್ರಚಾರಕ್ಕೆ ಇಳಿದನು .
6,ಪ್ರೌಢಶಾಲೆಯ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಸಹ ಹಿಂದೆ ಉಳಿಯಲಿಲ್ಲ .
14,' ಅಳಿಲು ಭಕ್ತಿ ಮಳಲು ಸೇವೆ ' ಎಂಬಂತೆ ಶಾಲಾ ಬಾಲಕರು ಸಹ ಯಥಾಶಕ್ತಿ ಓದುಬರೆಹ ಕಲಿಸಿದರು .
4,ಗ್ರಾಮಗಳಲ್ಲಿ ಉತ್ಸಾಹ ಹೆಚ್ಚಿತು .
10,ಕೆಲವು ಹಳ್ಳಿಗಳಲ್ಲಿ ಮಧ್ಯರಾತ್ರಿ ಒಂದು ಘಂಟೆಯವರೆಗೂ ವಯಸ್ಕರ ಶಿಕ್ಷಣ ಕೇಂದ್ರ ನಡೆಯುತ್ತಿತ್ತು .
8,ಎಲ್ಲವೂ ಮನಸ್ಸು ಇದ್ದೆಡೆ ಮಾರ್ಗ ಇದೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತಿತ್ತು .
8,ಹಿಂದಿನ ವರ್ಷಗಳಲ್ಲಿ ಕೇವಲ 3000 ಮಂದಿ ಅಕ್ಷರಸ್ಥ್ದರು ಆಗಿದ್ದರು .
5,"1958-59ನೆಯ ಸಾಲಿಗೆ 10,000ಕ್ಕೆ ಏರಿತು ."
13,"59-60ನೆಯ ಸಾಲಿನಲ್ಲಿ ಅಕ್ಷರಸ್ಥರ ಸಂಖ್ಯೆ ದ್ವಿಗುಣ ಆಯಿತು ; ಅಂದರೆ 21,000 ಮಂದಿ ಅಕ್ಷರಸ್ಥರು ಆದರು ."
6,"ಅವರ ಪೈಕಿ 11,000 ಮಂದಿ ಹೆಂಗಸರು ."
6,ಎರಡು ಹಳ್ಳಿಗಳು ಪೂರ್ಣ ಸಾಕ್ಷರತೆ ಸಾಧಿಸಿದವು .
4,ಅತ್ಯಾಶ್ಚರ್ಯಕರವಾದ ಯಶಸ್ಸು ದೊರಕಿತು .
21,"' ಚಳವಳಿ ನಮಗಾಗಿ ನಮ್ಮ ಅಭ್ಯುದಯಕ್ಕಾಗಿ , ನಾವೇ ನಮ್ಮ ಯಶಸ್ಸಿಗೆ ಶ್ರಮಿಸಬೇಕು ' ಎಂಬ ಭಾವನೆಯಿಂದ ಹಳ್ಳಿಗರು ಮುಂದೆ ಬಂದು ಸೇವೆ ಸಲ್ಲಿಸಿದುದೇ ಯಶಸ್ಸಿಗೆ ಕಾರಣ ."
8,ಈ ತೆರನಾದ ಕಲ್ಪನೆಯು ಒಳ್ಳೆಯ ಕಾರ್ಯಕ್ಕೆ ನಾಂದಿ ಆಯಿತು .
4,ಹಳ್ಳಿಗರಲ್ಲಿ ನವಚೈತನ್ಯ ಮೂಡಿತು .
4,ಹಳ್ಳಿಗಳ ಸ್ವರೂಪವೇ ಬದಲಾಯಿತು .
7,ಈ ಉತ್ಸಾಹವನ್ನು ಸರಿಯಾದ ದಾರಿಯಲ್ಲಿ ಕ್ರೋಢೀಕರಿಸಲು ಯೋಚಿಸಲಾಯಿತು .
11,ಹಳ್ಳಿಗಳಲ್ಲಿ ಕೆಳಕಂಡ ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ಕೈಗೊಳ್ಳುವಂತೆ 1960ರ ಏಪ್ರಿಲ್ ತಿಂಗಳಿನಲ್ಲಿ ಒಂದು ಮನವಿಯನ್ನು ಹೊರಡಿಸಲಾಯಿತು .
6,ಅದರಂತೆ ಗ್ರಾಮಸ್ಥರು ಕೆಳಕಂಡಂತೆ ಹೊಣೆಯನ್ನು ಹೊತ್ತರು .
10,ಪ್ರತೀ ಮನೆಗೆ ಭೇಟಿ ನೀಡಿ 14-50 ವಯೋಮಿತಿಯ ಅನಕ್ಷರಸ್ಥರ ಪಟ್ಟಿ ಮಾಡುವುದು .
7,ವಯಸ್ಕರ ಶಿಕ್ಷಣ ಕೇಂದ್ರಗಳನ್ನು ನಡೆಸಲು ಉಪಾಧ್ಯಾಯರನ್ನು ಹಂಚುವುದು .
6,ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಸಾಕಷ್ಟು ಸಂಖ್ಯೆಯಲ್ಲಿ ಕೇಂದ್ರಗಳಿಗೆ ಕೂಡಿಸುವುದು .
9,"ಕೇಂದ್ರಗಳ ವ್ಯವಸ್ಥೆ , ವಿದ್ಯಾರ್ಥಿಗಳ ಹಾಜರಾತಿ ಮತ್ತು ಶಾಲೆಯ ಉಸ್ತುವಾರಿ ."
9,"ಕೇಂದ್ರಕ್ಕೆ ಬೇಕಾದ ಪಾಠೋಪಕರಣಗಳು , ಬೆಳಕು ಮತ್ತು ಸೀಮೆಎಣ್ಣೆ ಒದಗಿಸುವುದು ."
7,ಮಹಿಳೆಯರಿಗೆ ಮನೆಯಲ್ಲೇ ಶಾಲಾಬಾಲಕರಿಗೆ ಓದುಬರೆಹ ಕಲಿಸಲು ಏರ್ಪಾಡು .
7,ವಯಸ್ಕರಿಗೆ ಓದುಬರೆಹ ಕಲಿಸುವಂತೆ ಪ್ರೌಢಶಾಲೆಯ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಪ್ರೋತ್ಸಾಹಿಸುವುದು .
5,ವಾಚನಾಲಯ ಮತ್ತು ಗ್ರಂಥಾಲಯಗಳ ವ್ಯವಸ್ಥೆ .
13,ಗ್ರಾಮಗಳಲ್ಲಿ ಓದುಬರೆಹ ಕಲಿಸಲು ಏರ್ಪಾಡಾದ ಸಾಕ್ಷರತಾ ಪ್ರಚಾರ ಸಮಿತಿಗಳು ತಮಗೆ ಒಪ್ಪಿಸಿದ ಜವಾಬ್ದಾರಿಯನ್ನು ಸಂತೋಷದಿಂದ ನಿರ್ವಹಿಸಿದವು .
9,ಈ ಕಾರ್ಯ ನಿರ್ವಹಿಸುವಲ್ಲಿ ಹಳ್ಳಿಗಳ ಮಧ್ಯೆ ಸ್ಪರ್ಧಾ ಮನೋಭಾವ ಕಂಡುಬಂದಿತು .
8,ತತ್ಪರಿಣಾಮವಾಗಿ 1960-61ನೆಯ ಸಾಲಿನಲ್ಲಿ ಓದುಬರೆಹ ಕಲಿತವರ ಸಂಖ್ಯೆ ಏರಿತು .
5,109000 ಮಂದಿ ಅಕ್ಷರಸ್ಥರು ಆದರು .
8,ಸತಾರ ಜಿಲ್ಲೆಯಲ್ಲಿ ನಡೆದ ಅಕ್ಷರ ಪ್ರಚಾರ ಕಾರ್ಯ ಮೆಚ್ಚುವಂತಹದು .
7,ಲಾಹುಸುರ್ನೆ ಗ್ರಾಮದಲ್ಲಿ ಪ್ರಪ್ರಥಮವಾಗಿ ಗ್ರಾಮಗೌರವ ಸಮಾರಂಭ ನಡೆಯಿತು .
7,ರಾಜ್ಯದ ವಿದ್ಯಾಇಲಾಖೆಯ ಮುಖ್ಯಾಧಿಕಾರಿಗಳು ಈ ಸಮಾರಂಭಕ್ಕೆ ಆಗಮಿಸಿದರು .
4,ಸಮಾರಂಭ ನಡೆದಿದ್ದು 20-9-60ರಲ್ಲಿ .
10,ಆ ಹಳ್ಳಿಯಲ್ಲಿ ನಡೆಸಿದ ಕಾರ್ಯ ಮುಂದಿನ ಬೃಹತ್ ಯೋಜನೆಗೆ ಆಧಾರ ಆಯಿತು .
6,17-4-1961 ರಂದು ಶಿವಜಯಂತಿ ; ಶುಭದಿನ .
9,ಆ ದಿನ ಚಳವಳಿಯನ್ನು ಎಲ್ಲ ಕಡೆಗಳಲ್ಲೂ ಪ್ರಾರಂಭಿಸಲು ನಿರ್ಧಾರ ಆಯಿತು .
9,ಈ ನಿರೂಪಣೆಯನ್ನು ಜಿಲ್ಲಾ ರೆವಿನ್ಯೂ ಅಧಿಕಾರಿಗಳು ಎಲ್ಲ ಹಳ್ಳಿಗಳಿಗೂ ಕಳುಹಿಸಿದರು .
9,ಪ್ರತೀ ಗ್ರಾಮದಲ್ಲೂ ಅಕ್ಷರ ಪ್ರಚಾರ ಸಲಹಾ ಸಮಿತಿಗಳ ರಚನೆ ಆದವು .
20,"ಆ ಸಮಿತಿಯಲ್ಲಿ ಶಾಲೆಯ ಮುಖ್ಯ ಉಪಾಧ್ಯಾಯರು , ಒಬ್ಬಳು ಮಹಿಳಾ ಪ್ರತಿನಿಧಿ , ಸರಪಂಚರು , ಪಟೇಲರು ಮತ್ತು ಸಹಕಾರ ಸಂಘದ ಪ್ರತಿನಿಧಿ ಒಬ್ಬರು ಇದ್ದರು ."
10,17-4-1961 ರಂದು ಇಡೀ ರಾಜ್ಯದ ಅಕ್ಷರ ಪ್ರಚಾರ ಕಾರ್ಯ ಆರಂಭ ಆಯಿತು .
10,ಮೊದಲ ವರ್ಷ 378 ಹಳ್ಳಿಗಳಲ್ಲಿ 14ರಿಂದ 50 ವಯಸ್ಸಿನವರು ಓದುಬರೆಹ ಕಲಿತರು .
9,ಇಡೀ ಮಹಾರಾಷ್ಟ್ರದಲ್ಲಿ ಆ ವರ್ಷ 486378 ಮಂದಿ ಅಕ್ಷರಸ್ಥರು ಆದರು .
7,1962 ರಲ್ಲಿ ಗ್ರಾಮ ಪಂಚಾಯಿತಿಗಳು ಪುನಾರಚಿತ ಆದವು .
6,ಜಿಲ್ಲಾ ಪರಿಷತ್ತು ಹೊಸದಾಗಿ ಅಸ್ತಿತ್ವಕ್ಕೆ ಬಂದವು .
8,ಗ್ರಾಮ ಶಿಕ್ಷಣ ಮೊಹೀಂ ಹೊಣೆಯನ್ನು ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳು ಹೊತ್ತವು .
7,ಆದರೆ ಆ ಸಾಲಿನಲ್ಲಿ ನಿರೀಕ್ಷಿಸಿದಷ್ಟು ಕಾರ್ಯ ನಡೆಯಲಿಲ್ಲ .
8,"ಕಾರಣ , ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳು ಹೊಸದಾಗಿ ಆರಂಭ ಆಗಿದ್ದವು ."
8,ಆದ್ದರಿಂದ ಅವುಗಳನ್ನು ನಿರ್ವಹಿಸುವುದರಲ್ಲಿ ಹೆಚ್ಚಿನ ಕಾಲ ವಿನಿಯೋಗ ಆಯಿತು .
8,1963ರ ಏಪ್ರಿಲ್ ತಿಂಗಳಲ್ಲಿ ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳ ಸಭೆ ನಡೆಯಿತು .
7,ನಿರಕ್ಷರತಾ ನಿರ್ಮೂಲನದ ಹೊಣೆಯನ್ನು ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳು ನಿರ್ವಹಿಸತಕ್ಕದ್ದು .
12,ಇದು ಜನತಾ ಚಳವಳಿ ಆಗಬೇಕು ಆದರೆ ಜನತಾ ಮುಖಂಡರು ಸಕ್ರಿಯ ಪಾತ್ರ ವಹಿಸುವುದು ಅನಿವಾರ್ಯ .
19,"ಜಿಲ್ಲಾಪರಿಷತ್ತಿನ ಅಧ್ಯಕ್ಷರು , ಪಂಚಾಯಿತಿ ಅಧ್ಯಕ್ಷರು ಮತ್ತು ಅಕ್ಷರ ಪ್ರಚಾರ ಸಲಹಾ ಸಮಿತಿಯ ಸದಸ್ಯರು ಮತ್ತು ಅಧ್ಯಕ್ಷರು ಸಹಕರಿಸದಿದ್ದರೆ ಈ ಕಾರ್ಯವು ಯಶಸ್ವಿ ಆಗಲಾರದು ."
15,"ಆದಕಾರಣ , ಅವರು ಒಂದೆರಡು ಹಳ್ಳಿಗಳಲ್ಲಿ ಆದರೂ ನಡೆಯುವ ಅಕ್ಷರ ಪ್ರಚಾರ ಕಾರ್ಯ ಕ್ರಮದಲ್ಲಿ ನೇರವಾಗಿ ಆಸಕ್ತಿ ವಹಿಸಬೇಕು ."
7,ಕಾರ್ಯಕರ್ತರ ಸಭೆಯಲ್ಲಿ ಭಾಗವಹಿಸಿ ವಿಚಾರ ವಿನಿಮಯ ಮಾಡತಕ್ಕದ್ದು .
14,ಪ್ರತೀ ಸಾಲಿನಲ್ಲೂ ಹೊಸದಾಗಿ ಶೇಕಡ 20 ಹಳ್ಳಿಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ ಅಲ್ಲಿ ನಿರಕ್ಷರತಾ ನಿರ್ಮೂಲನ ಚಳವಳಿಯನ್ನು ಕೈಗೊಳ್ಳಬೇಕು .
10,1964-65ನೆಯ ಸಾಲಿನಿಂದ ಐದು ವರ್ಷಗಳಲ್ಲಿ ಪೂರ್ಣ ಸಾಕ್ಷರತೆಯನ್ನು ಇಡೀ ರಾಜ್ಯದಲ್ಲಿ ಸಾಧಿಸಬೇಕು .
8,ಈ ದೃಷ್ಟಿಯಿಂದ ಚಳವಳಿಯನ್ನು ರೂಪಿಸತಕ್ಕದ್ದು ಎಂಬುದಾಗಿ ಸಮ್ಮೇಳನ ನಿರ್ಧರಿಸಿತು .
10,ಸಮ್ಮೇಳನದ ನಿರ್ಧಾರದ ಪರಿಣಾಮ ಆಗಿ ಕೆಲವು ಕಡೆಗಳಲ್ಲಿ ಒಳ್ಳೆಯ ಕೆಲಸ ನಡೆಯಿತು .
7,ಕೆಲವು ಜಿಲ್ಲಾ ಪರಿಷತ್ತುಗಳು ಮೆಚ್ಚುವಂತಹ ಕೆಲಸ ಮಾಡಿದವು .
8,ಖಾಸಗಿ ಮುಖಂಡರು ಮತ್ತು ಅಧಿಕಾರಿಗಳು ಸಹಕರಿಸಿ ಮನಸಾರೆ ಶ್ರಮಿಸಿದರು .
6,ಜಲಗಾಂ ಜಿಲ್ಲೆಯಲ್ಲಿ ಮಾದರಿಯಾದ ಕೆಲಸ ನಡೆಯಿತು .
10,ತಾಲೂಕು ಗೌರವ ಸಮಾರಂಭ ಏರ್ಪಡಿಸಿದ ಪ್ರಪ್ರಥಮ ಗೌರವ ಸಂದಿರುವುದು ಬಡಗಾಂಪೇಟೆ ತಾಲೂಕಿಗೆ .
16,16-10-1964 ರಂದು ಆಗ ಮಹಾರಾಷ್ಟ್ರದ ಮುಖ್ಯ ಮಂತ್ರಿಗಳು ಆಗಿದ್ದ ಯಶವಂತರಾವ್ ಚವಾನ್ ಈ ಸಮಾರಂಭದ ಅಧ್ಯಕ್ಷತೆಯನ್ನು ವಹಿಸಿ ಚಳವಳಿಯನ್ನು ಆಶೀರ್ವದಿಸಿದರು .
8,"ಪರಿಣಾಮವಾಗಿ ಜನತೆಯಲ್ಲಿ ಉತ್ಸಾಹ ನೂರ್ಮಡಿಯಾಗಿ , ಸಾವಿರಮಡಿಯಾಗಿ ಹೆಚ್ಚಿತು ."
22,"ಅಹಮದನಗರ , ಪೂನ , ಕೊಲ್ಲಾಪುರ , ಸಾಂಗ್ಲಿ , ನಾಸಿಕ್ , ನಾಗಪುರ , ಬುಲ್ಡಾನ , ಉಸ್ಮಾನಬಾದ್ ಮತ್ತು ಖಿರ್ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಒಳ್ಳೆಯ ಕೆಲಸ ನಡೆಯಿತು ."
11,29-8-1969 ರಲ್ಲಿ ಮಹಾರಾಷ್ಟ್ರದ ವಿದ್ಯಾಮಂತ್ರಿಗಳ ಅಧ್ಯಕ್ಷತೆಯಲ್ಲಿ ಕೊಲ್ಲಾಪುರದಲ್ಲಿ ಗೌರವ ಸಮಾರಂಭ ಪ್ರಪ್ರಥಮವಾಗಿ ನಡೆಯಿತು .
9,ಇಡೀ ಜಿಲ್ಲೆಯಲ್ಲಿ ಎಲ್ಲರೂ ಅಕ್ಷರಸ್ಥರು ಆದರು ಎಂಬ ಘೋಷಣೆ ಹೊರಟಿತು .
17,"ಜೂನ್ 1964 ರಲ್ಲಿ ಜಿಲ್ಲಾ ಪರಿಷತ್ತಿನ ಅಧ್ಯಕ್ಷರ , ಶಿಕ್ಷಣ ಸಮಿತಿ ಅಧ್ಯಕ್ಷರ ಜಿಲ್ಲಾ ಪರಿಷತ್ತಿನ ಕಾರ್ಯನಿರ್ವಾಹಕ ಅಧಿಕಾರಿಗಳ ಸಭೆ ನಡೆಯಿತು ."
6,ಅಲ್ಲಿ ಕೆಲಸ ಕಾರ್ಯಗಳ ವಿಮರ್ಶೆ ಆಯಿತು .
11,ಇನ್ನು ಕೇವಲ ಐದು ವರ್ಷಗಳಲ್ಲಿ ನಿರಕ್ಷರತೆಯನ್ನು ತೊಲಗಿಸಬೇಕು ಎಂದು ಸಮ್ಮೇಳನ ತೀರ್ಮಾನ ಮಾಡಿತು .
9,ಕಳೆದ ನಾಲ್ಕು ವರ್ಷಗಳಲ್ಲಿ 4700 ಹಳ್ಳಿಗಳು ಪೂರ್ಣ ಸಾಕ್ಷರತೆಯನ್ನು ಸಾಧಿಸಿದ್ದವು .
8,ಸುಮಾರು 20 ಲಕ್ಷ ಮಂದಿ ವಯಸ್ಕರು ಓದುಬರೆಹ ಕಲಿತರು .
10,1961-62 ರಿಂದ 1969-70ರ ವರೆಗೆ 8886474 ಮಂದಿ ವಯಸ್ಕರು ಅಕ್ಷರಸ್ಥರು ಆದರು .
11,ಚಳವಳಿಗೆ ಮುನ್ನ ಒಬ್ಬನನ್ನು ಅಕ್ಷರಸ್ಥನನ್ನಾಗಿ ಮಾಡಲು ತಲಾ ಸರಾಸರಿ ಆರು ರೂಪಾಯಿ ಬೀಳುತ್ತಿತ್ತು .
7,ಈಗ ಅದು ಕೇವಲ ಒಂದು ರೂಪಾಯಿಗೆ ಇಳಿಯಿತು .
14,ಅಕ್ಷರಸ್ಥರಾದ ವಯಸ್ಕರಿಗೆ ತಲಾ 50 ಪೈಸೆಯಂತೆ ಲೆಕ್ಕ ಹಾಕಿ ಸರಕಾರ ಸಂಬಂಧಪಟ್ಟ ಗ್ರಾಮ ಪಂಚಾಯಿತಿಗೆ ಹಣ ನೀಡಿತು .
12,ನವಸಾಕ್ಷರರಿಗೆ ಹೊಸದಾಗಿ ಸಾಹಿತ್ಯ ರಚಿಸಿ ಒದಗಿಸಲು ತಗುಲಿದ ಖರ್ಚು ತಲಾ ಸರಾಸರಿ 50 ಪೈಸೆ .
12,ಭಾರತ ಸರಕಾರದ ಯೋಜನಾ ವಿಭಾಗವು ಮಹಾರಾಷ್ಟ್ರದ ಗ್ರಾಮ ಶಿಕ್ಷಣ ಚಳವಳಿಯ ಮೌಲ್ಯ ಮಾಪನ ಮಾಡಿದೆ .
12,ಜನತೆಯಿಂದಲೇ ಜನತೆಯ ಸಲುವಾಗಿ ಚಳವಳಿಯ ಕೊರತೆ ಮತ್ತು ಯಶಸ್ಸನ್ನು ಬೆಳಕಿಗೆ ತರುವುದು ಅದರ ಉದ್ದೇಶ .
8,ಮಹಾರಾಷ್ಟ್ರದ 1250 ಗ್ರಾಮಗಳಲ್ಲಿ ನಿರಕ್ಷರತಾ ನಿವಾರಣಾ ಚಳವಳಿ ನಡೆಯಿತಷ್ಟೇ ?
11,ಅವುಗಳ ಪೈಕಿ 63 ಹಳ್ಳಿಗಳನ್ನು ಯಾದೃಚ್ಛಿಕ ಮಾದರಿ ಆಯ್ಕೆಯ ರೀತ್ಯಾ ಆಯ್ಕೆ ಮಾಡಲಾಯಿತು .
9,ವಿಷಯ ಸಂಗ್ರಹಿಸಲು ಪ್ರಶ್ನಾವಳಿಯನ್ನು ತಯಾರಿಸಿ ವಿವಿಧ ಹಂತದ ಅಧಿಕಾರಿಗಳಿಗೆ ರವಾನಿಸಿದರು .
