treedepth,sentences
3,डलहौजी में एक झरना पर्यटकों के पिकनिक स्थल के रूप में मौजूद है ।
6,अगर गाँधी चौक से पंजपुला के रास्ते पर निकलें तो एक चश्मा आता है ।
3,पहले चश्मे में इतना पानी होता था कि 7 धाराएँ बनती थीं ।
2,आज चश्मे में से एक धारा निकलती है ।
4,विश्राम करने और ठंडा पानी पीने के लिए सप्तधारा अच्छा ठौर है ।
6,यह चश्मा चंबा के राजाओं के एक महल और उस की ऐतिहासिक व कलात्मक सुंदरता के लिए जाना जाता है ।
4,यहाँ देवदार और गहरी ढलानों में सीढ़ीनुमा खेत आकर्षण का केन्द्र हैं ।
6,"डलहौजी में यह ऐसा सबसे ऊँचा पर्वत शिखर है जहाँ से व्यास , चिनाब और रावी नदियों को एक साथ देखा जा सकता है ।"
2,यह स्थल ’ म्यूजिकल पीक ’ भी कहलाता है ।
4,देवदार के अनोखे झुंडों और घने जंगलों के बीच यह स्थान सैलानियों को नया एहसास कराता है ।
3,डलहौजी के अभ्यारण्य में वन्यजीवों और दुर्लभ पक्षियों को वन विभाग की अनुमति से देखा जा सकता है ।
3,कालाटोप गांधी चौक से 8 किलोमीटर दूर है ।
4,अप्रैल से जून और सितंबर से अक्तूबर तक बेहतर मौसम रहता है ।
2,अगस्त के बाद गर्म कपड़े साथ रखें ।
3,सामान्य स्वेटर व शाल हर मौसम में चाहिए ।
7,"डलहौजी से तिब्बती व हिमाचली शिल्प की वस्तुएँ , शाल और टोपियाँ व मेवे खरीद सकते हैं ।"
5,"चंबा में चौगान के चारों ओर फैले बाजार में हिमाचली वस्त्र , चप्पल व मेवों की दुकानें हैं ।"
3,चंबा के रुमाल प्रसिद्ध हैं ।
3,खजियार डलहौजी से 22 किलोमीटर दूर है ।
6,डलहौजी जाकर खजियार सभी जाना चाहते हैं क्योंकि यह हर प्रकार के पर्यटकों और बच्चों को लुभाता है ।
5,दूरदूर तक फैला मखमली मैदान है जो देवदार के जंगल से घिरा है ।
5,खजियार में ठहरने और खाने - पीने की पूरी सुविधा है ।
6,खुली प्रकृति में बेखटके घूमने और चाँदनी रातों में खुले आकाश के नीचे फुरसत से तंबू में रहने वालों के लिए खजियार अच्छी जगह है ।
3,खजियार को हिमालय का स्विट्जरलैंड कहा जाता है ।
3,खजियार की शाम हर सैलानी को सुकून देती है ।
5,बच्चों को दौड़ने और खुशी से चिल्लाने का मौका मिलता है ।
4,घुड़सवारी यहाँ का मुख्य मनोरंजन और रोमांच है ।
5,और भी कई सैद्धांतिक कारण हैं जो संयोजन चिकित्सा का समर्थन करते हैं ।
3,विभिन्न दवाओं के उपयोग से अलग प्रकार की प्रतिक्रिया होती है ।
3,INH जीवाणु की प्रतिकृति के खिलाफ जीवाणुनाशक है ।
4,"EMB कम खुराक पर जीवाणुरोधी है , परन्तु इसका उपयोग तपेदिक उपचार में उच्च जीवाणुनाशक खुराक में किया जाता है ।"
4,RMP जीवाणुनाशक है और इसका निःसंक्रामक प्रभाव पड़ता है ।
5,"PZA केवल कमजोर जीवाणुनाशक है , लेकिन मैक्रोफेज की स्थिति में या तीव्र सूजन के स्थानों में , अम्लीय वातावरण में स्थित जीवाणुओं के लिए बहुत अधिक प्रभावी है ।"
5,रिफाम्पिसिन के आने से पहले टीबी के सभी उपचार 18 माह या इससे भी लम्बी अवधि के लिए प्रयुक्त किये जाते थे ।
3,"1953 में , संयुक्त राष्ट्र की मानक खुराक 3SPH / 15PH या 3SPH / 15SH थी ।"
3,"1965 और 1970 के बीच , EMP ने PAS की जगह ले ली ।"
6,1968 में टीबी के उपचार के लिए RMP का उपयोग किया जाने लगा और 1970 में BTS के अध्ययन से यह पता चला कि 2HRE / 7HR प्रभावोत्पादक था ।
5,"1984 में , एक BTS अध्ययन से पता चला कि 2HRZ / 4HR प्रभावोत्पादक था , इसके अप्रभावी होने की दर ( रिलेप्स ) दो साल के बाद 3 प्रतिशत से भी कम पाई गयी ।"
8,"1995 में , जब यह पता चला कि INH प्रतिरोध बढ़ रहा है , BTS के साथ EMB या STM को मिलाने की सलाह दी गयी : 2HREZ / 4HR या 2SHRZ / 4HR , इसी खुराक का उपयोग वर्तमान में किया जा रहा है ।"
8,विश्व स्वास्थ्य संगठन ने सलाह दी कि अगर 2 महीने के उपचार के बाद भी रोगी का कल्चर पोज़िटिव पाया जाता है तो उसके लिए HR की छह माह की निरंतरता प्रावस्था का उपयोग किया जाना चाहिए ।
7,( लगभग 15 प्रतिशत रोगी जिनमें पूर्ण - संवेदी टीबी होती है ) और उन रोगियों में भी इसका उपयोग किया जाना चाहिए जिनमें उपचार की शुरुआत में व्यापक द्विपक्षीय गुहिका ( bilateral cavitation ) का निर्माण हो गया हो ।
6,"डॉट्स ( DOTS ) शब्द का उपयोग "" प्रत्यक्ष प्रेक्षित थेरेपी , छोटा - कोर्स ( Directly Observed Therapy , Short - course ) "" के लिए किया जाता है और यह टीबी रोकने के लिए विश्व स्वास्थ्य संगठन ( WHO ) की एक मुख्य योजना है ।"
8,"इसमें टीबी के नियंत्रण के लिए सरकार की वचनबद्धता , टीबी के सक्रिय लक्षणों से युक्त रोगियों में थूक - स्मियर माइक्रोस्कोपिक परीक्षण , प्रत्यक्ष प्रेक्षण छोटे - कोर्स कीमोथेरेपी उपचार , दवाओं की एक निश्चित आपूर्ति , मानकीकृत रिपोर्टिंग और मामलों और उपचार के परिणामों की रिकॉर्डिंग शामिल है ।"
8,डब्ल्यूएचओ की सलाह है कि पहले दो माह के लिए टीबी के सभी रोगियों की थेरेपी ( उपचार ) प्रेक्षित होनी चाहिए ( और हो सके तो पूरी थेरेपी प्रेक्षित ही होनी चाहिए ) ।
7,इसका अर्थ यह है कि रोगी को देखने वाला स्वतंत्र प्रेक्षक उसके टीबी - रोधी उपचार ( anti - TB therapy ) पर पूरी निगरानी रखे ।
5,"स्वतंत्र प्रेक्षक अक्सर कोई स्वास्थ्यरक्षा कार्यकर्ता नहीं होता , वह एक दुकानदार या समाज में कोई बड़ा व्यक्ति या इसी तरह से कोई वरिष्ठ व्यक्ति हो सकता है ।"
4,डॉट्स का उपयोग आंतरायिक खुराक के साथ ( सप्ताह में तीन बार या 2HREZ / 4HR ) किया जाता है ।
11,"सप्ताह में दो बार खुराक भी प्रभावी है लेकिन डब्ल्यूएचओ के द्वारा इसकी सलाह नहीं दी जाती , क्योंकि इसमें गलती ( अगर कोई एक खुराक लेना भूल जाये तो सप्ताह में ली गयी केवल एक खुराक प्रभावी नहीं होती ) के लिए मार्जिन नहीं होता है ।"
7,डॉट्स का ठीक प्रकार से उपयोग करने से उपचार की सफलता की दर 95 प्रतिशत से भी अधिक होती है और यह भविष्य में टीबी के कई दवाओं के प्रति प्रतिरोध के स्ट्रेस ( उपभेदों ) ( multi - drug resistant strains of tuberculosis ) के विकास को भी रोकती है ।
5,"डॉट्स का उपयोग तपेदिक के फिर से होने की संभावना को कम करता है , जिसके परिणामस्वरूप उपचार के सफल होने की दर में कमी आती है ।"
2,द्वितीय विश्वयुद्ध के दौरान चाइनीज सैनिकों को रामगढ़ में अमेरिकन प्रशिक्षक द्वारा ब्रिटिश खर्चे पर प्रशिक्षित किया गया था ।
4,"रामगढ़ छावनी कोयला खदान क्षेत्रों जैसे रजरप्पा , सयाल एवं गिद्दी से घिरा है ।"
4,रजरप्पा / छिन्नमस्तिका मंदिर रामगढ़ बोकारो मार्ग पर रामगढ़ से 38 कि.मी. की दूरी पर स्थित है ।
4,चित्तरपुर से भी रजरप्पा / छिन्नमस्तिका मंदिर जाने का मार्ग है ।
5,रजरप्पा / छिन्नमस्तिका मंदिर दामोदर नदी और भेड़ा नदी ( भैरवी नदी ) के संगम स्थल पर बसा हुआ है ।
3,रजरप्पा / छिन्नमस्तिका मंदिर की प्रसिद्धि शक्तिपीठ के रूप में है ।
2,तांत्रिकों ने तंत्र साधना के लिए इसे उपयुक्त स्थल बताया है ।
5,नदियों के संगम स्थल पर जो मंदिर के ठीक सामने है सुंदर किन्तु छोटा प्रपात है ।
4,"जब भैरवी नदी दामोदर पर गिरती है , यहाँ 23 फीट ऊँचा प्रपात बनता है ।"
3,रजरप्पा / छिन्नमस्तिका मंदिर के चारों ओर महाविद्याओं के मंदिर स्थापित किए गये हैं ।
1,"यथा - तारा , षोडशी , भुवनेश्वरी , भैरवी , बागला , कमला , मातंगी , धूमावती आदि ।"
7,अनुमान के आधार पर लोग कहते हैं रजरप्पा / छिन्नमस्तिका मंदिर समुद्रगुप्त काल का मंदिर है ( 320 से 380 ई. के बीच ) किन्तु कुछ लोग इसे महाभारत काल से भी जोड़ते हैं ।
3,पतरातू में ताप विद्युत गृह की स्थापना की गयी है ।
3,पतरातू रामगढ़ से 35 कि.मी. पश्चिम में स्थित है ।
4,पतरातू में एक विशाल डैम भी है जो प्रसिद्ध पिकनिक स्थल के रूप में विकसित किया हुआ है ।
4,रामगढ़ छावनी रेलवे स्टेशन मुरी बरकाना रेललाईन पर स्थित है जो राँची हजारीबाग रोड पर स्थित है ।
3,अतीत में रामगढ़ से होकर दामोदर नदी गुजरती थी ।
3,रामगढ़ शहर वर्ष 1940 में ऑल इंडिया कांग्रेस सेशन का स्थल रह चुका है ।
5,रामगढ़ देश के दो प्रतिष्ठित रेंजिमेंटों सिख रेंजिमेंट और पंजाब रेंजिमेंट का केन्द्र रहा है ।
7,"गिरिडीह एक बेहद प्राचीन एवं सुन्दर शहर जो मनोरम पहाड़ एवं पहाड़ियों की गोद में बसा हुआ है , तथा शुरू से ही भ्रमणकारियों विशेषकर पश्चिम बंगाल से पर्यटकों को अपनी ओर आकर्षित करता रहा है ।"
6,गिरिडीह जिले के पर्यटन स्थलों में पारसनाथ मंदिर के अतिरिक्त अन्य स्थल जैसे हरिहरधाम जो जिला मुख्यालय से दक्षिण - पश्चिम दिशा में बगोदर प्रखंड में अवस्थित है ।
3,हरिहरधाम में देश का सबसे बड़ा शिवलिंग विराजमान है ।
3,हर वर्ष देशभर से हजारों लोग हरिहरधाम भ्रमण करने आते हैं ।
4,"गिरिडीह जिले के पर्यटन स्थलों के अन्य पर्यटन आकर्षणों में उसरी जलप्रपात , बैदाडीह , दालगंडो गाँव इत्यादि हैं ।"
5,"पारसनाथ झारखण्ड का सबसे ऊँचा पहाड़ है , जिसकी ऊँचाई 4441 फीट है ।"
4,पारसनाथ पहाड़ पर जैनियों का सबसे प्रमुख धार्मिक स्थल है जिसे सम्मेद शिखर भी कहते हैं ।
6,सम्मेद शिखर के लिए यह प्रसिद्ध है कि जैनियों के 20वें तीर्थकारों ने यहीं पर निर्वाण प्राप्त किया था ।
3,उन सभी तीर्थकारों के चरणचिह्न एक साथ हैं ।
4,पारसनाथ के पत्थर आसपास के पत्थरों की तुलना में कड़े हैं अतः उनका अपरदन इस पहाड़ के पत्थरों की तुलना में अधिक हो जाता है ।
2,बैदाडीह स्थान बड़े कुएँ के लिए प्रसिद्ध है ।
3,इस कुएँ का पानी महत्वपूर्ण औषधिय खनिज को समाहित किये हुए है ।
4,बैदाडीह के बड़े कुएँ के पास लक्ष्मी पूजा के अवसर पर वृहद मेला आयोजन की परम्परा रही है ।
1,"सम्मेद शिखरजी , जैनियों का विश्व प्रसिद्ध तीर्थस्थल -"
1,विशेषता : जैन संप्रदाय के 24वें में से 20 तीर्थकारों की निर्वाण भूमि ।
5,"सम्मेद शिखरजी , पवित्र तीर्थ को दिगंबर और श्वेताम्बर दोनों संप्रदाय के जैनी पूजते हैं ।"
6,2000 वर्ष पुराने मंदिरों के दालगंडो गाँव का पर्यटन के लिहाज से बड़ा ही विशेष महत्व है ।
6,साथ ही यहाँ हरियाली से लबरेज झारखण्ड की सबसे ऊँची पहाड़ी होने का गौरव भी पार्श्वनाथ पर्वत को प्राप्त है ।
5,पारसनाथ पर्वत की तलहटी पर मधुवन गाँव पीरटाँड़ प्रखंड के अन्तर्गत आता है जहाँ जैनियों के तीर्थस्थल बसे हुए हैं ।
5,मधुवन में अनेक जैन मंदिर हैं जिन्हें 2000 वर्षों से भी अधिक प्राचीन कहा जाता है ।
3,मधुवन में सामोशरण मंदिर तथा भोमिया जी स्थान काफी सुन्दर एवं महत्वपूर्ण माने जाते हैं ।
5,"इसके अतिरिक्त मधुवन में श्वेताम्बर मंदिर , अदिनाथ का टोंक , नन्दीश्वर द्वीप , सहस्रकूट , जिन चैत्यालय आदि प्रमुख स्थल हैं ।"
2,दलगंडो शिव मंदिर के लिए प्रसिद्ध है ।
3,दलगंडो में शिवरात्रि के अवसर पर सालाना मेला लगता है ।
6,"झारखण्डी धाम तीर्थयात्रियों के लिए एक प्रमुख स्थान है , जहाँ से झारखण्ड नाम की उत्पत्ति हुई है ।"
4,यहाँ अवस्थित शिव मंदिर में प्रतिवर्ष मेले का आयोजन होता है ।
1,खंडोली
5,गिरिडीह से आठ किलोमीटर उत्तर में पहाड़ियों की तराई में अवस्थित यह एक महत्वपूर्ण पिकनिक स्थल है ।
3,खंडोली पिकनिक स्थल में पर्यटन विभाग द्वारा प्रत्येक वर्ष जिला प्रशासन की ओर से एडवेंचर टूरिज्म फेस्टीवल का आयोजन किया जाता है ।
4,गिरिडीह शहर से 13 कि.मी. पूरब में उसरी नदी पर एक सुंदर जलप्रपात है जिसे उसरी प्रपात कहा जाता है ।
3,उसरी प्रपात का रमणीक दृश्य हजारों पर्यटकों को प्रतिदिन आकर्षित करता है ।
2,यह एक प्रसिद्ध पिकनिक स्थल भी है ।
2,जिसमें सैकड़ों लोग खड़े हो सकते हैं ।
4,जम्मू से शिवखोड़ी तक का रास्ता प्राकृतिक सौंदर्य से भरपूर है ।
6,अखनूर जम्मू से 32 किलोमीटर की दूरी पर स्थित एक सुंदर पिकनिक स्थल है ।
5,अखनूर वह स्थान है जहाँ चिनाब नदी पहाड़ों से बलखाती हुई मैदान में उतर आती है ।
3,अतीत का शाही महल आज अमर पैलेस संग्रहालय के नाम से जाना जाता है ।
5,"तवी नदी के किनारे बने शाही महल की विशेषता इसकी बेहतरीन वास्तुशिल्प है ,"
3,शाही महल का डिजाइन एक फ्रेंच वास्तुकार ने तैयार किया था ।
3,शाही महल में पुराने समय की अनेक नायाब वस्तुएँ संगृहीत हैं ।
7,यहाँ का पहाड़ी चित्रकला से संबधित अनूठे चित्रों का संग्रह देखने लायक है ।
6,"जम्मू - श्रीनगर राष्ट्रीय मार्ग पर स्थित पर्यटन स्थल झज्जर कोटली , पर्यटकों के लिए एक अच्छा पिकनिक स्थल है ।"
5,"झज्जर कोटली में कलकल करता एक झरना है , जिसका स्वच्छ पानी पर्यटकों की थकान दूर करता है ।"
4,"भारत की सबसे पुरानी तहसील रामनगर , जम्मू से 102 किलोमीटर की दूरी पर है ।"
5,रामनगर तहसील का मुख्य आकर्षण यहाँ बना किला और मंदिर हैं ।
4,जम्मू श्रीनगर राष्ट्रीय राजमार्ग पर कुद और बटोट कस्बों के बीच जम्मू से 122 किलोमीटर दूर स्थित है पटनीटाप ।
3,पटनीटाप क्षेत्र खूबसूरती का पर्याय माना जाता है ।
6,देवदार के घने जंगल और हरी हरी घास के सुंदर ढलान पटनीटाप आने वाले पर्यटकों का मन मोह लेने के लिए काफी हैं ।
4,उधमपुर जिले में आने वाला पटनीटाप क्षेत्र एक मशहूर रिसोर्ट में तब्दील हो चुका है ।
5,पटनीटाप विकास प्राधिकरण ने इस स्थान को और अधिक आकर्षक बनाने के लिए इस के सनासर आदि स्थानों का विकास किया है ।
3,पटनीटाप पर पूरे साल पर्यटकों का तांता लगा रहता है ।
3,स्कीइंग के शौकीनों के लिए पटनीटाप जगह काफी रोमांचक है ।
3,सर्दियों में पटनीटाप में स्कीइंग का आयोजन किया जाता है ।
4,स्कीइंग को बढ़ावा देने के मकसद से यहाँ पर अब सिखाने का भी प्रबंध किया गया है जो आप एक सप्ताह के भीतर सीख सकते हैं ।
6,पटनीटाप से जुड़े नत्थाटाप के बाद पड़ने वाली खूबसूरत सनासर घाटी को खासतौर पर पैराग्लाइडिंग के लिए विकसित किया गया है ।
2,पटनीटाप में एक खूबसूरत झील भी है ।
4,झील के किनारे बैठ कर सैलानी प्रकृति के सुंदर नजारों का लुत्फ उठाते हैं ।
6,पटनीटाप में पैराग्लाइडिंग सीखने आए देशी - विदेशी पर्यटकों के खेलने के लिए गोल्फ का एक मैदान भी है ।
5,झेलम नदी के किनारे बसा श्रीनगर जम्मू - कश्मीर प्रदेश का एक खूबसूरत शहर है ।
3,श्रीनगर में हर तरफ कुदरत के हसीन नजारे देखने को मिलते हैं ।
6,"हर तरफ बिखरी हरियाली , हरीभरी घाटियाँ , पहाड़ों को चूमती झीलों का प्राकृतिक सौंदर्य और उस पर खुला नीला आसमान ।"
5,"जी हाँ , धरती का स्वर्ग यानी श्रीनगर की ये विशेषताएँ ही तो हैं ।"
2,जो श्रीनगर को अन्य पहाड़ी पर्यटन स्थलों से अलग करती हैं ।
4,जहाँगीर ने श्रीनगर शहर की खूबसूरती से प्रभावित होकर ही इसे धरती के स्वर्ग के नाम से नवाजा था ।
3,श्रीनगर शहर के अंदर और इसके आसपास कुदरत के बेशकीमती खजाने बिखरे पड़े हैं ।
5,"बस , देरी है तो इन्हें अपनी आँखों में समेट लेने की ।"
4,श्रीनगर आने वाले देशीविदेशी सैलानियों को पैदल चलने में थकान नहीं लगती ।
4,क्योंकि श्रीनगर का मौसम नया रंग बिखेरते हुए आता है ।
3,श्रीनगर को जम्मू - कश्मीर का गौरव भी कहा जाता है ।
3,श्रीनगर अपनी बेपनाह खूबसूरती के अलावा ट्रैडिशनल कश्मीरी हैंडीक्राफ्ट और सूखे मेवों के लिए प्रसिद्ध है ।
4,"श्रीनगर में मुख्यतया: कश्मीरी , डोगरी , उर्दू व अंग्रेजी भाषाएँ बोली जाती हैं ।"
4,श्रीनगर घूमने का सबसे बढ़िया समय अप्रैल से जून है ।
7,"समुद्रतल से 1,730 मीटर की ऊँचाई पर स्थित श्रीनगर का जर्रा - जर्रा दुनिया भर के सैलानियों को अपनी तरफ खींचता है ।"
5,"श्रीनगर में बहने वाली डल झील , वूलर झील , मुगलकालीन बगीचे , हजरतबल दरगाह , गुलमर्ग आदि यहाँ के दर्शनीय स्थल हैं ।"
3,"पहलगाम , सोनमर्ग आदि श्रीनगर के मुख्य आकर्षणों में शुमार हैं ।"
3,डल झील अपनी खूबसूरती के लिए दुनिया भर में मशहूर है ।
3,डल झील जम्मू - कश्मीर की दूसरी बड़ी झील है ।
3,डल झील चारों तरफ से पर्वत की चोटियों से घिरी है ।
6,6 किलोमीटर लंबी और 3 किलोमीटर चौड़ी झील के किनारों पर हरे - भरे बगीचे अपनी रौनक बिखेर रहे हैं ।
4,झील में बत्तखों की तरह तैरने वाले शिकारे सैलानियों को झील व टापुओं की सैर करवाते हैं ।
5,झील के पानी में तैरते घर के आकार की हाउस बोट्‍स लोगों को एक अलग और खास तरह का मजा देती हैं ।
4,रात में इन हाउस बोट्स से निकलने वाली सुनहरी रोशनी झील के पानी व आसपास के नजारे को और ज्यादा मनमोहक बना देती है ।
3,उसमें तैयार आलू का मसाला डालें ।
4,दो मिनट बाद आंच से उतार लें और ठंडा होने पर उसकी छोटी - छोटी गोली बनाएं ।
5,अब ब्रेड की स्लाइस के किनारे हटा कर उसे पानी में डुबोएं ।
4,उसमें मसाले की गोली रखकर हल्के हाथ से दबाएं ।
2,नॉन स्टिक तवे में तल लें ।
6,"कुरकुरी होने पर दही , हरी और इमली की चटनी एवं सेंव बुरकाएं और प्लेट में सजा कर पेश करें ।"
5,आप चाहे तो इसे मैदे की पूरी में भी भर कर तल सकते हैं ।
4,आटे में सब सामग्री मिलाकर पूड़ी जैसा आटा गूंथ कर थोड़ी देर के लिए रख दें ।
7,"अब बेसन में सारे मसाले डालें और अच्छा मोयन डालकर गोली बन जाए , ऐसा गूंथ कर छोटी - छोटी गोली बना लें ।"
5,"आटे की लोई बनाकर पूरी बेलें , फिर बेसन की गोली रखकर हाथ से गोल - गोल दबाते हुए कचोरी बना लें ।"
3,एक तेल गरम करके धीमी आंच पर सारी कचोरी तल लें ।
2,अब गरमा - गरम कचोरी चटनी के साथ पेश करें ।
3,यह कचोरी चार दिन के लिए रखने पर भी खराब नहीं होती ।
0,चाहे तो इसे चाट की सामग्री डालकर भी खा सकते हैं ।
4,कॉटेज चीज के डेढ़ - डेढ़ इंच के टुकड़े काट लें ।
5,"इन टुकड़ों पर नमक , पीली मिर्च पावडर व अदरक - लहसुन पेस्ट डाल कर पैंतालीस मिनट के लिए रख दें ।"
3,ताकि इसमें से अतिरिक्त पानी बाहर निकल आए ।
2,अब एक बड़ा बाउल लें ।
2,उसमें पनीर डालें ।
2,हाथ से मसलें ।
4,"उसमें भूना बेसन , जीरा , धनिया पावडर , नमक व जावित्री पावडर मिला लें ।"
4,गीले पानी में भीगी सौंफ को उसमें मिला दें ।
2,अब उसमें क्रीम मिला दें ।
4,इस मिश्रण में कॉटेज चीज के टुकड़े मिला दें और एक - दो घंटे के लिए मेरीनेट होने के लिए रख दें ।
5,तत्पश्चात इनकी छोटी - छोटी टिकिया बनाकर डीप फ्राई अथवा तवे पर तेल लगाकर दोनों तरफ से कुरकुरी होने तक सेंक लें ।
6,तत्पश्चात हरी और मीठी चटनी तथा दही मिलाकर गरमा - गरम तिल - पनीर की टिकिया पेश करें ।
2,चना दाल को दो घंटे पहले पानी में भिगो दें ।
4,आटे में नमक व मोयन डालकर गूंथ लें ।
2,दाल को उबाल लें ।
3,ठंडा होने पर पीस लें ।
0,"कड़ाही को गैस पर रखें , उसमें दो चम्मच तेल रखकर सौंफ व हींग का बघार देकर अदरक - लहसुन का पेस्ट डालकर हल्का - सा सेंकें व पिसी हुई दाल व सभी मसाले डालकर धीमी आंच पर हल्का गुलाबी होने तक सेकें ।"
2,ऊपर से हरा धनिया डालें ।
4,अब आटे की छोटी - छोटी लोई बना कर बेल लें और मसाला भरे ।
3,हलके हाथों से बेल कर तवे पर तेल लगाकर दोनों ओर से सेकें ।
3,"लाजवाब नमकीन पूरी आमटी , टमाटर सॉस या हरी चटनी के साथ परोसें ।"
3,"सर्वप्रथम चुकंदर को धोकर , कुकर में रखकर 1 सीटी लगा कर पका लें ।"
3,तत्पश्चात मिक्सी में नारियल को महीन करके पेस्ट बना लें ।
3,चाहे तो जरूरतानुसार थोड़ा - सा दूध या पानी डाल सकते हैं ।
3,चुकंदर को छीलकर हाथ से महीन मसल लें ।
4,"अब एक बड़े कटोरे में मसला हुआ चुकंदर , नारियल पेस्ट , दही , दोनों तरह के नमक मिला लें ।"
5,"एक बड़े चम्मच में तेल गरम करके राई , मीठा नीम और लाल मिर्च तड़काएं और तैयार रायते में डाल दें और फ्रिज में रख दें ।"
4,ठंडा होने पर हरा धनिया बुरका कर चुकंदर का लजीज रायता घर वालों को पेश करें ।
3,यह रायता सेहत बनाने के लिए बहुत लाभकारी है ।
3,सबसे पहले दो कप पानी लेकर शक्कर गला लें ।
3,फिर सभी मेवा सामग्री को मिक्स करके 3 - 4 घंटे के लिए भिगो कर रखें ।
0,तत्पश्चात पानी निथारकर मिक्सी में बारीक पीस लें ।
4,पतले कपड़े की सहायता से पीसे हुए मिश्रण को छान लें ।
5,"उसमें थोडा पानी , शक्कर और अंगूर और संतरे मसलते हुए पूरी ठंडाई को छान लें ।"
4,अब उसमें भांग की दो गोलियां मिलाएं और अच्छी तरह घोंट लें ।
2,थोड़ी देर के लिए फ्रिज में रखें ।
8,अगर आप सौभाग्यशाली रहे तो सील की तरह दिखने वाले डगोंग नाम के एक स्तनधारी जीव को देख पाएँगे जो आज विलुप्ति के अंतिम कगार पर खड़ा है ।
