,temp,sentid,word,tag
69,69,5,jarigiMxi,O
70,70,5,.,O
71,71,6,prAwa,O
72,72,6,grIkuwawwvavewwa,B-NETP
73,73,6,aristAtil,B-NEP
74,74,6,wAnu,O
75,75,6,raciMcina,O
76,76,6,pramuKa,O
77,77,6,graMWAniki,O
78,78,6,`,O
79,79,6,pAlitiks,B-NETO
80,80,6,.,O
81,81,6,.,O
82,82,6,ani,O
83,83,6,perupeVttAdu,O
84,84,6,.,O
85,85,7,viviXa,O
86,86,7,rAjakIya,O
87,87,7,BAvAlanu,O
88,88,7,samagraMgA,O
89,89,7,vivariMcina,O
90,90,7,aristAtil,B-NEP
91,91,7,"""",O
92,92,7,rAjanIwiSAswrapiwa,B-NETP
93,93,7,"""",O
94,94,7,gA,O
95,95,7,piluvabaducunnAdu,O
96,96,7,.,O
97,97,8,Postar,B-NEP
98,98,8,aBiprAyaMlo,O
99,99,8,",",O
100,100,8,"""",O
101,101,8,pAlitiks,B-NETO
102,102,8,.,O
103,103,8,graMWamu,O
104,104,8,oVkkate,O
105,105,8,saMpUrNa,O
106,106,8,prAcIna,O
107,107,8,grIkuwawvAnni,B-NETE
108,108,8,prawibiMbiswuMxi,O
109,109,8,.,O
110,110,9,"""",O
111,111,9,jeVllar,B-NEP
112,112,9,aBiprAyaMlo,O
113,113,9,"""",O
114,114,9,rAjanIwiwawva,O
115,115,9,vicArAniki,O
116,116,9,saMbaMXiMci,O
117,117,9,manakunna,O
118,118,9,graMWAlanniMtilonu,O
119,119,9,pAlitiks,O
120,120,9,.,O
121,121,9,awi,O
122,122,9,praXAnamEnaxi,O
123,123,9,.,O
124,124,10,axi,O
125,125,10,rAjanIwi,O
126,126,10,BAvAla,O
127,127,10,KajAnA,O
128,128,10,"""",O
129,129,10,.,O
130,130,11,svaBAvamu,O
131,131,11,:,O
132,132,11,aristAtil,B-NEP
133,133,11,aBiprAyaMlo,O
134,134,11,"""",O
135,135,11,mAnavudu,O
136,136,11,saMGajIvi,O
137,137,11,"""",O
138,138,11,vyakwiki,O
139,139,11,saMGamuwo,O
140,140,11,vidaxIyarAni,O
141,141,11,saMbaMXamunnaxi,O
142,142,11,.,O
143,143,12,nixra,O
144,144,12,",",O
145,145,12,Akalixappulu,O
146,146,12,vyakwiki,O
147,147,12,eVlA,O
148,148,12,sahaja,O
149,149,12,prapawwulo,O
150,150,12,saMGajIvanamukUda,O
151,151,12,aMwe,O
152,152,12,",",O
153,153,12,oVMtariwanamunu,O
154,154,12,vyakwi,O
155,155,12,BariMcaledu,O
156,156,12,.,O
157,157,13,aMxuke,O
158,158,13,"""",O
159,159,13,e,O
160,160,13,vyakwi,O
161,161,13,saMGamulo,O
162,162,13,jIviMcaledo,O
163,163,13,leka,O
164,164,13,svayaM,O
165,165,13,samqxXi,O
166,166,13,cewa,O
167,167,13,eVvadiki,O
168,168,13,saMGajIviwamu,O
169,169,13,avasaramulexo,O
170,170,13,awadu,O
171,171,13,wappaka,O
172,172,13,paSuvugAni,O
173,173,13,leka,O
174,174,13,BagavaMwudugAni,O
175,175,13,ayiuMdAli,O
176,176,13,"""",O
177,177,13,ani,O
178,178,13,rAjanIwiSAswra,B-NETP
179,179,13,piwAmahudEna,I-NETP
180,180,13,aristAtil,B-NEP
181,181,13,perkoVneVnu,O
182,182,13,.,O
183,183,14,2,B-NEN
184,184,14,.,O
185,185,14,samAjamuloni,O
186,186,14,prawivyakwilo,O
187,187,14,eVMwo,O
188,188,14,koVMwa,O
189,189,14,svArWamuMdunu,O
190,190,14,.,O
191,191,15,wana,O
192,192,15,korikalanu,O
193,193,15,",",O
194,194,15,lakRyAlanu,O
195,195,15,neVravercukoVnutaku,O
196,196,15,niraMwaramu,O
197,197,15,kqRi,O
198,198,15,salputa,O
199,199,15,mAnavula,O
200,200,15,sahaja,O
201,201,15,lakRaNamu,O
202,202,15,.,O
203,203,16,mAnavulalo,O
204,204,16,svArWamu,O
205,205,16,",",O
206,206,16,krUrawvamu,O
207,207,16,",",O
208,208,16,kapatamu,O
209,209,16,",",O
210,210,16,asUya,O
211,211,16,",",O
212,212,16,asahanamu,O
213,213,16,moVxalagu,O
214,214,16,ceVdu,O
215,215,16,guNAlukUda,O
216,216,16,unnavi,O
217,217,16,.,O
218,218,17,vIni,O
219,219,17,PaliwamugA,O
220,220,17,vyakwula,O
221,221,17,maXya,O
222,222,17,saMGarRaNa,O
223,223,17,janiMcunu,O
224,224,17,.,O
225,225,18,oVka,B-NEN
226,226,18,vyakwi,O
227,227,18,aBimawAlu,O
228,228,18,",",O
229,229,18,aBilARalu,O
230,230,18,veroVkari,O
231,231,18,aBimawAlu,O
232,232,18,",",O
233,233,18,aBilARalaku,O
234,234,18,BinnamugA,O
235,235,18,uMdadame,O
236,236,18,kAkuMda,O
237,237,18,saMGamulo,O
238,238,18,viviXa,O
239,239,18,vyakwula,O
240,240,18,korikalu,O
241,241,18,oVkaxAnikoVkati,O
242,242,18,addaMkigA,O
243,243,18,nuMduta,O
244,244,18,valana,O
245,245,18,itti,O
246,246,18,saMGarRaNa,O
247,247,18,janiMcunu,O
248,248,18,.,O
249,249,19,itti,O
250,250,19,saMGarRaNa,O
251,251,19,woVlagiMci,O
252,252,19,saMGajIviwAnni,O
253,253,19,kramabaxXaMcesi,O
254,254,19,purogawini,O
255,255,19,sAXiMcutaku,O
256,256,19,saMGamuloni,O
257,257,19,vAraMxaru,O
258,258,19,koVnni,O
259,259,19,niyamAlu,O
260,260,19,pAtiMcuta,O
261,261,19,avasaramu,O
262,262,19,.,O
263,263,20,itti,O
264,264,20,niyamAlanu,O
265,265,20,rUpoVMxiMcutaku,O
266,266,20,",",O
267,267,20,amalu,O
268,268,20,ceyutaku,O
269,269,20,saMGatiwamEna,O
270,270,20,oVka,B-NEN
271,271,20,aXikAramu,O
272,272,20,avasaramu,O
273,273,20,.,O
274,274,21,oVka,B-NEN
275,275,21,praxeSamuloni,O
276,276,21,prajalu,O
277,277,21,itti,O
278,278,21,niyamAlanu,O
279,279,21,rUpoVMxicutaku,O
280,280,21,",",O
281,281,21,vAtini,O
282,282,21,amalu,O
283,283,21,ceyadAniki,O
284,284,21,oVka,B-NEN
285,285,21,vyakwiki,O
286,286,21,gAni,O
287,287,21,",",O
288,288,21,koVMwamaMxi,O
289,289,21,vyakwulaku,O
290,290,21,gAni,O
291,291,21,aXikAramu,O
292,292,21,iccinapudu,O
293,293,21,atti,O
294,294,21,vyakwula,O
295,295,21,samuxAyamu,O
296,296,21,praBuwvamu,O
297,297,21,anabadunu,O
298,298,21,.,O
299,299,22,oVka,B-NEN
300,300,22,nirNIwa,O
301,301,22,praxeSamulo,O
302,302,22,prajalu,O
303,303,22,wAmu,O
304,304,22,niyamiMcukoVnna,O
305,305,22,praBuwvAniki,O
306,306,22,",",O
307,307,22,viXeyulE,O
308,308,22,A,O
309,309,22,praBuwvAniki,B-NETO
310,310,22,",",O
311,311,22,A,O
312,312,22,BUBAgamuloni,O
313,313,22,prajalanu,O
314,314,22,",",O
315,315,22,saMsWalanu,O
316,316,22,SAsiMce,O
317,317,22,sArvaBOmAXikAramu,B-NETE
318,318,22,uMte,O
319,319,22,xAnini,O
320,320,22,rAjyamaMxuru,O
321,321,22,.,O
322,322,23,itti,O
323,323,23,rAjyamu,O
324,324,23,",",O
325,325,23,praBuwvamula,O
326,326,23,guriMci,O
327,327,23,vyakwiki,O
328,328,23,vAtiwogala,O
329,329,23,saMbaMXamunu,O
330,330,23,guriMci,O
331,331,23,vivariMcunaxe,O
332,332,23,rAjanIwi,B-NETE
333,333,23,SAswramu,I-NETE
334,334,23,.,O
335,335,24,aristAtil,B-NEP
336,336,24,uxxeSaMlo,O
337,337,24,mAnavudu,O
338,338,24,saMGajIvi,O
339,339,24,mAwrame,O
340,340,24,gAka,O
341,341,24,"""",O
342,342,24,rAjakIyajIvi,O
343,343,24,"""",O
344,344,24,kUda,O
345,345,24,.,O
346,346,25,vyakwi,O
347,347,25,jIvanaMlo,O
348,348,25,rAjakIya,O
349,349,25,jIvanaM,O
350,350,25,kUdA,O
351,351,25,aMwarBAgame,O
352,352,25,.,O
353,353,25,mAnavudu,O
354,354,25,wana,O
355,355,25,vyakwiwva,O
356,356,25,vikAsAniki,O
357,357,25,avasaramayina,O
358,358,25,saMsWala,O
359,359,25,neVnniMtino,O
360,360,25,neVlakoVlpukoVnnAdu,O
361,361,25,.,O
362,362,26,rAjyamukUda,O
363,363,26,alAMti,O
364,364,26,saMsWalalo,O
365,365,26,oVkati,O
366,366,26,.,O
367,367,27,mAnavunilo,O
368,368,27,rAjakIya,O
369,369,27,cEwanyamu,O
370,370,27,peVriginakoVxxI,O
371,371,27,rAjyamu,O
372,372,27,",",O
373,373,27,praBuwvamu,O
374,374,27,moVxalEna,O
375,375,27,rAjakIya,B-NETE
376,376,27,saMsWalu,I-NETE
377,377,27,AvirBaviMcinavi,O
378,378,27,.,O
379,379,28,kAlakrameNA,O
380,380,28,viSAlamayina,O
381,381,28,sAmrAjyAlu,O
382,382,28,yerpadi,O
383,383,28,",",O
384,384,28,rAjyAXikAramu,O
385,385,28,aXikamayinaxi,O
386,386,28,.,O
387,387,29,xAniwo,O
388,388,29,hewuvAxiyEna,O
389,389,29,mAnavudu,O
390,390,29,rAjyAvawaraNa,O
391,391,29,",",O
392,392,29,svaBAvamu,O
393,393,29,",",O
394,394,29,aXikArAnni,O
395,395,29,rAjya,O
396,396,29,lakRyAlanu,O
397,397,29,guriMci,O
398,398,29,vicAraNa,O
399,399,29,ceyataM,O
400,400,29,prAraMBiMcAdu,O
401,401,29,.,O
402,402,30,praBuwvAlanu,B-NETE
403,403,30,",",O
404,404,30,SAsanAlanu,B-NETE
405,405,30,pariSIliMcataM,O
406,406,30,prAraMBiMcAdu,O
407,407,30,.,O
408,408,31,I,O
409,409,31,viXaMgA,O
410,410,31,rAjakIya,B-NETE
411,411,31,saMsWala,I-NETE
412,412,31,svaBAva,O
413,413,31,",",O
414,414,31,svarUpAlanu,O
415,415,31,avagAhana,O
416,416,31,cesukoVnutaku,O
417,417,31,mAnavudu,O
418,418,31,cesina,O
419,419,31,kqRiye,O
420,420,31,rAjanIwi,O
421,421,31,SAswra,O
422,422,31,puttukaku,O
423,423,31,",",O
424,424,31,aBivqxXiki,O
425,425,31,kAraNamayiMxi,O
426,426,31,.,O
427,427,32,3,B-NEN
428,428,32,.,O
429,429,32,rAjanIwi,B-NETE
430,430,32,SAswramu,I-NETE
431,431,32,pE,O
432,432,32,samakAlIna,O
433,433,32,rAjakIya,O
434,434,32,vyavasWala,O
435,435,32,praBAvaM,O
436,436,32,vuMtuMxi,O
437,437,32,.,O
438,438,33,axeviXaMgA,O
439,439,33,rAjanIwi,O
440,440,33,sixXAMwAlu,O
441,441,33,amalulovunna,O
442,442,33,rAjakIya,B-NETE
443,443,33,saMsWalanu,I-NETE
444,444,33,vimarSiswUno,O
445,445,33,leka,O
446,446,33,samarWiswUno,O
447,447,33,AvirBaviswAyi,O
448,448,33,.,O
449,449,34,koVnni,O
450,450,34,saMxarBAlalo,O
451,451,34,rAjanIwi,O
452,452,34,sixXAMwAlu,O
453,453,34,AxarSa,O
454,454,34,rAjakIya,B-NETE
455,455,34,saMsWala,I-NETE
456,456,34,nirmANAnni,O
457,457,34,rUpakalpana,O
458,458,34,ceyavaccunu,O
459,459,34,.,O
460,460,35,rAjanIwi,B-NETE
461,461,35,sixXAMwAlu,I-NETE
462,462,35,vAswava,O
463,463,35,rAjakIyAlanu,O
464,464,35,praBAviwaMcesi,O
465,465,35,",",O
466,466,35,uxyamAlaku,O
467,467,35,kAraNAlu,O
468,468,35,kAvaccukUda,O
469,469,35,.,O
470,470,36,uxAharaNaku,O
471,471,36,rUso,B-NEP
472,472,36,",",O
473,473,36,mAMteVskyUla,B-NEP
474,474,36,BAvAlu,O
475,475,36,PreVMci,O
476,476,36,viplavaMnaku,O
477,477,36,oVka,B-NEN
478,478,36,kAraNamEnAyi,O
479,479,36,kaxA,O
480,480,36,!,O
481,481,36,"""",O
482,482,36,pAlitiks,B-NETO
483,483,36,.,O
484,484,36,"""",O
485,485,36,paxaputtuka,O
486,486,36,.,O
487,487,36,rAjanIwi,O
488,488,36,wawvavicAraNa,O
489,489,36,grIku,B-NEL
490,490,36,soPistulawo,O
491,491,36,prAraMBamEMxi,O
492,492,36,.,O
493,493,37,"""",O
494,494,37,pAlitiks,B-NETO
495,495,37,.,O
496,496,37,"""",O
497,497,37,ane,O
498,498,37,paxamu,O
499,499,37,grIkuBARaloni,B-NETO
500,500,37,"""",O
501,501,37,polisTa,O
502,502,37,anu,O
503,503,37,paxamunuMdi,O
504,504,37,puttiMxi,O
505,505,37,.,O
506,506,38,"""",O
507,507,38,polis,O
508,508,38,"""",O
509,509,38,anagA,O
510,510,38,"""",O
511,511,38,nagararAjyamu,O
512,512,38,"""",O
513,513,38,ani,O
514,514,38,arWamu,O
515,515,38,.,O
516,516,39,krI//pU//,B-NETI
517,517,39,5,I-NETI
518,518,39,",",I-NETI
519,519,39,4,I-NETI
520,520,39,",",I-NETI
521,521,39,3,I-NETI
522,522,39,SawAbxAlalo,I-NETI
523,523,39,grIkuxeSaMlo,B-NEL
524,524,39,parimiwamayina,O
525,525,39,janABAnu,B-NETE
526,526,39,",",O
527,527,39,wakkuva,O
528,528,39,viswIrNAnni,B-NETE
529,529,39,kalgivuMdi,O
530,530,39,",",O
531,531,39,svayaM,O
532,532,39,poRakaMgA,O
533,533,39,vuMdina,O
534,534,39,sportA,B-NEL
535,535,39,",",O
536,536,39,eWeVnsuvaMti,B-NETI
537,537,39,nagara,O
538,538,39,rAjyAlu,O
539,539,39,vuMdeVdivi,O
540,540,39,.,O
541,541,40,aMxuvalanane,O
542,542,40,grIku,B-NETO
543,543,40,SAswrajFulu,O
544,544,40,nagararAjyAla,O
545,545,40,rAjakIya,B-NETE
546,546,40,saMsWalanu,I-NETE
547,547,40,aXyayanaM,O
548,548,40,cesexe,O
549,549,40,rAjanIwiSAswramani,B-NETE
550,550,40,BAviMcAru,O
551,551,40,.,O
552,552,41,aMxuvalanane,O
553,553,41,aristAtil,B-NEP
554,554,41,wAnu,O
555,555,41,vrAsina,O
556,556,41,graMXAniki,O
557,557,41,"""",O
558,558,41,pAlitiks,B-NETO
559,559,41,.,O
560,560,41,"""",O
561,561,41,ane,O
562,562,41,perupeVttAdu,O
563,563,41,.,O
564,564,42,rAjanIwiSAswra,O
565,565,42,aBivqxXi,O
566,566,42,:,O
567,567,42,rAjanIwiSAswra,O
568,568,42,aXyayanaM,O
569,569,42,prAcIna,O
570,570,42,grIku,B-NEL
571,571,42,nagara,O
572,572,42,rAjyAlalo,O
573,573,42,prAraMBamEnaxi,O
574,574,42,.,O
575,575,43,pramuKa,O
576,576,43,grIkurAjanIwi,O
577,577,43,wawvavewwalEna,O
578,578,43,pleto,B-NEP
579,579,43,Ayana,O
580,580,43,SiRyudu,O
581,581,43,aristAtil,B-NEP
582,582,43,rAjyAniki,O
583,583,43,saMbaMXiMcina,O
584,584,43,sExXAMwika,O
585,585,43,",",O
586,586,43,vyAvahArika,O
587,587,43,aXyayanAlu,O
588,588,43,ceSAru,O
589,589,43,.,O
590,590,44,aristAtil,B-NEP
591,591,44,wana,O
592,592,44,graMWAlalo,O
593,593,44,rAjyamu,O
594,594,44,",",O
595,595,44,praBuwvamu,O
596,596,44,",",O
597,597,44,pOrasawvamu,O
598,598,44,",",O
599,599,44,viplavAlu,O
600,600,44,",",O
601,601,44,rAjakIyAxarSAlu,O
602,602,44,moVxalagu,O
603,603,44,aneka,O
604,604,44,aMSAlanu,O
605,605,44,carciMcAdu,O
606,606,44,.,O
607,607,45,aristAtil,B-NEP
608,608,45,samakAlInudEna,O
609,609,45,prAcInaBArawa,O
610,610,45,wawvavewwa,O
611,611,45,kOtilyudu,B-NEP
612,612,45,wana,O
613,613,45,`,O
614,614,45,arWaSAswramu,B-NETE
615,615,45,.,O
616,616,45,ane,O
617,617,45,praKyAwa,O
618,618,45,graMWaMlo,O
619,619,45,rAjyamu,O
620,620,45,rAjyapAlana,O
621,621,45,",",O
622,622,45,rAjyABivqxXi,O
623,623,45,",",O
624,624,45,aMwar,O
625,625,45,rAjya,O
626,626,45,saMbaMXAlu,O
627,627,45,moVxalagu,O
628,628,45,rAjanIwiki,O
629,629,45,saMbaMXiMcina,O
630,630,45,viviXa,O
631,631,45,aMSAlanu,O
632,632,45,carciMcAdu,O
633,633,45,.,O
634,634,46,rAjya,O
635,635,46,",",O
636,636,46,praBuwvAlaku,O
637,637,46,",",O
638,638,46,pAlanaku,O
639,639,46,saMbaMXiMcina,O
640,640,46,aXyayanAlu,O
641,641,46,ceyadaMxvArA,O
642,642,46,poVliciyas,O
643,643,46,",",O
644,644,46,sisiro,B-NEP
645,645,46,moVxalagu,O
646,646,46,prAcIna,O
647,647,46,romanulu,B-NEL
648,648,46,kUdA,O
649,649,46,rAjanIwiSAswra,O
650,650,46,aBivqxXiki,O
651,651,46,xohaxamu,O
652,652,46,ceSAru,O
653,653,46,.,O
654,654,47,maXyayugAlalo,B-NETI
655,655,47,mawaprAbalyaM,O
656,656,47,eVkkuvagA,O
657,657,47,vuMdexi,O
658,658,47,.,O
659,659,48,maXyayugAlu,B-NETI
660,660,48,mawa,O
661,661,48,4,B-NETI
662,662,48,.,I-NETI
663,663,48,yugAlugA,I-NETI
664,664,48,perkoVnabaddAyi,O
665,665,48,.,O
666,666,49,I,O
667,667,49,kAlaMlo,O
668,668,49,carci,O
669,669,49,",",O
670,670,49,rAjya,O
671,671,49,aXikArAla,O
672,672,49,maXya,O
673,673,49,saMGarRaNa,O
674,674,49,vuMdexi,O
675,675,49,.,O
676,676,50,I,O
677,677,50,kAlaMlo,O
678,678,50,rAjanIwiSAswraM,B-NETE
679,679,50,mawaXarma,B-NETE
680,680,50,SAswraMlo,I-NETE
681,681,50,oVka,B-NEN
682,682,51,BAgaMgA,O
683,683,51,parigaNiMcabadexi,O
684,684,51,.,O
685,685,52,maXyayugAla,B-NETI
686,686,52,prAraMBaMlo,I-NETI
687,687,52,seVyiMt,B-NEP
688,688,52,agastIn,I-NEP
689,689,52,",",O
690,690,52,civarana,O
691,691,52,krEswavIkqwudEna,O
692,692,52,aristAtil,B-NEP
693,693,52,.gA,O
694,694,52,peroVMxina,O
695,695,52,WAmas,B-NEP
696,696,52,akvinAs,I-NEP
697,697,52,rAjakIya,O
698,698,52,BAvAlu,O
699,699,52,prAXAnyawa,O
700,700,52,saMwariMcukunnavi,O
701,701,52,.,O
702,702,53,maXyayugAlaku,O
703,703,53,saMWi,O
704,704,53,xaSayEna,O
705,705,53,punarujjIvana,O
706,706,53,kAlaMlo,O
707,707,53,rAjanIwi,O
708,708,53,aXyayana,O
709,709,53,saralYilo,O
710,710,53,mArpulu,O
711,711,53,saMBaviMcAyi,O
712,712,53,.,O
713,713,54,aMxuku,O
714,714,54,kAraNaM,O
715,715,54,jAwIyaBAvAlu,B-NETE
716,716,54,bala,O
717,717,54,padadaM,O
718,718,54,",",O
719,719,54,mawasaMskaraNoxyamaM,O
720,720,54,moVxalagunavi,O
721,721,54,I,O
722,722,54,kAlaMlo,O
723,723,54,saMBaviMcAyi,O
724,724,54,.,O
725,725,55,roman,B-NEL
726,726,55,sAmrAjyamu,O
727,727,55,pawanaM,O
728,728,55,kAvadaM,O
729,729,55,",",O
730,730,55,pop,O
731,731,55,aXaikAramu,O
732,732,55,balahInapadadaM,O
733,733,55,.,O
734,734,56,jAwIya,B-NETE
735,735,56,BAvAlu,I-NETE
736,736,56,balapadadaM,O
737,737,56,krameNA,O
738,738,56,jAwIya,O
739,739,56,rAjyAla,O
740,740,56,AvirBavAniki,O
741,741,56,xohaxaM,O
742,742,56,ceSAyi,O
743,743,56,.,O
744,744,57,I,O
745,745,57,mArpu,O
746,746,57,rAjanIwiSAswra,O
747,747,57,aXyayanaMlo,O
748,748,57,mArpulaku,O
749,749,57,xohaxaM,O
750,750,57,cesiMxi,O
751,751,57,.,O
752,752,58,AXunika,O
753,753,58,rAjanIwi,B-NETE
754,754,58,wawvavewwalalo,O
755,755,58,praXamudEna,O
756,756,58,mAkiyaveVllI,B-NEP
757,757,58,rAjanIwi,B-NETE
758,758,58,SAswrAnni,I-NETE
759,759,58,mawaMnuMdi,O
760,760,58,",",O
761,761,58,nIwiSAswrAla,B-NETE
762,762,58,nuMdi,O
763,763,58,veruceSAdu,O
764,764,58,.,O
765,765,59,I,O
766,766,59,viXaMgA,O
767,767,59,veru,O
768,768,59,ceyadaMxvArA,O
769,769,59,rAjanIwiki,O
770,770,59,prawyekaSAswra,O
771,771,59,prawivawwini,O
772,772,59,kalpiMcAru,O
773,773,59,.,O
774,774,60,rAjakIyAlaku,O
775,775,60,",",O
776,776,60,mawAniki,O
777,777,60,saMbaMXaM,O
778,778,60,vuMdAlane,O
779,779,60,maXyayugapu,B-NETI
780,780,60,wawwvavewwalawo,O
781,781,60,iwadu,O
782,782,60,ekIBaviMcalexu,O
783,783,60,.,O
784,784,61,appatinuMdi,O
785,785,61,rAjanIwiSAswra,O
786,786,61,viRayapariXi,O
787,787,61,",",O
788,788,61,aXyayana,O
789,789,61,paxXawulu,O
790,790,61,krameNA,O
791,791,61,aBivqxXi,O
792,792,61,ceVMxinavi,O
793,793,61,.,O
794,794,62,16va,B-NETI
795,795,62,SawAbxAniki,I-NETI
796,796,62,ceVMxina,O
797,797,62,PreVMci,O
798,798,62,rAjanIwi,B-NETE
799,799,62,wawvavewwa,O
800,800,62,bodin,B-NEP
801,801,62,sArvaBOmAXikAramane,B-NETE
802,802,62,rAjanIwi,O
803,803,62,BAvananu,O
804,804,62,samagraMgA,O
805,805,62,carciMcAdu,O
806,806,62,.,O
807,807,63,18va,B-NETI
808,808,63,SawAbxAniki,I-NETI
809,809,63,ceVMxina,O
810,810,63,mariyoVka,O
811,811,63,PreVMci,O
812,812,63,rAjanIwi,O
813,813,63,SAswravewwa,O
814,814,63,mAMteVskyU,B-NEP
815,815,63,`,O
816,816,63,aXikAra,B-NETE
817,817,63,pqWaHkaraNa,I-NETE
818,818,63,sixXAMwamunu,I-NETE
819,819,63,.,O
820,820,63,nu,O
821,821,63,rAjanIwi,O
822,822,63,SAswrAnikaMxiMcAdu,O
823,823,63,.,O
824,824,64,19va,B-NETI
825,825,64,SawAbxaMlo,I-NETI
826,826,64,.,O
827,827,64,niroXasamawOlya,O
828,828,64,.,O
829,829,64,BAvana,O
830,830,64,rAjanIwi,B-NETE
831,831,64,SAswraMlo,I-NETE
832,832,64,praveSiMciMxi,O
833,833,64,.,O
834,834,65,I,O
835,835,65,SawAbxaMlo,B-NETI
836,836,65,.,O
837,837,65,20va,B-NETI
838,838,65,SawAbxilo,I-NETI
839,839,65,.,O
840,840,65,rAjanIwiSAswra,O
841,841,65,aXyayanaMlo,O
842,842,65,gaNanIyamEna,O
843,843,65,mArpulu,O
844,844,65,saMBaviMcinavi,O
845,845,65,",",O
846,846,65,rAjanIwiSAswraMpE,B-NETE
847,847,65,sAmAjika,O
848,848,65,",",O
849,849,65,manaswawva,O
850,850,65,",",O
851,851,65,mAnava,B-NETE
852,852,65,SAswrAla,I-NETE
853,853,65,praBAvaM,O
854,854,65,pravarwanAvAxa,B-NETE
855,855,65,uxyamAniki,I-NETE
856,856,65,xAriwIsinaxi,O
857,857,65,.,O
858,858,66,rAjanIwi,O
859,859,66,sUwrAlu,O
860,860,66,",",O
861,861,66,sixXAMwAlu,O
862,862,66,rUpakalpana,O
863,863,66,ceyadaMlo,O
864,864,66,vAswavikawaku,O
865,865,66,prAXAnyawa,O
866,866,66,ivvAlani,O
867,867,66,gurwiMcadaM,O
868,868,66,jarigiMxi,O
869,869,66,.,O
870,870,67,itIvala,O
871,871,67,rAjanIwiSAswra,O
872,872,67,",",O
873,873,67,sAmAjika,O
874,874,67,SAswrAlamaXya,O
875,875,67,snihiwawvaM,O
876,876,67,bAgA,O
877,877,67,peVrigi,O
878,878,67,"""",O
879,879,67,rAjakIya,B-NETE
880,880,67,samAjaSAswraM,I-NETE
881,881,67,"""",O
882,882,67,ane,O
883,883,67,nUwana,O
884,884,67,aXyayanaSAKa,O
885,885,67,uxBaviMciMxi,O
886,886,67,.,O
887,887,68,5,B-NEN
888,888,68,.,O
889,889,68,itIvali,O
890,890,68,kAlaMlo,O
891,891,68,rAjanIwiSAswraMlo,B-NETE
892,892,68,sAMpraxAyika,O
893,893,68,vEKarulaku,O
894,894,68,BinnaMgA,O
895,895,68,vyavasWApaka,O
896,896,68,vEKari,O
897,897,68,",",O
898,898,68,pravarwanAvAxa,O
899,899,68,vEKari,O
900,900,68,",",O
901,901,68,uwpAxaka,O
902,902,68,",",O
903,903,68,uwpAxiwa,O
904,904,68,vEKari,O
905,905,68,moVxalagu,O
906,906,68,vEKarulu,O
907,907,68,",",O
908,908,68,SiRtula,O
909,909,68,sixXAMwamu,O
910,910,68,krIdA,O
911,911,68,sixXAMwamu,O
912,912,68,",",O
913,913,68,pravarwanAvAxa,B-NETE
914,914,68,sixXAMwamu,I-NETE
915,915,68,moVxalagu,O
916,916,68,aXyayana,O
917,917,68,paxXawulu,O
918,918,68,cerAyi,O
919,919,68,.,O
920,920,69,itlu,O
921,921,69,rAjanIwiSAswramu,B-NETE
922,922,69,xinaxina,O
923,923,69,pravarXamAnamavuwU,O
924,924,69,sAMGika,B-NETE
925,925,69,SAswrAlalo,I-NETE
926,926,69,awyaMwa,O
927,927,69,prAXAnyawanu,O
928,928,69,saMwariMcu,O
929,929,69,koVnnaxi,O
930,930,69,.,O
931,931,70,2,B-NEN
932,932,70,.,O
933,933,70,prAcIna,O
934,934,70,grIkula,B-NEL
