wordcontent,sentences,index
فیچر,وہ باورچی ہندوستان کی پہلی فیچر فلم کا درجہ حاصل کرنے والی فلم کی پہلی اداکارہ بنا ، جس کا نام ` سالُنکے ` تھا ۔,1005
فیچر,فیچر کسی بھی ہمعصر موضوع پر لکھا جاتا ہے ۔,1520
سماج,اس سے بڑا دعویٰ ` برہمو سماج ` کے لئے کیا گیا ہے ۔,75
سماج,ان دنوں بھی ہندستانی سماج کی معاشی حالت نہایت تشویشناک تھی ۔,167
سماج,سماج کو خواندہ ، مطّلع اور راغب کرنے کا رول نبھا رہے تھے ۔,461
سماج,ان کی شاعری میں وقت سماج ، تہذیب اور نظام سے لے کر ماحول سے جڑا تفکر نظر آتا ہے ۔,488
سماج,لمبے عرصے کے باوجود ان کے اندر کے شاعر نے اپنے وقت اور سماج کو شاعری سے اوجھل نہیں ہونے دیا۔,490
سماج,اسیلئے جرائم حادثات کا سیدھا تعلق شخص و سماج ، ملک و عہد اور مذہب سے ہے ۔,515
لگا,ہندی صحافت کے جنم کے ساتھ ہی ادبی صحافت کا فروغ ہونے لگا ۔,3
لگا,معاشی صحافت تبھی فروغ پا سکتی ہے جب معاشی شعبے میں تیزی سے سرمایہ لگا ہو ، کمپنیاں اچھا فائدہ دیں اور ان کے حصص کی قدر تیزی سے بڑھے ۔,28
لگا,تیکھے سوالات کو استحکام و شائستگی اور شیریں بیانی کا لیپ لگا کر پوچھنے کی صلاحیت ہو ۔,206
لگا,کانگریس راج میں جیسے ہر چھوٹے بڑے حادثے کے لئے سی_آئی_اے کا ہوا کھڑا کر دیا جاتا تھا اسی طرح غیرکانگریسی راج میں سیکولرزم کے آدرشوں کی بات کرنے والوں کو مجرم کی طرح پیش کیا جانے لگا ۔,355
لگا,کچھ دنوں میں مہیش اپنی بہن کو لے کر ممبئ چلا گیا تھا ، مگر اس دن کے بعد محسوس ہونے لگا کہ میرے درد کو سہنے کی طاقت بڑھ گئ ہے ۔,407
لگا,جیوتی ! ابھی ایک سال پورے ہونے میں چار دن باقی ہیں ، ابھی تک شہربدر کا سکہ میرے ماتھے پر لگا ہوا ہے ۔,410
جن,سددھرم پرچارک ( 1911 ) ، وجے ( 1918 ) ، ستیہوادی ہفتہ_وار ( 1923 ) اور جن ستّا ( 1952 ) وغیرہ کی بہترین ادارت کے ذریعہ انھوں نے شمالی ہندستان میں عوامی بیداری کا اہم کارنامہ انجام دیا ۔,1
جن,مجھے سویڈی اکادمی کے وہ نایاب سالانہ ` بروشیئر ` ملے جن میں انعام کمیٹی کے ممبران ، ان کے فیصلے ، فاتحین کی سوانح اور تقاریر شائع کئے جاتے ہیں ۔,53
جن,تقریر میں ہندوستان کے نشاۃالثانیہ کا پورا سہرا جس میں جدید ہندی زبانوں کا طلوع اور فروغ بھی شامل ہے عیسائی مشنریوں کو جن کے جزوی تعاون سے انکار تو نہیں کیا جا سکتا ، دے دیا گیا ہے ۔,73
جن,لارڈ ریپن جن کو اعتدال _ پسند مانا جاتا ہے ، نے بھی ۱۸۸۰ میں لاہور میں ایک دربار کیا ۔,164
جن,کئی ایسی خبریں ہونگی جن پر اچھے سوال بن سکتے ہیں ۔,228
جن,اس طرح ہم دیکھتے ہیں کہ جن لوگوں کو ہندوستانی قومی کانگریس کے پہلے دن آزادی کے کام میں نمائندوں کی فہرست میں اول مقام دیا گیا ہے وہ ہندوستانی اخبارات کے کچھ مدیر تھے ۔,419
سکتے,عوام کے لئے آسان اور صریحی زبان و اسلوب میں لکھے رسائل ہی مفید ہو سکتے ہیں ۔,48
سکتے,نہیں ، سوتیلی ماں لا کر ہم منّا کو اور دکھ میں نہیں ڈال سکتے ۔,102
سکتے,اس وقت کا مناسب استعمال آپ تال_میل بٹھانے میں کر سکتے ہیں ۔,220
سکتے,کئی ایسی خبریں ہونگی جن پر اچھے سوال بن سکتے ہیں ۔,228
سکتے,تم مجھے ڈائیونگ سکھا سکتے ہو ؟,272
سکتے,آپ کی وردی دیکھ کر ڈاکو گولی چلا سکتے ہیں ، میں جا کر عورت کو واپس لے آتا ہوں سر ۔,404
متعدد,` وشوبھارتی ` میں متعدد دانشوروں کے تحقیقی اور مفکرانہ مضامین شائع ہوئے ۔,19
متعدد,متعدد نئی کمپنیوں نے کام شروع کیا ۔,29
متعدد,ہندی میں اس قسم کے متعدد ہفتہ_وار ، پندرہ_روزہ اور ماہانہ رسائل نکلتے ہیں ۔,49
متعدد,اس وقت کی ہندی صحافت کا فروغ متعدد معاشی وجوہات سے نہیں ہو پا رہا تھا ۔,187
متعدد,بھارتیندو ہریش چند نے جہاں اپنی زندگی میں ۱۷ ڈرامہ ، ۳ ناول ، ایک مضمون اور متعدد شعری مجموعے لکھے ، وہیں انھوں نے ` ہریشچنسدریکا ، ` کوی _ وچن سدُدھا ` اور ` بالا بودھنی ` نامی تین اخبارات کی ادارت بھی کی ۔,194
متعدد,متعدد واقعات کی اطلاع جرائم نامہ_نگار کو اس کے ذرائع سے حاصل ہوتی ہے ۔,544
پتہ,پتہ نہیں اس کا ترجمہ بنگلہ ادب میں ہے یا نہیں اور اس پر اپنے شونار قلمکاروں کا کیا ردعمل رہا لیکن اس صدی برس میں ہندی میں تو اسے لایا ہی جانا چاہیئے ۔,70
پتہ,بعد میں ان کا اس پر کیا ردعمل تھا اس کا بھی کچھ پتہ نہیں چلتا ۔,78
پتہ,نامہ_نگار کو کانفرنس کے انعقاد کے پیچھے کا مقصد پتہ ہو ۔,205
پتہ,بہت دنوں سے تیراکی نہیں کی تھی ، پتہ چلا تم یہاں تیراکی سکھاتے ہو ، سوچا پھر سے تیراکی شروع کر دوں ۔,270
پتہ,مجھے پہلے پتہ ہوتا کہ یہاں پر تم جیسی بیہودہ لڑکیاں ہیں ، تو میں یہاں کبھی نہیں آتی ۔,280
پتہ,ساری دوکانیں لٹ گئی اور آج تک ہماری پولس فورس کو یہ پتہ نہیں چلا کہ وہ لوگ کون تھے ؟,367
شادی,بیٹا اومکار ! تم اگر گُنجا سے شادی کر لو تو سارا مسئلہ حل ہو جائیگا ۔,105
شادی,تم دوسری شادی نہیں کرو گے ؟,581
شادی,ماں ! ہم ایک بار جیتے ہیں ، ایک بار مرتے ہیں ، شادی بھی ایک ہی بار ہوتی ہے اور پیار بھی ایک ہی بار ہوتا ہے ، باربار نہیں ہوتا ۔,582
شادی,جیسے ہی فیکٹری کا افتتاح ہو جائے ، میں بھابھی سے اپنی شادی کی بات کرونگا ۔,877
شادی,آج آپ کی شادی کی بات کیا چلی ، موسم نے جادو کر دیا ۔,887
شادی,اس میں آخر شادی کے ادارے کو قائم آدرش کے روپ میں پیش کیا جاتا تھا ۔,1155
کون,اس کی ماں کیسی تھی ، کون تھی ، ان سوالوں کا جواب وہ خود دے سکے ۔,139
کون,کیسی باتیں کرتی ہے تو ، بھائی بہن کے اور بہن بھائی کے کام نہیں آئے گی تو کون آئے گا ، بتا کیا کام ہے ؟,253
کون,تم میں سے مکٹ بہاری کون ہے ؟,364
کون,ساری دوکانیں لٹ گئی اور آج تک ہماری پولس فورس کو یہ پتہ نہیں چلا کہ وہ لوگ کون تھے ؟,367
کون,کون ہے وہ ؟,372
کون,میں ویسے بھی کون سا کام غلط کرتی ہوں ؟,578
سر,سر ! وہ سب چوری کی ہوئی موٹر سائکلیں تھیں ۔,370
سر,سر وائرلس پر ایک پیغام ملا ہے کہ ایک شہربدر اپنے علاقے میں داخل ہوا ہے ۔,371
سر,سر ! وہ اس علاقے میں منا کے نام سے جانا جاتا ہے ، اس سے پہلے خون کے جرم میں ایک سال کی سزا کاٹ چکا ہے ۔,377
سر,آپ اسے جانتے ہیں سر ؟,379
سر,میں نودل میں شامل ہونا چاہتا ہوں سر ، ایڈمرل بننا چاہتا ہوں ۔,389
سر,وہ عورت بینک کے اندر جا رہی ہے سر ! ان کی جان کو خطرہ ہو سکتا ہے سر ۔,396
پریم,ارے ہاں پریم بیٹا ، آخر کب تک یہاں بیٹھے رہینگے ؟,864
پریم,ہمارے پریم بھیّا آج بڑے صاحب بن گئے ہیں ، سلام کرو ۔,879
پریم,ان کے مطابق انجمن ترقی پسند مصنفین کا قیام ۱۹۳۶ میں ہوا اور پریم چند ، ملک راج آنند ، سجادظہیر جیسے لوگ تنظیم کی قیادت میں رہے ۔,1269
پریم,دراصل ، اس کے تار جڑے ہیں اوپر اٹھائے گئے پہلے سوال سے کہ پریم چند کمیونسٹ تھے یا نہیں ؟,1278
پریم,۱۹۳۰ کی دہائی آتے آتے پریم چند ہندوستانی ادیبوں میں خصوصاً ہندی اردو قارئین میں بلامبالغہ سب سے بڑا نام بن چکے تھے ۔,1281
پریم,انجمن ترقی_پسند مصنفین کے قیام میں پریم چند کا نام جڑنا تنظیم کے لئے بڑی تعظیم پانے جیسی بات تھی ۔,1282
جانا,پتہ نہیں اس کا ترجمہ بنگلہ ادب میں ہے یا نہیں اور اس پر اپنے شونار قلمکاروں کا کیا ردعمل رہا لیکن اس صدی برس میں ہندی میں تو اسے لایا ہی جانا چاہیئے ۔,70
جانا,تم تو بہت بعد آئیں گنجا ، آنکھ کھلی تو پہلے بھیّا کو جانا تھا ، باپ و ماں کے تو چہرے تک یاد نہیں ہم کو ۔,120
جانا,سر ! وہ اس علاقے میں منا کے نام سے جانا جاتا ہے ، اس سے پہلے خون کے جرم میں ایک سال کی سزا کاٹ چکا ہے ۔,377
جانا,خیر ، شہر کا کونا کونا چھان مارو اور باہر جانے والے راستے بند کر دو ، اس آدمی کا پکڑا جانا میرے لیے بہت ضروری ہے ۔,408
جانا,ایسا فقط اسی حالت میں کیا جانا چاہیئے جب دوبارہ رپورٹ دینے کی سہولت اور وقت ہو ۔,539
جانا,وزیراطلاعات و نشریات منیش تِواری کی صلاح پر ایسا کیا گیا جن کا ماننا ہے کہ جیوری نے غیرجانبدار ہو کر کام کیا ہے تو سب سے پہلے فاتحین کے نام کو عام کر دیا جانا چاہیئے ۔,661
لیا,اس رسالے نے اپنے علمی مضامین ، بھرپور تبصروں ، عمدہ تصاویر کے سبب اپنے لئے جلد ہی ہندی رسالوں میں خصوصی مقام بنا لیا ۔,17
لیا,اول تو اس میں ٹیگور کو پہلے ہی اینگلو و انڈین پوئیٹ اعلان کر دیا گیا ہے ، گیتانجلی کو بےخوفی سے ` ایک کلیکشن آف ریلیجیس پوئمس ` تو مان ہی لیا گیا ہے اسے انگریزی ادب کی ملکیت بنا دیا گیا ہے ۔,71
لیا,ہم ( اسٹرج مور اور میں ) نے ( اس کی ) تین اچھی کتابیں نکالی اور پھر کیونکہ اس نے سوچا کہ عظیم شاعر ہونے سے زیادہ اہم ہے انگریزی جاننا ، تو اس نے جذبات بھرا کوڑا چھپوانا شروع کر دیا اور اپنی شہرت کو برباد کر لیا ۔,81
لیا,فرانس میں تو کبھی کبھی سننے میں آتا ہے کہ جب سے ہندی سے ایک عوضی کھوج لیا گیا ہے ٹیگور کو لوگ بھول رہے ہیں بھلے ہی مثلاً ٹیٹی_نگر میں بھی اس کا طلوع نہ ہوا ہو ۔,90
لیا,تھوڑا بہت حق جو ہم نے اپنا سمجھ لیا تھا ، وہ تو تم نے چھین ہی لیا نا ۔,115
لیا,بس ایک بات نہیں سمجھ آتی کہ تم نے کس بات کا بدلہ لیا ہم سے ؟,116
کیوں,ان میں متعلقہ برس کے انعامات کسے کیوں دیے گئے ہیں اس کا ایک سطری اور کبھی اس سے بھی کم ، خلاصہ بھی چھاپا جاتا ہے ۔,55
کیوں,کمال یہ ہے کہ سویڈی اکادمی کا یہ اشتہار کہیں کوئی سرکاری وجہ نہیں بتاتا کہ ٹیگور ایسے امر لمحے کو جینے اپنی ایک غیرمعمولی تقریر کرنے اسٹاک_ہوم کیوں نہیں پہنچے ۔,66
کیوں,لیکن چندن اگر گنجا سے بیاہ کرنا چاہتا تھا تو جس دن یہ بات طے ہوئی ، اس دن وہ بھی وہاں تھا ، اس نے کچھ کیوں نہیں کہا ؟,112
کیوں,` او آزادی ، تم ہندستان کو چھوڑ کر کیوں بھاگ آئی اور اکیلا چھوڑ دیا ؟,180
کیوں,کیوں نہیں ، کیوں نہیں ۔,271
کیوں,کیوں ؟,308
کرتا,"بابوراو وشنو پراڑکر کے مطابق ` سروستی ` کا ہرایک شمارہ اپنے آپ میں تکمیلیت لئے ہوئے ہوتا تھا , اس کا ہرایک شمارہ مدیر کی شخصیت کا اعلان کرتا تھا ۔",11
کرتا,حالانکہ ہندی کے کچھ دیگر بیوقوف رجائیت_پسندوں کی طرح میں بھی سوچتا ہوں کہ اگر وہ ملے گا تو منگلیش ڈبرال کو جو اس پر بھی کم و بیش منحصر کرتا ہے کہ اشوک انھیں اپنے عالمی مشاعرے میں کیا رول دیتے ہیں یا شریکانت جی کے لہجے میں دیتا بھی ہے یا نہیں ۔,95
کرتا,سب اس پر منحصر کرتا ہے کہ وہ کس اخبار کا نامہ_نگار ہے اس کا کتنا اثر اس انتخابی علاقہ پر پڑتا ہے ۔,245
کرتا,بچپن سے ہی نہ جانے اس کے دماغ میں کیا گھس گیا ہے ، دیش کے لئے مر مٹنے کی باتیں کرتا رہتا ہے ۔,391
کرتا,جرائم سے متعلق خبر لینے والا جو نامہ_نگار فقط پولس کی اطلاع پر منحصر کرتا ہے کامیاب نامہ_نگار نہیں ہو سکتا ۔,541
کرتا,مطلب یہ ہے کہ ایسے مقامات پر سمجھدار آدمی کسی کی حمایت نہیں کرتا ۔,671
اخباروں,برطانیہ کے ` ہاوس آف کامنس ` میں قریب ڈیڑھ سو سال پہلے چھ اخباروں کے مالک ممبر بن گئے تھے ۔,341
اخباروں,اخباروں کی پیشہ_واریت بڑھنے لگی اور اسی نظریے سے رشتے بنتے و بگڑتے رہے ۔,347
اخباروں,قومیت کے نام پر اپنے پسندیدہ صحافیوں اور اخباروں کو سب سے زیادہ اجرت دی گئی ۔,352
اخباروں,ایک روزنامہ اخبار میں جرائم اخباروں کو جمع کرنے والا نامہ_نگار نہایت اہم ممبر مانا جاتا ہے ۔,522
اخباروں,اخباروں میں ایک سب سے بڑی گڑبڑ یہ ہوئی ہے کہ فوری بحران پر زیادہ دھیان دیا جانے لگا ہے ۔,690
اخباروں,ہندوستان کے اخباروں سے پہلے امریکی اخباروں میں یہ رویہ دیکھنے کو ملا ۔,696
بھیّا,جس میں بھیّا کی خوشی ہو کاکا ، ہمیں منظور ہے ۔,109
بھیّا,تم تو بہت بعد آئیں گنجا ، آنکھ کھلی تو پہلے بھیّا کو جانا تھا ، باپ و ماں کے تو چہرے تک یاد نہیں ہم کو ۔,120
بھیّا,گنجا ! بات صرف ہماری نہیں رہ گئی تھی ، بھیّا کی خوشی کی بات تھی ، اس گھر کی بات تھی جسے بھابھی نے اتنے جتن سے سنوارا و سجایا ، بات ہمارے منّا کی تھی ۔,122
بھیّا,بس بھیّا کا انتظار ہو رہا ہے ۔,275
بھیّا,تار آیا ہے ، منا بھیّا جلدی گھر آ جاؤ ، بہت بڑی مصیبت آ پڑی ہے ۔,366
بھیّا,ہمارے پریم بھیّا آج بڑے صاحب بن گئے ہیں ، سلام کرو ۔,879
ایسی,کئی ایسی خبریں ہونگی جن پر اچھے سوال بن سکتے ہیں ۔,228
ایسی,ایسی حالت میں اگر شائع خبر کی جانکاری نہیں ہوگی تو سوال و جواب پلّے کہاں سے پڑیگا ۔,230
ایسی,انسانی تاریخ میں کئی ایسی شخصیتیں ہوئی ہیں جن کے تعاون کا صحیح تجزیہ ان کی زندگی میں نہیں ہو پایا ۔,1016
ایسی,بول_چال میں زبان کے نام پر ایک ایسی کھچڑی زبان کا استعمال کیا جا رہا ہے جسے نہ ہندی والے ٹھیک سے سمجھ سکتے ہیں اور نہ ہی انگریزی والے ۔,1133
ایسی,ہم ایسی زبان ، ایک ایسی ثقافت بنا رہے ہیں جس کا اس ملک سے کوئی سروکار نہیں ہوگا ۔,1139
ایسی,لیکن جب مغربی آدرش کے مطابق فروغ ہوگا تو ایسی تو ایسے حالات یقینی روپ سے بنینگے ۔,1153
متعلق,قواعد سے متعلق بھولیں بھی ہوتی تھی ۔,6
متعلق,اس رسالہ میں آیوروید سے متعلق مضامین شائع ہوتے تھے ۔,45
متعلق,ٹیگور کے متعلق اصل فرانسیسی کے اس کچے ہندی ترجمے میں کہا گیا ہے ، اس گہری اور بلیغ تاثر ، اس جمالیات اور نئےپن کے لئے ، جس کا تعارف ان کی صلاحیت ، انگریزی رنگ و روپ میں مغربی ادب سے کروا سکی ۔,56
متعلق,ٹیگور کے متعلق کہا گیا ہے کہ وہ ` اس شعری فن کے نئے اور لائقِ_ستائش ماسٹر ہیں جو ملکہ ایلیزابیتھ کے زمانے سے برطانوی تہذیب کی تشہیر کے معتمد ہمراہی رہے ہیں ۔ ` `,72
متعلق,جب اخبارات نے مذکورہ ڈھنگ سے بیان کیا تو سرکاری خدمات کے متعلق جگہ - جگہ پر جلسے منعقد کئے گئے ۔,175
متعلق,جب کبھی کوئی اخبار تلخیوں کے متعلق لکھتا تو اس کے مدیر کو جرمانہ اور سزا دونوں بھگتنا پڑتا ۔,193
تمھیں,ہم سمجھتے تھے اگر ہماری محبت میں طاقت ہوگی تو ہم تمھیں ضرور پا لینگے ۔,118
تمھیں,تم بہت بڑے ہو چندن ! ہاں ، پہلے تمھیں فقط چاہتی تھیں ، لیکن اب عقیدت کرینگے ۔,125
تمھیں,لیکن وہ یہ بھی جانتی تھی کہ تمھیں یہ بچہ کتنا چاہیئے ۔,136
تمھیں,نیکیتا ! میں تمھیں کیسے سمجھاؤں کہ یہ سب اتنا سنجیدگی سے لینے کی ضرورت نہیں ہے ۔,286
تمھیں,میں تم سے پیار کرتی ہوں اور تمھیں پانے کے لئے کچھ بھی کر سکتی ہوں ۔,297
تمھیں,تمھیں نہیں لگتا اسے ایک ماں کی ضرورت ہے ؟,584
دیکھ,اکثر دوردرشن پر وزیراعظم یا کسی دیگر انتہائی خاص شخص یا پریس کانفرنس دیکھ کر ناظرین و سامعین کا ردعمل ہوتا ہے کہ ` مزہ نہیں آیا ` ۔,225
دیکھ,اگر اپنے خیرخواہ پر بھروسہ نہیں ہو تو آج شام گولڈن گیٹ جا کر اپنی آنکھوں سے دیکھ لیجئے گا ۔,306
دیکھ,آپ کی وردی دیکھ کر ڈاکو گولی چلا سکتے ہیں ، میں جا کر عورت کو واپس لے آتا ہوں سر ۔,404
دیکھ,وزارتِ_داخلہ نے مرکزی سنسربورڈ سے فلم کو دوبارہ دیکھ کر کچھ مناظر کا تبصرہ کرنے کو کہا ہے ۔,466
دیکھ,26 / 11 حملے کے بعد تنازعات سے جڑے رہے ورما کی فلم پر سرکاری مصیبتوں کو دیکھ کر مانا جا رہا ہے کہ انھیں کچھ مناظر سے کانٹ چھانٹ کرنی پڑ سکتی ہے ۔,467
دیکھ,جسے دیکھ کر ناظرین کا دل پسیج گیا اور ڈرامہ خوب پسند کیا گیا ۔,634
پہلی,ہندستان میں شائع ہونے والی پہلی سائنسی میگزین ` ایشیاٹک ریسرچ ` تھی ۔,39
پہلی,ہندوستانی زبانوں میں شائع پہلی سائنسی میگزین ` بنگلہ ` میں ۱۸۲۱ میں شائع ` پرشناولی ` تھی ۔,41
پہلی,ہماری پہلی کانٹیسٹ ہے جسبندر سنگھ ۔,152
پہلی,پہلی جنگ آزادی میں یہاں کے اردو اخبارات نے بھی اہم رول نبھایا تھا ۔,184
پہلی,آزادی کے بعد ملک میں ہندوستانی زبانوں کی پہلی خبر خدمات شروع کرنے کی کوشش کی گئی ۔,317
پہلی,ایمرجنسی کے بعد جب ۱۹۷۷ میں عوامی سرکار اقتدار میں آئی تو اس نے ` سماچار ` کو ختم کر کے پہلی حالت کو بحال کر دیا ۔,331
ہماری,حال کے برسوں میں ہماری متعارف آسٹریائی ناول_نگار ، شاعرہ و ڈرامہ_نگار ایلفریڈے یلینیک جنھیں بھیڑ کے درمیان رہنے اور اس کے سامنے بولنے سے وحشت ہے ، اپنی نوبل تقریر ویڈیو کر کے بھجوایا تھا اور وہی دکھایا ، سنایا گیا ۔,65
ہماری,بس ایک بار ہماری بات سنو گنجا ، پھر چاہے زندگی بھر ہم سے ناراض رہ لینا ۔,113
ہماری,ہم سمجھتے تھے اگر ہماری محبت میں طاقت ہوگی تو ہم تمھیں ضرور پا لینگے ۔,118
ہماری,گنجا ! بات صرف ہماری نہیں رہ گئی تھی ، بھیّا کی خوشی کی بات تھی ، اس گھر کی بات تھی جسے بھابھی نے اتنے جتن سے سنوارا و سجایا ، بات ہمارے منّا کی تھی ۔,122
ہماری,گنجا ! ہمیں اتنا بھروسہ تھا تم پر کہ اگر تم ہماری مجبوری کو سنو گی تو ہمیں سمجھو گی اور معاف کر دوگی ۔,124
ہماری,سنا بہنوں ہماری روپا گائتری منتر بھول گئی ۔,147
بڑے,تم بہت بڑے ہو چندن ! ہاں ، پہلے تمھیں فقط چاہتی تھیں ، لیکن اب عقیدت کرینگے ۔,125
بڑے,کانگریس راج میں جیسے ہر چھوٹے بڑے حادثے کے لئے سی_آئی_اے کا ہوا کھڑا کر دیا جاتا تھا اسی طرح غیرکانگریسی راج میں سیکولرزم کے آدرشوں کی بات کرنے والوں کو مجرم کی طرح پیش کیا جانے لگا ۔,355
بڑے,بہار کے قومی اخبارات میں جناب سچّدانند سنہا کے ذریعہ قائم ` سرچ لائٹ ` اخبار جناب مرلی منوہر سنہا کی ادارت میں قومی تحریک کے بڑے حامی رہے ۔,450
بڑے,ہندستان پر ہوئے بڑے دہشت_گردانہ حملے کی حقیقی کہانی پر مبنی اس فلم کے کچھ مناظر پر حکومت سمیت حفاظتی اور خفیہ ایجنسیوں کو اعتراض ہے ۔,465
بڑے,لیکن بعد میں بڑے گروپوں کے اخبارات میں سماجی یا شہری نامہ_نگاروں سے جرائم خبر جمع کرنے والے نامہ_نگار کو الگ کر دیا گیا ۔,524
بڑے,۲۰۱۲ کی کچھ مشہور فلموں کو بڑے انعام نصیب نہیں ہوئے ۔,656
سال,۲۰ کی دہائی کے تیسرے سال کلکتہ سے طنز و مزاح سے بھرپور ` متوالا ` کی اشاعت ہوئی ۔,12
سال,ایک عجب اتفاق ہے کہ اسی سال جبران کی ۱۳۰ ویں سالگرہ ہے اور بیسیوں تراجم اور کروڑوں کاپیوں میں فروخت ہو چکی ان کی تخلیق ` دی پروفٹ ` کی ۹۰ سالگرہ بھی جو شیکسپئر کے بعد دنیا میں اب بھی سب سے زیادہ فروخت ہونے والی دوسری ادبی کتاب کہی جاتی ہے ۔,92
سال,یونیوارتا کے جنم کے کچھ سال بعد پی_ٹی_آئی نے بھی ۱۹۸۶ میں اپنی ہندی خدمات ` بھاشا ` نام سے شروع کی ۔,337
سال,برطانیہ کے ` ہاوس آف کامنس ` میں قریب ڈیڑھ سو سال پہلے چھ اخباروں کے مالک ممبر بن گئے تھے ۔,341
سال,آج سے سال پہلے اس علاقے سے اسے شہربدر کا حکم ہوا تھا ۔,374
سال,سر ! وہ اس علاقے میں منا کے نام سے جانا جاتا ہے ، اس سے پہلے خون کے جرم میں ایک سال کی سزا کاٹ چکا ہے ۔,377
),سددھرم پرچارک ( 1911 ) ، وجے ( 1918 ) ، ستیہوادی ہفتہ_وار ( 1923 ) اور جن ستّا ( 1952 ) وغیرہ کی بہترین ادارت کے ذریعہ انھوں نے شمالی ہندستان میں عوامی بیداری کا اہم کارنامہ انجام دیا ۔,1
),ہم ( اسٹرج مور اور میں ) نے ( اس کی ) تین اچھی کتابیں نکالی اور پھر کیونکہ اس نے سوچا کہ عظیم شاعر ہونے سے زیادہ اہم ہے انگریزی جاننا ، تو اس نے جذبات بھرا کوڑا چھپوانا شروع کر دیا اور اپنی شہرت کو برباد کر لیا ۔,81
),وشنوکھرے کا مضمون ` رویندر نوبل شتی کو یوں منانے کے جوکھم ` ( ۱۶ جون ) غیرمہذب ، غیرمتناسب اور بےصبر تو ہے ہی اوچھے_پن اور محرومی سے بھی بھرا ہوا ہے ۔,97
