objnum,sentences
,کاشی راسلے نے کچھ سوال و جواب کئے ; کیا سول سروس کے لئے امتحان پاس کرنے کے علاوہ کوئی اور بھی خوبی ہے ؟
,کیا ہزاروں ہندوستانی جو ذہن ، انصاف ، حوصلے اور کردار وغیرہ جیسی صفات سے آراستہ ہونے پر بھی اس کے لیے مایوس ہو گئے ہیں جیسے سورج کے سامنے شمع دھندلی پڑ جاتی ہے ۔
,جب اخبارات نے مذکورہ ڈھنگ سے بیان کیا تو سرکاری خدمات کے متعلق جگہ - جگہ پر جلسے منعقد کئے گئے ۔
,اس کے ساتھ ہی ہندی اخبار و رسائل نے اترپردیش اور پنجاب میں صوبائی لیجسلیٹو کونسل کے قیام کے لئے مانگ کرنی شروع کر دی تاکہ ان صوبوں کے مسائل کو سرکار کے کانوں میں ڈالا جائے ۔
,` آریہ متر ` نے کہا کہ اگر بمبئی ، کلکتہ اور مدراس جیسی لیجسلِٹیو کونسل ان صوبوں میں قائم کی جائیں تو لفٹیننٹ گورنر کو حکومت ، مہارت کے ساتھ چلانے میں تعاون ملیگا ۔
,عسکریت_پسند اخبارات و رسائل کے مدیروں کے مضامین نے برطانوی حکومت کے خلاف آگ کے شعلے اگلنے شروع کر دیئے ۔
,` ہندی پردیپ ` رسالے نے ان شعلہ_زدہ الفاظ سے ہندوستانی عوام کو ترغیب دی اور بیدار کیا
,` او آزادی ، تم ہندستان کو چھوڑ کر کیوں بھاگ آئی اور اکیلا چھوڑ دیا ؟
,خدا کی بیٹی دنیا کی معشوقہ اور صفات کا مجموعہ ، تم کہاں چلی گئی ؟
,ہندوستانی اس نقصان پر بری طرح سبک رہے ہیں ، یہاں تک کہ سفر میں ہندی رسائل اور ان کے مدیروں کو بڑی بڑی تکالیف جھیلنی پڑی ۔
,لارڈ بینٹک اور لارڈ میٹکاف نے جو آزادی ہندوستانی صحافت کو دی تھی وہ ۱۸۵۷ کے بعد چھین لی گئی ۔
sg,پہلی جنگ آزادی میں یہاں کے اردو اخبارات نے بھی اہم رول نبھایا تھا ۔
,لہٰذا برطانوی حکومت و اس کے انتظامیہ افسران اور اینگلو _ انڈِینز نے ہندوستانی پریس کو اپنا سخت دشمن مان لیا ۔
,اینگلو انڈین پریس نے خصوصاً دیسی صحافت کے راستے میں ہر ممکنہ رکاوٹ کھڑی کر کے اس کی ترقی کو روکنے کی کوشش کی ۔
,اس وقت کی ہندی صحافت کا فروغ متعدد معاشی وجوہات سے نہیں ہو پا رہا تھا ۔
sg,سرکار انھیں اخبار و رسائل کو معاشی مدد دیتی تھی جو اس کی حمایت کرتے تھے ۔
,پولس اور جج بھی اپنے گندے اور پہلے سے طےشدہ طریقوں کو مدیروں کے خلاف استعمال کرنے سے کبھی ہچکتے نہیں تھے ۔
,ان کے ذریعہ مدیر ہمیشہ شک سے دیکھے جاتے تھے اور ان پر الزام لگایا جاتا تھا کہ وہ حکومت مخالف مضمون لکھتے ہیں ۔
pl,حقیقت میں یہ ہندوستانی عوام کی تکلیفوں کو اپنے مضامین میں دکھا رہے تھے ۔
sg,مثال کے لئے میرٹھ کے کلیکٹر نے ` میرٹھ گزٹ ` کو مذکورہ اسباب سے ہی بند کر دیا تھا ۔
,جب کبھی کوئی اخبار تلخیوں کے متعلق لکھتا تو اس کے مدیر کو جرمانہ اور سزا دونوں بھگتنا پڑتا ۔
,بھارتیندو ہریش چند نے جہاں اپنی زندگی میں ۱۷ ڈرامہ ، ۳ ناول ، ایک مضمون اور متعدد شعری مجموعے لکھے ، وہیں انھوں نے ` ہریشچنسدریکا ، ` کوی _ وچن سدُدھا ` اور ` بالا بودھنی ` نامی تین اخبارات کی ادارت بھی کی ۔
,جناب بالمکند گپت نے لکھا ہے کہ ` کوی _ وچن سُدھا ` جب پندرہ_روزہ ہوکر سیاست سے متعلق اور دیگر مضامین آزادی کے جذبے سے شائع کرنے لگی تو بڑی تحریک چلی ۔
,بھارتیندو جی آنرری مجسٹریٹ مقرر کئے گئے تب بھی وہ نڈر ہوکر لکھتے رہے ۔
,عوام میں ان کے اخبارات کی عزت ہونے لگی ۔
sg,اسی طرح آچاریہ مہاویرپرساد دیویدی کے ناقابل _ فراموش تعاون کو بھی ہندی اخبارات کبھی نہیں بھلا سکتی ۔
,آچاریہ دیویدی جی نے ` سرسوتی ` کے جنوری ۱۹۰۴ کے شمارے میں ` مدیروں کے لئے اسکول ` جون ۱۹۰۷ میں ` مدیرانہ لیاقت ` اور فروی ۱۹۰۹ میں ` امریکہ میں عمدہ _ ترین مدیر ` عناوین پر جو تبصرے لکھے ہیں ان میں کامیاب مدیر بننے کے لئے لازمی لیاقت اور تعلیم کا ذکر ہے ۔
,آچاریہ مہاویرپرساد دیویدی ایک نڈر مدیر ، انصاف _ پسند تنقید _ نگار ، ذمہ _ دار مصلح اور محنتی مضمون _ نگار تھے ۔
,ان کا مدبرانہ مدیر ان کے جذباتی ادیب پر حاوی رہا ۔
,انومودن کا انت ، سمپادک کی ودائی ، ماگھ کا پربھات ورڑن ، دمینتی کا چندرپالمبھ وغیرہ مضامین میں ان کے جذباتی اسلوب کا مظاہرہ ہوتا ہے ۔
,صحافی کی اپنی عزت ضرور ہوتی ہے لیکن وہ سماج کے دیگر لوگوں کے مقابلے چوٹی پر بیٹھا ہوا دانشور نہیں کہا جا سکتا ۔
,امریکہ کے اخباری وسائل میں ، چاہے وہ نیویارک ٹائمز یا واشنگٹن پوسٹ جیسے اخبار ہوں یا ٹیلی_ویژن نیٹ_ورک ، اس میں متمول طبقہ کے نوجوانوں کی بھرمار ہو گئی ہے ۔
,وہ کسی نامی یونیورسٹی سے صحافت کی ڈگری لے کر باہر آتے ہیں ۔
,اس طرح کی ڈگری لینا غلط نہیں کہا جا سکتا ، لیکن زمین سے کٹے ہونے کے سبب یہ تعلیم و تعلم اخباری ذرائع میں مصنوعییت ہی زیادہ لاتی ہے ۔
,اسی طرح کسی خاص سیاسی نظریے میں اعتماد کرنے کا مطلب یہ مان لینا بھی غلط ہے کہ خبر کو اسی نظریاتی سطح پر توڑ مروڑ کر پیش کرنا ہی صحافی کا پیدائشی حق ہے ۔
,ادارتی صفحہ سے ہٹ کر خبر صفحات پر لکھتے وقت صحافی کو جج کی طرح غیرجانبدار رہنا ہوگا ۔
,آزاد سماج میں اخباروں اور صحافیوں کا رول یہی ہے ۔
sg,وہ کڑوے سچ کو اس طرح پیش کریں کہ گڑبڑ کرنے والوں کا جینا حرام ہو جائے ۔
,امریکہ کے مقبول صحافی ولیم رینڈولف کا ماننا تھا کہ اخبار کے مدیر کا کوئی دوست نہیں ہوتا ۔
,وہ دوستانہ سلوک بھلے ہی کر سکتا ہے ، لیکن سچ کے اظہار کے بعد ممکن ہے کہ لوگ اسے دوست کے بجائے دشمن مانیں ۔
,کوئی ایماندار اخبار اور اس کا مدیر کسی دوست یا پارٹی یا کمپنی کی حمایت میں متعصب ہو کر اخبارات کو پروسے گا تو اس کی عزت بہت جلد ہی مٹی میں مل جائے_گی ۔
,حال کے برسوں میں ادھکچری صحافت دکھنے لگی ہے ۔
,سیاسی حادثات کی بات دور رہی ، سفارتی نوعیت کے معاملات میں بھی آدھی - ادھوری اطلاعات اخباری صفحات پر اُنڈیل دی جاتی ہیں ۔
,ممکن ہے کہ کچھ صحافی زیادہ تعلیم حاصل کر گئے ہوں لیکن وہ نیم تعلیم_یافتہ صحافیوں سے بھی بدتر خبریں اور خیالات پیش کرتے ہیں ۔
,دوسری جانب صحافی اگر اپنے موضوع پر اچھی محنت کرے تو اس کے پاس بڑے سے بڑے افسر یا لیڈر سے زیادہ صحیح جانکاری دستیاب ہوگی ۔
,امریکہ ، برطانیہ اور ہندوستان میں ایسے صحافی ہیں جن کے پاس سلامتی خفیہ ایجنسیوں کے ڈائریکٹروں سے بھی زیادہ صحیح اور مصدقہ جانکاریاں رہتی ہیں ۔
,صحافت کی دو سب سے بڑی شرائط ہیں اپنے قارئین کو پہچاننا اور اخباروں کو سب سے زیادہ پراعتماد بنانا ۔
,قاری کیا پڑھنا چاہتے ہیں اور کس موضوع پر بحث کر سکتے ہیں اس بات کی دوراندیشی ہونے پر ہی کوئی صحافی یا اس کا اخبار کامیاب ہو سکتا ہے ۔
sg,ہمارے اخبار کی سب سے بڑی ضرورت اس کے اعتماد کو عمدہ_ترین سطح پر لے جانا ہے ۔
,خبروں کو کھوجنا ٹھیک ہے لیکن خبروں کے لئے الفاظ سے کھیلنا یقیناً غلط ہے ۔
,مصنف تو الفاظ سے کھیلتے ہیں ، صحافیوں کو کنٹرول رکھنا ہوتا ہے ۔
,اچھی یا متحقق رپورٹ تیار کرنے والے کئی نامہ_نگار کی دلیل ہوتی ہے کہ ان کے پاس کاغذات ہیں اسلئے متعلقہ شخص کا پہلو جاننے کی ضرورت کیا ہے ۔
,نامہ_نگاروں کو یہ بتایا جانا چاہیئے کہ کاغذات ہونے کا مطلب یہ نہیں ہے کہ ہمیں فیصلے کی چھوٹ مل گئی ۔
,کئی مرتبہ خبروں میں یہ ذکر ملتا ہے کہ نامہ_نگار نے ملزم شخص یا متعلقہ جوابدہ افسر سے فون پر بات کرنے کی کوشش کی لیکن رابطہ نہ ہو سکا ۔
,یہ بچاو کا پھوہڑ طریقہ ہے ۔
,اس سے نامہ_نگار کو یا اخبار کو جوابدہی سے آزادی مل جاتی ہے ۔
,عدالت کے منصف کے سامنے بھی کاغذات اور ثبوت ہوتے ہیں لیکن انھیں اس پر کوئی فیصلہ کرنے سے پہلے سبھی پہلووں کی دلیل سننی پڑتی ہے ۔
,نام_نہاد قاتل تک سے پوچھنا پڑتا ہے کہ اسے اپنی صفائی میں کچھ کہنا تو نہیں ہے ۔
,تصدیق اسلئے بھی لازمی ہے کہ ایک پہلو رکھنے کے بعد دوسرا فریق یہ مان کر چلتا ہے کہ خبر اس کے سیاسی دشمنوں نے چھپوائی یا اخبار کے انتظامیہ نے لکھوائی ۔
,اصلیت یہ ہے کہ کوئی بھی سمجھدار صحافی اس قسم کی اسپانسرڈ خبر نہیں لکھتا ۔
,لیکن جب وضاحت چھاپنے کی بات آتی ہے تو ہمارے کئی معاون صحافی دقت محسوس کرتے ہیں ۔
,مغربی جرمنی میں تو قانون ہے کہ اگر آپ نے کوئی خبر غلط چھاپی ہے تو آپ کو جوابدہی کا حق متعلقہ فریق کو دینا پڑے_گا ۔
,وہ جوابدہی بھی اتنی ہی اہمیت سے چھاپنی پڑے_گی جتنی اہمیت سے آپ نے خبر کو چھاپا تھا ۔
,جرائم کی خبر کا انتخاب بہت ہی احتیاط کے ساتھ ہونا چاہیئے ۔
,جرائم خبر کو لکھنے والے اور ادارت کرنے والے کو عام قانونی عمل کا علم ہونا چاہیئے ۔
,جرائم کی خبریں سب سے زیادہ پڑھی جاتی ہیں اور اسلئے ان خبروں میں کساوٹ اور اعتمادیت مزید ضروری ہے ۔
sg,کئی مرتبہ تبصروں میں بھی بہت عام ڈھنگ سے ` نامرد ` لکھے جانے سے اخبار کی ساکھ کو بھی دھچکا لگتا ہے ۔
,عدالت یا منصف کو ہتک_عزت باتیں موجودہ قوانین کو دھیان میں رکھ کر لکھنی یا چھاپنی چاہیئے ۔
,بہتر زبان کا مطلب یہ قطعی نہیں ہے کہ نامہ_نگار یا ڈیسک پر بیٹھا اہم نائب مدیر ہندی کا عالم ہونا چاہیئے ۔
,اسے آسان زبان کا استعمال آنا چاہیئے ۔
,اس کے الفاظ کا ذخیرہ فقط ذرائع - علم ، قابل ذکر ہے ، انھوں نے کہا یا بتایا تک نہیں ہونا چاہیئے نہ ہی اسے سنسکرت_زدہ ہونا چاہیئے ۔
,ہمارے کچھ نامہ_نگار تو انٹرویو کے بعد شروع ہونے والے دوسرے پیراگراف میں ہی قابل ذکر کا استعمال کرتے ہیں ۔
,اس سے ایسا لگتا ہے کہ خبر تو پہلے ہی پیراگراف میں ختم ہو گئی ۔
,زبان کی آسانی فقط لفظوں پر ہی منحصر نہیں ہے ۔
,جملوں کی تخلیق کا دھیان رکھا جانا لازمی ہے ۔
,انگریزی زبان کی نحوی ترکیب کی ساخت ہندی یا دیگر ہندوستانی زبانوں کی فطرت کے مطابق نہیں ہے ۔
,ترجمہ کے وقت نحوی ترکیب کی جانب دھیان دیا جانا ضروری ہے ۔
,اکثر ایسی خبریں بھی دیکھی جاتی ہیں جن میں لکھا ہوتا ہے - ` ایک جانب وزیراعلیٰ خوف سے پاک سماج کا دعویٰ کرتے ہیں وہیں دوسری جانب چوروں نے فلاں گاوں میں ایک دکان کا تالا توڑ کر سامان نکال لیا ` ۔
,یہ کسی لیڈر کا بیان ہو سکتا ہے ، خبر نہیں ۔
,خبر فقط اتنی ہے کہ دکان میں چوری ہو گئی ۔
pl,شروع شروع میں ریڈیو پروگرام ریڈیوں سیٹوں تک محدود تھے ۔
sg,اب موبائل فون کے ذریعے ایف_ایم ریڈیو سنا جانے لگا ہے ۔
sg,حال ہی میں مرکزی کابینہ میں ایف_ایم ریڈیو کے تیسرے مرحلے کی توسیع کو منظوری دے دی ہے ۔
,ریڈیو صنعت کے لیے ایک اہم چیلنج ہے اس کے سامعین کی تعداد کا پتہ لگانا ۔
,میڈیا اور تفریحی صنعت کے دیگر حصوں میں موسیقی ، گھر کے باہر تشہیر ، انٹرنیٹ اشتہار ، انیمیشن ، گیمنگ اور منظری اثر شامل ہیں ۔
sg,ہندوستان میں موسیقی سے ملنے والی آمدنی کا ایک بڑا حصہ فلمی موسیقی سے آتا ہے ۔
,آزاد موسیقی البموں کی فروخت کافی کم ہے ۔
,ہندوستان میں اینیمیشن اور گیمنگ صنعت ۲۰۰۴ ۔ ۰۵ میں بڑھا ۔
,چیلنج کے باوجود گیمنگ تیزی سے بڑھ رہا ہے ۔
,گیمنگ صنعت کے لیے سماجی نیٹورکنگ تحفہ ثابت ہوا ہے اور کئی آنلائن صارفین اس کے عادی ہو گئے ہیں ۔
