bshift,sentences
1,منوہرشیام جوشی کی ادارت میں ` ساپتاہک ہندوستان ` نے ریکارڈ بڑا بنایا ۔
0,جنگ عظیم کے بعد ملک میں صنعتوں کے قیام کے لئے کارپوریشن میں کچھ کمپنیاں تشکیل دی گئیں لیکن ان کے حصص_کنندگان کی تعداد ہزاروں میں تھی ۔
1,معاشی صحافت تبھی فروغ پا سکتی ہے جب معاشی شعبے میں سے تیزی سرمایہ لگا ہو ، کمپنیاں اچھا فائدہ دیں اور ان کے حصص کی قدر تیزی سے بڑھے ۔
0,متعدد نئی کمپنیوں نے کام شروع کیا ۔
0,لوگ ایک معاشی رسالہ کی ضرورت محسوس کرنے لگے ۔
0,اس مانگ کو پورا کرنے کے لیے معاشی رسالوں ، `` اکنامِک ٹائمز `` اور `` فائننشیئل ایکسپریس `` کی اشاعت شروع ہوئی ۔
0,ان کی اشاعت کے بیچ فقط دو ہفتہ کا فرق تھا ۔
0,یہ دونوں اخبارات ممبئی سے شائع ہوئے جسے ملک کی معاشی راجدھانی کہا جاتا تھا ۔
0,عوام نے ان دونوں رسالوں کا استقبال کیا ۔
1,کچھ برس بعد دونوں رسالوں نے سے دلی بھی اپنے شمارے نکالنے شروع کئے ۔
0,۱۹۷۵ میں ` بزنس اسٹینڈرڈ ` نے کلکتہ سے اشاعت شروع کیا ۔
1,اسی وقت ` اکنامک ٹائمز ` نے شمارہ کلکتہ شروع کیا ۔
1,اس کی دیکھا دیکھی فائننشیل ` ایکسپریس ` نے پہلے چِنّئی اور پھر کلکتہ سے اور ` اکنامک ٹائمز ` نے احمدآباد سے اپنے شمارے نکالے ۔
0,ہندستان میں شائع ہونے والی پہلی سائنسی میگزین ` ایشیاٹک ریسرچ ` تھی ۔
0,اس کی اشاعت ۱۷۸۸ میں رائل ایشیاٹک سوسائٹی نے کیا تھا ۔
1,ہندوستانی زبانوں میں شائع پہلی سائنسی میگزین بنگلہ ` ` میں ۱۸۲۱ میں شائع ` پرشناولی ` تھی ۔
0,ہندی میں سائنسی رسالے کا آغاز کرنے کا سہرا ` آیوروید مہاسمّیلن پتریکا ` کو ہے ۔
0,اس کی اشاعت ۱۹۱۳ میں شروع ہوئی ۔
0,یہ رسالہ اب بھی شائع ہو رہا ہے ۔
1,اس رسالہ میں آیوروید سے متعلق مضامین شائع ہوتے ۔ تھے
0,` آیوروید مہاسمّیلن پتریکا ` کی اشاعت کے دو برس بعد ۱۹۱۵ میں الہ_آباد کی سائنس کونسل نے ` سائنس پتریکا ` کی اشاعت شروع کی ۔
1,اس پرچہ کی اشاعت میں شروع سے اب تک الہ_آباد یونیورسٹی کے سائنس شعبہ کے ممبر اور چوٹی کے سائنسداں تعاون دیتے رہے ۔ ہیں
0,عوام کے لئے آسان اور صریحی زبان و اسلوب میں لکھے رسائل ہی مفید ہو سکتے ہیں ۔
0,ہندی میں اس قسم کے متعدد ہفتہ_وار ، پندرہ_روزہ اور ماہانہ رسائل نکلتے ہیں ۔
1,ادب نوبل کا انعام کسی خاص زبان کے خصوصی قلمکار کو اس کے مجموعی تخلیقی تعاون کے لئے دیا جاتا ہے توصیفی سند میں بھلے ہی اس کی کچھ خاص تخلیقات کا ذکر ہو ۔
1,سویڈن اکیڈمی نوبل کمیٹی کے ذریعہ رویندر ناتھ ٹیگور پر دئے گئے میں بیان بلاشبہہ ` گیتانجلی ` کو مرکزی اہمیت دی گئی ہے لیکن ` دی گارڈنر ` لرکس آف لو اینڈ لائف ` گلمپز آف بنگال لائف ` ، ` دی کرسنٹ موون ` اور سادھنا ` دی ریلائزیشن آف لائف ` کے ذکر بھی ہیں ۔
1,پچھلے برس سے ہی میں ۱۹۱۳ کے اس انعام کے کچھ حقائق کی تلاش میں اور تھا ایستونیا کی راجدھانی تالن میں واقع قومی لائبریری میں جس کا کچھ برسوں سے میں خوش_قسمت قاری ممبر ہوں -
0,مجھے سویڈی اکادمی کے وہ نایاب سالانہ ` بروشیئر ` ملے جن میں انعام کمیٹی کے ممبران ، ان کے فیصلے ، فاتحین کی سوانح اور تقاریر شائع کئے جاتے ہیں ۔
0,پچھلے ۱۱۲ برسوں کی یہ اصل یادگاری کتابیں ہندوستان میں شاید کہیں دستیاب نہیں ہیں ۔
0,ان میں متعلقہ برس کے انعامات کسے کیوں دیے گئے ہیں اس کا ایک سطری اور کبھی اس سے بھی کم ، خلاصہ بھی چھاپا جاتا ہے ۔
0,ٹیگور کے متعلق اصل فرانسیسی کے اس کچے ہندی ترجمے میں کہا گیا ہے ، اس گہری اور بلیغ تاثر ، اس جمالیات اور نئےپن کے لئے ، جس کا تعارف ان کی صلاحیت ، انگریزی رنگ و روپ میں مغربی ادب سے کروا سکی ۔
0,غورطلب ہے کہ سویڈی اکادمی کہہ رہی ہے کہ ٹیگور نے انگریزی ` فارم ` میں ترجمہ میں نہیں ، مغرب کو اپنی صلاحیت سے متعارف کروایا ۔
0,ٹیگور بھی اپنی اس ` گیتانجلی ` کو جس کی شہرت اور مقبولیت کی بنیاد پر انھیں نوبل دیا گیا اپنی اصل انگریزی تخلیق ہی مانتے دکھائی دیتے تھے ۔
0,اس ` گیتانجلی ` اور مبینہ اصل بنگلہ ` گیتانجلیہڑ ` میں بہت اور اہم فرق ہے ۔
0,شاعر کی زندگی میں ہی شاید دونوں میں ترمیم بھی ہوتے رہے ہیں ۔
0,ایک عجیب سچ ہے کہ ٹیگور خود انعام لینے سویڈن نہیں گئے ۔
1,انعام عشائیے پر جو بہت چھوٹی تقریر کرنی ہوتی ہے اس کی جگہ انھوں نے اکادمی کو یک_سطری تار انگریزی میں بھیجا ، جسے سویڈن میں سفارت_خانے برطانوی کے موجودہ کارگزار سفیر کلائیو نے موجود مہمانوں کو پڑھ کر سنایا ۔
0,کلائیو نے ہی ٹیگور کی غیرموجودگی میں ان کا انعام بھی حاصل کیا ۔
0,اس سے بھی عجیب واقعہ یہ ہے کہ ٹیگور نے اپنی کوئی نوبل_انعام کی حصول تقریر بھی نہیں بھیجی کہ اکادمی کا کوئی جیوری یا افسر اس تاریخی موقع پر پڑھ سکے ۔
0,حال کے برسوں میں ہماری متعارف آسٹریائی ناول_نگار ، شاعرہ و ڈرامہ_نگار ایلفریڈے یلینیک جنھیں بھیڑ کے درمیان رہنے اور اس کے سامنے بولنے سے وحشت ہے ، اپنی نوبل تقریر ویڈیو کر کے بھجوایا تھا اور وہی دکھایا ، سنایا گیا ۔
0,کمال یہ ہے کہ سویڈی اکادمی کا یہ اشتہار کہیں کوئی سرکاری وجہ نہیں بتاتا کہ ٹیگور ایسے امر لمحے کو جینے اپنی ایک غیرمعمولی تقریر کرنے اسٹاک_ہوم کیوں نہیں پہنچے ۔
1,اس عوض کے میں سویڈی اکادمی نوبل کمیٹی کے صدر ، ایمریٹس پروفیسر ڈاکٹر ہارالڈ ہیئر نے ٹیگور پر اپنی ایک نسبتاً لمبی تقریر کی ۔
0,بہت افسوس ہے کہ ایڈورڈ_سعید نے یہ تقریر نہیں دیکھی ورنہ اپنی ` اورئینٹلزم ` میں جو یوں تو کوئی بہت قابل_اطمینان کتاب نہیں ہے کم سے کم اس کا ذکر شاید وہ کرتے ۔
0,یہ صدارتی تقریر اتنی نیم کچرےپن ، شبہات اور جذبہء_ہمدردی سے پُر ہے کہ خود اس پر کتاب لکھی جا سکتی ہے ۔
0,پتہ نہیں اس کا ترجمہ بنگلہ ادب میں ہے یا نہیں اور اس پر اپنے شونار قلمکاروں کا کیا ردعمل رہا لیکن اس صدی برس میں ہندی میں تو اسے لایا ہی جانا چاہیئے ۔
0,اول تو اس میں ٹیگور کو پہلے ہی اینگلو و انڈین پوئیٹ اعلان کر دیا گیا ہے ، گیتانجلی کو بےخوفی سے ` ایک کلیکشن آف ریلیجیس پوئمس ` تو مان ہی لیا گیا ہے اسے انگریزی ادب کی ملکیت بنا دیا گیا ہے ۔
0,ٹیگور کے متعلق کہا گیا ہے کہ وہ ` اس شعری فن کے نئے اور لائقِ_ستائش ماسٹر ہیں جو ملکہ ایلیزابیتھ کے زمانے سے برطانوی تہذیب کی تشہیر کے معتمد ہمراہی رہے ہیں ۔ ` `
0,تقریر میں ہندوستان کے نشاۃالثانیہ کا پورا سہرا جس میں جدید ہندی زبانوں کا طلوع اور فروغ بھی شامل ہے عیسائی مشنریوں کو جن کے جزوی تعاون سے انکار تو نہیں کیا جا سکتا ، دے دیا گیا ہے ۔
1,بھکتی تحریک کو بھی مغربی مذاہب سے نہیں غیرمتاثر کہا گیا ہے ۔
0,اس سے بڑا دعویٰ ` برہمو سماج ` کے لئے کیا گیا ہے ۔
0,ٹیگور کو اس سب سے متاثر بلکہ ان کا ایک ` ` پروڈکٹ ` ` نما صوفی ، فلسفی ، مذہبی انسان تقریباً ایک پیغمبر جیسا پیش کرنے کی کوئی کسر نہیں چھوڑی گئی ہے ۔
0,یہ معلوم کرنا مشکل ہے کہ ٹیگور کو اس سے ماقبل تحریر بیان کا علم تھا یا نہیں یا یہ ان کی غیرموجودگی سے متاثر تھا ۔
1,بعد میں ان کا اس پر کیا ردعمل تھا کا اس بھی کچھ پتہ نہیں چلتا ۔
1,بعد میں یہ ییٹس بھی ٹیگور کے مخالف ہو گئے اور ۱۹۳۵ میں بار ایک یوں ابل پڑے :
1,` ` بھاڑ میں جائیں ٹیگور ` ` ۔
0,ہم ( اسٹرج مور اور میں ) نے ( اس کی ) تین اچھی کتابیں نکالی اور پھر کیونکہ اس نے سوچا کہ عظیم شاعر ہونے سے زیادہ اہم ہے انگریزی جاننا ، تو اس نے جذبات بھرا کوڑا چھپوانا شروع کر دیا اور اپنی شہرت کو برباد کر لیا ۔
0,ٹیگور انگریزی نہیں جانتا کوئی بھی ہندوستانی انگریزی نہیں جانتا ۔
0,فلپ لارکن نے تو ۱۹۵۶ میں ٹیگور کے نام کو بگاڑ کر ` روینڈرم ` کیا اور ایک نازیبا لفظ بھی کہا ۔
0,کپل_سبّل اور نریندر مودی کی طرح وہ بھی تو شاعر ہیں ۔
0,یوں شروعاتی انتخاب ہو جائے تو اس بار ہندوستانی زبانوں سے چھ ہی تو اور پکڑنے رہ جائیں گے ۔
1,سنجیدہ معاملہ یہ ہے کہ قارئین بنگلہ کو چھوڑ کر ٹیگور کو اب میری ہی طرح تقریباً نہ کوئی پڑھتا ہے نہ پڑھنا چاہتا ہے ۔
0,عالمی ادب میں ان کی شہرت تاریخی ہے زندہء_جاوید نہیں ۔
0,میں بےغیرتی ، پشیمانی سے کہہ چکا ہوں کہ میرے لئے آج ہندوستان میں ٹیگور سے کہیں زیادہ موزوں نامدیوڈھسال ہے جس کی شاعری اور مشتبہ سیاسی چال چلن ایک تیکھی بحث جنم تو دیتے ہیں ۔
0,انگریزی میں اسی صدی موقع کو بھنانے کے لئے ان کی کچھ کتابیں ضرور چھپی ہیں لیکن بہت محدود شماروں میں ۔
0,فرانس میں تو کبھی کبھی سننے میں آتا ہے کہ جب سے ہندی سے ایک عوضی کھوج لیا گیا ہے ٹیگور کو لوگ بھول رہے ہیں بھلے ہی مثلاً ٹیٹی_نگر میں بھی اس کا طلوع نہ ہوا ہو ۔
1,بہرحال حقیقت یہ ہے کہ ٹیگور کا ہم عصر شاعر خلیل_جبران اب بھی ان سے ہزاروں زیادہ گنا خریدا پڑھا جا رہا ہے جبکہ جبران اور ٹیگور دونوں دنیا کے موافق ، حقیقی ادب کے شعبے میں آج کوئی بہت سنجیدگی سے نہیں لیتا ۔
0,ایک عجب اتفاق ہے کہ اسی سال جبران کی ۱۳۰ ویں سالگرہ ہے اور بیسیوں تراجم اور کروڑوں کاپیوں میں فروخت ہو چکی ان کی تخلیق ` دی پروفٹ ` کی ۹۰ سالگرہ بھی جو شیکسپئر کے بعد دنیا میں اب بھی سب سے زیادہ فروخت ہونے والی دوسری ادبی کتاب کہی جاتی ہے ۔
0,مجھے مکمل یقین ہے کہ ان میں سے کئی نے نہ ٹیگور کو پڑھا ہوگا نہ پڑھنا چاہتے ہونگے ۔
1,یہ بات الگ ہے کہ اگر ہندستان کے دوسرے ادبی نوبل کے ایک لئے عجیب لابینگ کا حصہ ہے تو شاید خود منتظم ، یا کنورنارائن یا سچّدانندن یا کسی خودساختہ دیگر امیدوار کو مل ہی جائے ۔
0,حالانکہ ہندی کے کچھ دیگر بیوقوف رجائیت_پسندوں کی طرح میں بھی سوچتا ہوں کہ اگر وہ ملے گا تو منگلیش ڈبرال کو جو اس پر بھی کم و بیش منحصر کرتا ہے کہ اشوک انھیں اپنے عالمی مشاعرے میں کیا رول دیتے ہیں یا شریکانت جی کے لہجے میں دیتا بھی ہے یا نہیں ۔
1,کیا زمانہ انھیں مہمانوں کا ترجمہ کرنے و پڑھنے یا جذبے میں گھسنے تک نہیں دیا جائے گا ؟
0,وشنوکھرے کا مضمون ` رویندر نوبل شتی کو یوں منانے کے جوکھم ` ( ۱۶ جون ) غیرمہذب ، غیرمتناسب اور بےصبر تو ہے ہی اوچھے_پن اور محرومی سے بھی بھرا ہوا ہے ۔
0,یوں تو اس محرومی مضمون کا فوری مقصد اشوک واجپیئی کے ذریعہ مجوزہ عالمی مشاعرہ کے انعقاد میں پہلے سے ہی پلیتا لگانا ہے ۔
1,لگے لیکن ہاتھ کچھ اور لوگوں سے حساب چکتا کرنا بھی اس کا مقصد ہے ۔
0,سب سے پہلے نوجوان شاعر ویومیش شکل سے ۔
0,پھر سینئر منگلیش ڈبرال سے ۔
1,نہیں ، سوتیلی ماں لا کر ہم منّا کو اور دکھ میں ڈال نہیں سکتے ۔
0,ارے سوتیلی ماں کیا ہمیشہ خراب ہوتی ہے ، اور پھر ہم لوگ جو ہیں منّے کو دیکھنے کے لئے ، اس کو دکھ کیسے ملیگا ۔
0,حالات کو دیکھتے ہوئے ایک خیال آ رہا ہے ، کہئے تو کہوں ۔
0,بیٹا اومکار ! تم اگر گُنجا سے شادی کر لو تو سارا مسئلہ حل ہو جائیگا ۔
1,اس کا بھی تو بیاہ ہمیں کرنا ہی ہے ، اور تم جانتے ہو کہ منّا گُنجا ہلا سے ملا بھی ہے ۔
1,گنجا نے یہ گھر دیکھا سمجھا ہے ، تم سب بھی اسے جانتے ہو ، کبھی منا بھی نہیں سمجھ پائے گا کہ گنجا اس کی ماں ہے یا نہیں ۔
0,کاہے چندن ! تم کا کہتے ہو ؟
0,جس میں بھیّا کی خوشی ہو کاکا ، ہمیں منظور ہے ۔
0,چاچا ! اس نے تو سمجھا تھا کہ آپ اس کا بیاہ چندن سے طے کر کے آئے ہیں ۔
0,یہ تو چندن کو چاہتی ہے اور چندن بھی اسی کو چاہتا ہے ۔
0,لیکن چندن اگر گنجا سے بیاہ کرنا چاہتا تھا تو جس دن یہ بات طے ہوئی ، اس دن وہ بھی وہاں تھا ، اس نے کچھ کیوں نہیں کہا ؟
0,بس ایک بار ہماری بات سنو گنجا ، پھر چاہے زندگی بھر ہم سے ناراض رہ لینا ۔
0,تم سے ناراض رہنے کا اب کا حق ہے ہمارا ؟
0,تھوڑا بہت حق جو ہم نے اپنا سمجھ لیا تھا ، وہ تو تم نے چھین ہی لیا نا ۔
1,بس ایک بات نہیں سمجھ آتی کہ تم نے بات کس کا بدلہ لیا ہم سے ؟
1,تمھارا بھروسہ بڑا تھا چندن !
1,ہم سمجھتے تھے اگر ہماری محبت میں طاقت ہوگی تو تمھیں ہم ضرور پا لینگے ۔
1,زندگی میں موہ-مایا ہی سب کچھ تو نہیں ہوتا ہے گُنجا ، فرض ایک بھی ہوتا ہے ۔
0,تم تو بہت بعد آئیں گنجا ، آنکھ کھلی تو پہلے بھیّا کو جانا تھا ، باپ و ماں کے تو چہرے تک یاد نہیں ہم کو ۔
1,ان خوشی کی کی خاطر ہی ہم اپنا سب کچھ نِچھاور کرنے کے لئے تیار ہو گئے ۔
0,گنجا ! بات صرف ہماری نہیں رہ گئی تھی ، بھیّا کی خوشی کی بات تھی ، اس گھر کی بات تھی جسے بھابھی نے اتنے جتن سے سنوارا و سجایا ، بات ہمارے منّا کی تھی ۔
0,اسلئے ہم نے سوچا کہ اس گھر کو دیکھنے و سنبھالنے کے لئے ایک تم ہی ہو اور کوئی نہیں ، اور ہم چپ رہ گئے ۔
0,گنجا ! ہمیں اتنا بھروسہ تھا تم پر کہ اگر تم ہماری مجبوری کو سنو گی تو ہمیں سمجھو گی اور معاف کر دوگی ۔
1,تم بہت بڑے ہو چندن ! ہاں ، پہلے تمھیں فقط چاہتی تھیں ، لیکن اب عقیدت ۔ کرینگے
0,دیوتا نہ بھی ملے ، تو کیا پجاری کی بھکتی چھوٹ جاتی ہے ؟
0,ہم تمھارا اعتماد نہیں توڑینگے چندن ، کبھی نہیں NULL ، تم جو بھی کہو گے ہم وہی کرینگے ۔
0,یہ کیسی باتیں کر رہے تھے تم لوگ ، ہمارے لئے تم اپنی خوشیاں چھوڑ دوگے اور ہم خوش ہو جائینگے ۔
0,تم نے سمجھ کا رکھا ہے ہمیں ؟
0,گنجا ! تم فکر مت کرو یہ دیوتا ہی تمھارا خاوند دیوتا بنے گا ، ہم ابھی بات کر کے آتے ہیں ۔
0,ویدجی ! بچوں کی خوشی میں ہی ہم دونوں کی خوشی ہے ۔
0,اسی میں ہم سب کا بھلا ہے ، گنجا کی مانگ تو اب چندن کو ہی بھرنے دیجئے ۔
0,ٹینا بہت کریٹیکل ہے راہول ، اس کے پاس زیادہ وقت نہیں ہے ۔
0,ہم نے بہت کوشش کی راہول ، مگر اس کی انٹرنل بلیڈنگ اتنی بڑھ گئی تھی کہ ہم کچھ نہیں کر سکے ۔
0,میں نے اس سے پہلے ہی کہا تھا کہ اس کی ڈلیوری میں کامپلیکیشنس ہونگی ۔
0,لیکن وہ یہ بھی جانتی تھی کہ تمھیں یہ بچہ کتنا چاہیئے ۔
0,اسے بھی یہ اپنی زندگی سے زیادہ پیاری تھی ۔
0,میں چاہتی ہوں کہ میری بیٹی مجھے جانے ۔
0,اس کی ماں کیسی تھی ، کون تھی ، ان سوالوں کا جواب وہ خود دے سکے ۔
0,ممّا ! میں یہ آٹھ چٹھیاں آپ کے پاس چھوڑ کر جا رہی ہوں ۔
1,ان وہ میں ساری باتیں ہیں جو میں اپنی بیٹی کو کہنا چاہتی ہوں ۔
0,یہی میری بیٹی کی یادیں بن کر رہ جائینگی ۔
0,روپا ہمیں گائتری منتر سنائیگی ۔
0,گائتری منتر تو میں بھول گئی ۔
0,کیا ؟
1,تو یہ کیا کہہ رہی ہے روپا ؟
1,سنا ہماری بہنوں روپا گائتری منتر بھول گئی ۔
1,ارے بیٹی ! تو پوجا پاٹھ میں دھیان نہیں تو رکھیگی اپنے بچوں کو کیا سکھائیگی ؟
0,جو ہم کہتے ہیں ، جو ہم سوچتے ہیں ، اسی کا اثر تو ہمارے بچوں پر پڑتا ہے ۔
0,جاؤٔ اسکول فنکشن کے لئے تیار ہو جاؤ ۔
0,ہر اسٹوڈینٹ کو فقط ایک ہی منٹ دیا جائیگا ۔
0,ہماری پہلی کانٹیسٹ ہے جسبندر سنگھ ۔
0,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
0,ہندی کے عظیم مصنف اور صحافی بابو ہریش چندر بھارتیندو اور ان کے ساتھیوں کی کوششوں کے نتیجے میں ہندی صحافت کے لئے ایک زرخیز زمین تیار ہوئی ۔
0,ان کی انتھک کوششوں سے ترغیب لے کر ہندی کی دیگر صلاحیتیں بھی اس میدان میں کود پڑیں اور حکومت و اس کی پالیسیوں کا بھنڈا پھوڑ ہونا شروع ہو گیا ۔
0,بھارت میں دربار لگانے کی روایت بہت قدیم ہے ۔
0,انگریزی حکومت نے بھی اس روایت کو اپنایا اور اس پر کثیر رقم پانی کی طرح بہایا ۔
0,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
0,ان دنوں ہندستان میں قحط پڑ رہا تھا اور معاشی بحران کے کالے بادل منڈلا رہے تھے ۔
1,اس دربار پر ہونے والے خرچ کو ہندستانی بادشاہوں سے یکجا کیا ۔ گیا
0,ان میں کچھ تو اتنے قرضدار ہو گئے کہ وہ کبھی بحال ہو ہی نہیں سکے ۔
0,تحفتاً ان کو کچھ بھی نہیں ملا ۔
0,لہٰذا ہندی اخبارات نے اس کی مخالفت میں زبردست مہم چلائی تھی اور کہا کہ اس دربار کے تناظر میں فقط سامراجیت کو دکھانے کی منشا تھی ۔
0,لارڈ ریپن جن کو اعتدال _ پسند مانا جاتا ہے ، نے بھی ۱۸۸۰ میں لاہور میں ایک دربار کیا ۔
0,اس دربار کے سبب اس نے ہندوستانیوں کی ہمدردی کھو دی ۔
1,اسی طرح کا لارڈ دربار کرزن نے بھی کیا ۔
0,ان دنوں بھی ہندستانی سماج کی معاشی حالت نہایت تشویشناک تھی ۔
0,لیکن کرزن اپنے بداعمالیوں سے چوکنے والا نہیں تھا ۔
0,سرکاری خدمات میں ذات و نسل کی پالیسی کا بول _ بالا تھا ۔
0,کارنوالس سب سے پہلا انگریز تھا جس نے مکمل سرکاری اعلیٰ عہدوں کو گوروں کے لئے محفوظ کیا ۔
0,اس نے ہندستانیوں کو عمداً سرکاری خدمات سے محروم کیا ۔
0,اس غیرمنصفانہ سرکاری پالیسی کے خلاف ہندی اخبارات نے ڈٹ کر تبلیغ کیا اور ہندستانی عوام کو جگایا ۔
1,کاشی راسلے نے کچھ سوال و جواب کئے ; سول کیا سروس کے لئے امتحان پاس کرنے کے علاوہ کوئی اور بھی خوبی ہے ؟
0,کیا ہزاروں ہندوستانی جو ذہن ، انصاف ، حوصلے اور کردار وغیرہ جیسی صفات سے آراستہ ہونے پر بھی اس کے لیے مایوس ہو گئے ہیں جیسے سورج کے سامنے شمع دھندلی پڑ جاتی ہے ۔
0,جب اخبارات نے مذکورہ ڈھنگ سے بیان کیا تو سرکاری خدمات کے متعلق جگہ - جگہ پر جلسے منعقد کئے گئے ۔
0,اس کے ساتھ ہی ہندی اخبار و رسائل نے اترپردیش اور پنجاب میں صوبائی لیجسلیٹو کونسل کے قیام کے لئے مانگ کرنی شروع کر دی تاکہ ان صوبوں کے مسائل کو سرکار کے کانوں میں ڈالا جائے ۔
0,` آریہ متر ` نے کہا کہ اگر بمبئی ، کلکتہ اور مدراس جیسی لیجسلِٹیو کونسل ان صوبوں میں قائم کی جائیں تو لفٹیننٹ گورنر کو حکومت ، مہارت کے ساتھ چلانے میں تعاون ملیگا ۔
0,عسکریت_پسند اخبارات و رسائل کے مدیروں کے مضامین نے برطانوی حکومت کے خلاف آگ کے شعلے اگلنے شروع کر دیئے ۔
1,` ہندی پردیپ ` رسالے نے ان شعلہ_زدہ سے الفاظ ہندوستانی عوام کو ترغیب دی اور بیدار کیا
0,` او آزادی ، تم ہندستان کو چھوڑ کر کیوں بھاگ آئی اور اکیلا چھوڑ دیا ؟
0,خدا کی بیٹی دنیا کی معشوقہ اور صفات کا مجموعہ ، تم کہاں چلی گئی ؟
1,ہندوستانی اس نقصان پر بری سبک طرح رہے ہیں ، یہاں تک کہ سفر میں ہندی رسائل اور ان کے مدیروں کو بڑی بڑی تکالیف جھیلنی پڑی ۔
0,لارڈ بینٹک اور لارڈ میٹکاف نے جو آزادی ہندوستانی صحافت کو دی تھی وہ ۱۸۵۷ کے بعد چھین لی گئی ۔
0,پہلی جنگ آزادی میں یہاں کے اردو اخبارات نے بھی اہم رول نبھایا تھا ۔
1,لہٰذا برطانوی حکومت و اس کے انتظامیہ افسران اور اینگلو _ نے انڈِینز ہندوستانی پریس کو اپنا سخت دشمن مان لیا ۔
