,gender,sentences
101,f,ہندی کے عظیم مصنف اور صحافی بابو ہریش چندر بھارتیندو اور ان کے ساتھیوں کی کوششوں کے نتیجے میں ہندی صحافت کے لئے ایک زرخیز زمین تیار ہوئی ۔
102,,ان کی انتھک کوششوں سے ترغیب لے کر ہندی کی دیگر صلاحیتیں بھی اس میدان میں کود پڑیں اور حکومت و اس کی پالیسیوں کا بھنڈا پھوڑ ہونا شروع ہو گیا ۔
103,any,بھارت میں دربار لگانے کی روایت بہت قدیم ہے ۔
104,,انگریزی حکومت نے بھی اس روایت کو اپنایا اور اس پر کثیر رقم پانی کی طرح بہایا ۔
105,m,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
106,,ان دنوں ہندستان میں قحط پڑ رہا تھا اور معاشی بحران کے کالے بادل منڈلا رہے تھے ۔
107,m,اس دربار پر ہونے والے خرچ کو ہندستانی بادشاہوں سے یکجا کیا گیا ۔
108,,ان میں کچھ تو اتنے قرضدار ہو گئے کہ وہ کبھی بحال ہو ہی نہیں سکے ۔
109,m,تحفتاً ان کو کچھ بھی نہیں ملا ۔
110,,لہٰذا ہندی اخبارات نے اس کی مخالفت میں زبردست مہم چلائی تھی اور کہا کہ اس دربار کے تناظر میں فقط سامراجیت کو دکھانے کی منشا تھی ۔
111,m,لارڈ ریپن جن کو اعتدال _ پسند مانا جاتا ہے ، نے بھی ۱۸۸۰ میں لاہور میں ایک دربار کیا ۔
112,any,اس دربار کے سبب اس نے ہندوستانیوں کی ہمدردی کھو دی ۔
113,m,اسی طرح کا دربار لارڈ کرزن نے بھی کیا ۔
114,f,ان دنوں بھی ہندستانی سماج کی معاشی حالت نہایت تشویشناک تھی ۔
115,,لیکن کرزن اپنے بداعمالیوں سے چوکنے والا نہیں تھا ۔
116,m,سرکاری خدمات میں ذات و نسل کی پالیسی کا بول _ بالا تھا ۔
117,m,کارنوالس سب سے پہلا انگریز تھا جس نے مکمل سرکاری اعلیٰ عہدوں کو گوروں کے لئے محفوظ کیا ۔
118,,اس نے ہندستانیوں کو عمداً سرکاری خدمات سے محروم کیا ۔
119,,اس غیرمنصفانہ سرکاری پالیسی کے خلاف ہندی اخبارات نے ڈٹ کر تبلیغ کیا اور ہندستانی عوام کو جگایا ۔
120,,کاشی راسلے نے کچھ سوال و جواب کئے ; کیا سول سروس کے لئے امتحان پاس کرنے کے علاوہ کوئی اور بھی خوبی ہے ؟
121,f,کیا ہزاروں ہندوستانی جو ذہن ، انصاف ، حوصلے اور کردار وغیرہ جیسی صفات سے آراستہ ہونے پر بھی اس کے لیے مایوس ہو گئے ہیں جیسے سورج کے سامنے شمع دھندلی پڑ جاتی ہے ۔
122,,جب اخبارات نے مذکورہ ڈھنگ سے بیان کیا تو سرکاری خدمات کے متعلق جگہ - جگہ پر جلسے منعقد کئے گئے ۔
123,any,اس کے ساتھ ہی ہندی اخبار و رسائل نے اترپردیش اور پنجاب میں صوبائی لیجسلیٹو کونسل کے قیام کے لئے مانگ کرنی شروع کر دی تاکہ ان صوبوں کے مسائل کو سرکار کے کانوں میں ڈالا جائے ۔
124,m,` آریہ متر ` نے کہا کہ اگر بمبئی ، کلکتہ اور مدراس جیسی لیجسلِٹیو کونسل ان صوبوں میں قائم کی جائیں تو لفٹیننٹ گورنر کو حکومت ، مہارت کے ساتھ چلانے میں تعاون ملیگا ۔
125,any,عسکریت_پسند اخبارات و رسائل کے مدیروں کے مضامین نے برطانوی حکومت کے خلاف آگ کے شعلے اگلنے شروع کر دیئے ۔
126,,` ہندی پردیپ ` رسالے نے ان شعلہ_زدہ الفاظ سے ہندوستانی عوام کو ترغیب دی اور بیدار کیا
127,,` او آزادی ، تم ہندستان کو چھوڑ کر کیوں بھاگ آئی اور اکیلا چھوڑ دیا ؟
128,f,خدا کی بیٹی دنیا کی معشوقہ اور صفات کا مجموعہ ، تم کہاں چلی گئی ؟
129,m,ہندوستانی اس نقصان پر بری طرح سبک رہے ہیں ، یہاں تک کہ سفر میں ہندی رسائل اور ان کے مدیروں کو بڑی بڑی تکالیف جھیلنی پڑی ۔
130,any,لارڈ بینٹک اور لارڈ میٹکاف نے جو آزادی ہندوستانی صحافت کو دی تھی وہ ۱۸۵۷ کے بعد چھین لی گئی ۔
131,,پہلی جنگ آزادی میں یہاں کے اردو اخبارات نے بھی اہم رول نبھایا تھا ۔
132,,لہٰذا برطانوی حکومت و اس کے انتظامیہ افسران اور اینگلو _ انڈِینز نے ہندوستانی پریس کو اپنا سخت دشمن مان لیا ۔
133,f,اینگلو انڈین پریس نے خصوصاً دیسی صحافت کے راستے میں ہر ممکنہ رکاوٹ کھڑی کر کے اس کی ترقی کو روکنے کی کوشش کی ۔
134,any,اس وقت کی ہندی صحافت کا فروغ متعدد معاشی وجوہات سے نہیں ہو پا رہا تھا ۔
135,f,سرکار انھیں اخبار و رسائل کو معاشی مدد دیتی تھی جو اس کی حمایت کرتے تھے ۔
136,m,پولس اور جج بھی اپنے گندے اور پہلے سے طےشدہ طریقوں کو مدیروں کے خلاف استعمال کرنے سے کبھی ہچکتے نہیں تھے ۔
137,,ان کے ذریعہ مدیر ہمیشہ شک سے دیکھے جاتے تھے اور ان پر الزام لگایا جاتا تھا کہ وہ حکومت مخالف مضمون لکھتے ہیں ۔
138,m,حقیقت میں یہ ہندوستانی عوام کی تکلیفوں کو اپنے مضامین میں دکھا رہے تھے ۔
139,any,مثال کے لئے میرٹھ کے کلیکٹر نے ` میرٹھ گزٹ ` کو مذکورہ اسباب سے ہی بند کر دیا تھا ۔
140,,جب کبھی کوئی اخبار تلخیوں کے متعلق لکھتا تو اس کے مدیر کو جرمانہ اور سزا دونوں بھگتنا پڑتا ۔
141,m,بھارتیندو ہریش چند نے جہاں اپنی زندگی میں ۱۷ ڈرامہ ، ۳ ناول ، ایک مضمون اور متعدد شعری مجموعے لکھے ، وہیں انھوں نے ` ہریشچنسدریکا ، ` کوی _ وچن سدُدھا ` اور ` بالا بودھنی ` نامی تین اخبارات کی ادارت بھی کی ۔
142,m,جناب بالمکند گپت نے لکھا ہے کہ ` کوی _ وچن سُدھا ` جب پندرہ_روزہ ہوکر سیاست سے متعلق اور دیگر مضامین آزادی کے جذبے سے شائع کرنے لگی تو بڑی تحریک چلی ۔
143,m,بھارتیندو جی آنرری مجسٹریٹ مقرر کئے گئے تب بھی وہ نڈر ہوکر لکھتے رہے ۔
144,m,عوام میں ان کے اخبارات کی عزت ہونے لگی ۔
145,any,اسی طرح آچاریہ مہاویرپرساد دیویدی کے ناقابل _ فراموش تعاون کو بھی ہندی اخبارات کبھی نہیں بھلا سکتی ۔
146,any,آچاریہ دیویدی جی نے ` سرسوتی ` کے جنوری ۱۹۰۴ کے شمارے میں ` مدیروں کے لئے اسکول ` جون ۱۹۰۷ میں ` مدیرانہ لیاقت ` اور فروی ۱۹۰۹ میں ` امریکہ میں عمدہ _ ترین مدیر ` عناوین پر جو تبصرے لکھے ہیں ان میں کامیاب مدیر بننے کے لئے لازمی لیاقت اور تعلیم کا ذکر ہے ۔
147,m,آچاریہ مہاویرپرساد دیویدی ایک نڈر مدیر ، انصاف _ پسند تنقید _ نگار ، ذمہ _ دار مصلح اور محنتی مضمون _ نگار تھے ۔
148,m,ان کا مدبرانہ مدیر ان کے جذباتی ادیب پر حاوی رہا ۔
149,m,انومودن کا انت ، سمپادک کی ودائی ، ماگھ کا پربھات ورڑن ، دمینتی کا چندرپالمبھ وغیرہ مضامین میں ان کے جذباتی اسلوب کا مظاہرہ ہوتا ہے ۔
150,,صحافی کی اپنی عزت ضرور ہوتی ہے لیکن وہ سماج کے دیگر لوگوں کے مقابلے چوٹی پر بیٹھا ہوا دانشور نہیں کہا جا سکتا ۔
151,any,امریکہ کے اخباری وسائل میں ، چاہے وہ نیویارک ٹائمز یا واشنگٹن پوسٹ جیسے اخبار ہوں یا ٹیلی_ویژن نیٹ_ورک ، اس میں متمول طبقہ کے نوجوانوں کی بھرمار ہو گئی ہے ۔
152,m,وہ کسی نامی یونیورسٹی سے صحافت کی ڈگری لے کر باہر آتے ہیں ۔
153,,اس طرح کی ڈگری لینا غلط نہیں کہا جا سکتا ، لیکن زمین سے کٹے ہونے کے سبب یہ تعلیم و تعلم اخباری ذرائع میں مصنوعییت ہی زیادہ لاتی ہے ۔
154,any,اسی طرح کسی خاص سیاسی نظریے میں اعتماد کرنے کا مطلب یہ مان لینا بھی غلط ہے کہ خبر کو اسی نظریاتی سطح پر توڑ مروڑ کر پیش کرنا ہی صحافی کا پیدائشی حق ہے ۔
155,m,ادارتی صفحہ سے ہٹ کر خبر صفحات پر لکھتے وقت صحافی کو جج کی طرح غیرجانبدار رہنا ہوگا ۔
156,any,آزاد سماج میں اخباروں اور صحافیوں کا رول یہی ہے ۔
157,any,وہ کڑوے سچ کو اس طرح پیش کریں کہ گڑبڑ کرنے والوں کا جینا حرام ہو جائے ۔
158,m,امریکہ کے مقبول صحافی ولیم رینڈولف کا ماننا تھا کہ اخبار کے مدیر کا کوئی دوست نہیں ہوتا ۔
159,,وہ دوستانہ سلوک بھلے ہی کر سکتا ہے ، لیکن سچ کے اظہار کے بعد ممکن ہے کہ لوگ اسے دوست کے بجائے دشمن مانیں ۔
160,,کوئی ایماندار اخبار اور اس کا مدیر کسی دوست یا پارٹی یا کمپنی کی حمایت میں متعصب ہو کر اخبارات کو پروسے گا تو اس کی عزت بہت جلد ہی مٹی میں مل جائے_گی ۔
161,m,حال کے برسوں میں ادھکچری صحافت دکھنے لگی ہے ۔
162,,سیاسی حادثات کی بات دور رہی ، سفارتی نوعیت کے معاملات میں بھی آدھی - ادھوری اطلاعات اخباری صفحات پر اُنڈیل دی جاتی ہیں ۔
163,,ممکن ہے کہ کچھ صحافی زیادہ تعلیم حاصل کر گئے ہوں لیکن وہ نیم تعلیم_یافتہ صحافیوں سے بھی بدتر خبریں اور خیالات پیش کرتے ہیں ۔
164,any,دوسری جانب صحافی اگر اپنے موضوع پر اچھی محنت کرے تو اس کے پاس بڑے سے بڑے افسر یا لیڈر سے زیادہ صحیح جانکاری دستیاب ہوگی ۔
165,any,امریکہ ، برطانیہ اور ہندوستان میں ایسے صحافی ہیں جن کے پاس سلامتی خفیہ ایجنسیوں کے ڈائریکٹروں سے بھی زیادہ صحیح اور مصدقہ جانکاریاں رہتی ہیں ۔
166,any,صحافت کی دو سب سے بڑی شرائط ہیں اپنے قارئین کو پہچاننا اور اخباروں کو سب سے زیادہ پراعتماد بنانا ۔
167,any,قاری کیا پڑھنا چاہتے ہیں اور کس موضوع پر بحث کر سکتے ہیں اس بات کی دوراندیشی ہونے پر ہی کوئی صحافی یا اس کا اخبار کامیاب ہو سکتا ہے ۔
168,any,ہمارے اخبار کی سب سے بڑی ضرورت اس کے اعتماد کو عمدہ_ترین سطح پر لے جانا ہے ۔
169,,خبروں کو کھوجنا ٹھیک ہے لیکن خبروں کے لئے الفاظ سے کھیلنا یقیناً غلط ہے ۔
170,,مصنف تو الفاظ سے کھیلتے ہیں ، صحافیوں کو کنٹرول رکھنا ہوتا ہے ۔
171,any,اچھی یا متحقق رپورٹ تیار کرنے والے کئی نامہ_نگار کی دلیل ہوتی ہے کہ ان کے پاس کاغذات ہیں اسلئے متعلقہ شخص کا پہلو جاننے کی ضرورت کیا ہے ۔
172,m,نامہ_نگاروں کو یہ بتایا جانا چاہیئے کہ کاغذات ہونے کا مطلب یہ نہیں ہے کہ ہمیں فیصلے کی چھوٹ مل گئی ۔
173,m,کئی مرتبہ خبروں میں یہ ذکر ملتا ہے کہ نامہ_نگار نے ملزم شخص یا متعلقہ جوابدہ افسر سے فون پر بات کرنے کی کوشش کی لیکن رابطہ نہ ہو سکا ۔
174,any,یہ بچاو کا پھوہڑ طریقہ ہے ۔
175,any,اس سے نامہ_نگار کو یا اخبار کو جوابدہی سے آزادی مل جاتی ہے ۔
176,,عدالت کے منصف کے سامنے بھی کاغذات اور ثبوت ہوتے ہیں لیکن انھیں اس پر کوئی فیصلہ کرنے سے پہلے سبھی پہلووں کی دلیل سننی پڑتی ہے ۔
177,m,نام_نہاد قاتل تک سے پوچھنا پڑتا ہے کہ اسے اپنی صفائی میں کچھ کہنا تو نہیں ہے ۔
178,any,تصدیق اسلئے بھی لازمی ہے کہ ایک پہلو رکھنے کے بعد دوسرا فریق یہ مان کر چلتا ہے کہ خبر اس کے سیاسی دشمنوں نے چھپوائی یا اخبار کے انتظامیہ نے لکھوائی ۔
179,any,اصلیت یہ ہے کہ کوئی بھی سمجھدار صحافی اس قسم کی اسپانسرڈ خبر نہیں لکھتا ۔
180,,لیکن جب وضاحت چھاپنے کی بات آتی ہے تو ہمارے کئی معاون صحافی دقت محسوس کرتے ہیں ۔
181,any,مغربی جرمنی میں تو قانون ہے کہ اگر آپ نے کوئی خبر غلط چھاپی ہے تو آپ کو جوابدہی کا حق متعلقہ فریق کو دینا پڑے_گا ۔
182,f,وہ جوابدہی بھی اتنی ہی اہمیت سے چھاپنی پڑے_گی جتنی اہمیت سے آپ نے خبر کو چھاپا تھا ۔
183,m,جرائم کی خبر کا انتخاب بہت ہی احتیاط کے ساتھ ہونا چاہیئے ۔
184,m,جرائم خبر کو لکھنے والے اور ادارت کرنے والے کو عام قانونی عمل کا علم ہونا چاہیئے ۔
185,,جرائم کی خبریں سب سے زیادہ پڑھی جاتی ہیں اور اسلئے ان خبروں میں کساوٹ اور اعتمادیت مزید ضروری ہے ۔
186,m,کئی مرتبہ تبصروں میں بھی بہت عام ڈھنگ سے ` نامرد ` لکھے جانے سے اخبار کی ساکھ کو بھی دھچکا لگتا ہے ۔
187,m,عدالت یا منصف کو ہتک_عزت باتیں موجودہ قوانین کو دھیان میں رکھ کر لکھنی یا چھاپنی چاہیئے ۔
188,any,بہتر زبان کا مطلب یہ قطعی نہیں ہے کہ نامہ_نگار یا ڈیسک پر بیٹھا اہم نائب مدیر ہندی کا عالم ہونا چاہیئے ۔
189,m,اسے آسان زبان کا استعمال آنا چاہیئے ۔
190,any,اس کے الفاظ کا ذخیرہ فقط ذرائع - علم ، قابل ذکر ہے ، انھوں نے کہا یا بتایا تک نہیں ہونا چاہیئے نہ ہی اسے سنسکرت_زدہ ہونا چاہیئے ۔
191,m,ہمارے کچھ نامہ_نگار تو انٹرویو کے بعد شروع ہونے والے دوسرے پیراگراف میں ہی قابل ذکر کا استعمال کرتے ہیں ۔
192,m,اس سے ایسا لگتا ہے کہ خبر تو پہلے ہی پیراگراف میں ختم ہو گئی ۔
193,any,زبان کی آسانی فقط لفظوں پر ہی منحصر نہیں ہے ۔
194,any,جملوں کی تخلیق کا دھیان رکھا جانا لازمی ہے ۔
195,any,انگریزی زبان کی نحوی ترکیب کی ساخت ہندی یا دیگر ہندوستانی زبانوں کی فطرت کے مطابق نہیں ہے ۔
196,any,ترجمہ کے وقت نحوی ترکیب کی جانب دھیان دیا جانا ضروری ہے ۔
197,,اکثر ایسی خبریں بھی دیکھی جاتی ہیں جن میں لکھا ہوتا ہے - ` ایک جانب وزیراعلیٰ خوف سے پاک سماج کا دعویٰ کرتے ہیں وہیں دوسری جانب چوروں نے فلاں گاوں میں ایک دکان کا تالا توڑ کر سامان نکال لیا ` ۔
198,,یہ کسی لیڈر کا بیان ہو سکتا ہے ، خبر نہیں ۔
199,,خبر فقط اتنی ہے کہ دکان میں چوری ہو گئی ۔
200,m,شروع شروع میں ریڈیو پروگرام ریڈیوں سیٹوں تک محدود تھے ۔
201,,اب موبائل فون کے ذریعے ایف_ایم ریڈیو سنا جانے لگا ہے ۔
202,m,حال ہی میں مرکزی کابینہ میں ایف_ایم ریڈیو کے تیسرے مرحلے کی توسیع کو منظوری دے دی ہے ۔
