senlen,sentences
23,فلسفی صاحب نے بڑی عاجزی سے جواب دیا کہ آپ مجھے معاف کریں ، کیونکہ دونوں ہی مقامات پر میرے دوست ہیں ۔
15,مطلب یہ ہے کہ ایسے مقامات پر سمجھدار آدمی کسی کی حمایت نہیں کرتا ۔
10,میڈیا میں بھی یہی رویہ دیکھنے کو ملتا ہے ۔
35,ڈاکٹر ، وکیل یا کالج کے اساتذہ کے لئے ایسے پیشہ_ور ادارے ہیں جو ان کی قابلیت اور معیار طے کرتے ہیں لیکن پریس کے لئے ایسا کوئی پیمانہ طے نہیں کیا گیا ہے ۔
14,گزشتہ ۵۰ برس کے دوران اخباری میڈیم کی رفتار ضرور تیز ہوئی ہے ۔
40,ٹائپرائٹر کے کی_بورڈ سے انٹرنیٹ یا ٹیلیکس کے بعد سیٹیلائٹ فون اور لیپٹاپ کا زمانہ آ گیا لیکن تجربہ یہی بتاتا ہے کہ عالم_کاری کے اس دور میں دنیا کے لوگ ایک دوسرے سے دور ہوتے جا رہے ہیں ۔
26,اسی طرح مغربی ٹیلی_ویژن چینلوں میں جرائم خبروں کو زیادہ اولیت ملتی ہے اور بین_الاقوامی خبریں دُم - چھلے کی طرح پیش کی جاتی ہیں ۔
17,سماجی اور معاشی معاملات کے مقابلے سیکس سانحہ کی گونج خبروں میں زیادہ سنائی دیتی ہے ۔
26,مغربی ممالک کی طرح ہندوستان میں بھی آدھی گپ اور آدھی افواہ پر چکنی _ چپڑی زبان کا استعمال کر تبصرہ کر دیا جاتا ہے ۔
8,تعصب والی رپورٹنگ دیکھنے کو ملتی ہے ۔
18,معصوم لوگ کٹہرے میں کھڑے ہوتے ہیں اور کئی بار مجرم کی واہ - واہی ہوتی ہے ۔
17,خبری ذرائع میں نظریے کی اہمیت دن _ بہ _ دن گھٹتی دکھائی دے رہی ہے ۔
8,شخصیتوں کا اثر زیادہ دکھائی دیتا ہے ۔
14,سنسنی_خیز کہانی دے سکنے والے لوگوں کے اردگرد صحافی زیادہ یکجا رہتے ہیں ۔
13,اصولوں ، آدرشوں اور اقدار کا ذکر کرنا بےمعنی سا لگتا ہے ۔
14,ٹیلی_ویژن اور کمپیوٹر انقلاب نے نئی نسل کو تفکرات سے دور کیا ہے ۔
17,اخباری ذرائع میں آئی تنزلی نے دنیا کے مختلف ممالک میں مسائل کو بڑھایا بھی ہے ۔
13,سیاستدانوں میں سچائی کا سامنا کرنے کی ہمت نہیں رہ گئی ہے ۔
19,جمہوری ڈھنگ سے نااتّفاقی اور تنقید کو سننے اور سہنے والے سیاستداں کی کمی ہوتی جا رہی ہے ۔
27,بدعنوانی فقط انتظامیہ اور سیاست میں ہی نہیں ہے ، بلکہ سیاستدانوں اور کارپوریٹ کمپنیوں نے صحافیوں کے ایک طبقے کو اپنے جال میں پھنسایا ہے ۔
21,اخباروں میں ایک سب سے بڑی گڑبڑ یہ ہوئی ہے کہ فوری بحران پر زیادہ دھیان دیا جانے لگا ہے ۔
38,کچھ وقت پہلے جب ہندوستان اور پاکستان کے درمیان جنگ ہونے کے حالات بن گئے تھے اور ایٹمی ہتھیاروں کے استعمال کی بات آئی تو ان ہتھیاروں سے ہونے والی تباہی کا ذکر تفصیل سے چھپنے لگا ۔
15,لیکن جیسے ہی معاملہ نرم پڑا ، اس موضوع کا تذکرہ بند ہو گیا ۔
23,دہشتگرد تنظیموں کو دنیا میں جہاں کہیں بھی حمایت دی گئی اس کے نتائج دینے والے کے لئے بھی مہلک ثابت ہوئے ۔
23,خبروں کے وسیلوں کی ذمہ_داری یہ ہے کہ وہ دوررس مفاد کو دھیان میں رکھ کر مسلسل خبریں اور مضامین دیتے رہیں ۔
19,حال ہی کے برسوں میں صحافت کے لئے ایک بڑا خطرہ تجارتی مفاد کے سبب پیدا ہوا ہے ۔
14,ہندوستان کے اخباروں سے پہلے امریکی اخباروں میں یہ رویہ دیکھنے کو ملا ۔
15,امریکی اخباروں میں اخبار کے لئے مدیر کے بجائے اعلیٰ منتظم رکھے جانے لگے ۔
15,مینجمنٹ اور ادارتی محکمہ کے درمیان رہنے والی خط فاصل عبور کی جانے لگیں ۔
11,اخبار کو تاریخ کا خام دستاویز کہا جاتا رہا ہے ۔
12,لیکن تاریخ_نویس کو اس دستاویز میں جان پیدا کرنی ہوتی ہے ۔
18,اس کا تجربہ کرنا ہوتا ہے اور حادثات کو تاریخ کے روپ میں پیش کرنا ہوتا ہے ۔
18,پھر بھی صحافی ہونے کے باعث اس دستاویز کو تیار کرنا تاریخ_نویس سے کم اہم نہیں ہے ۔
19,مجرمانہ واقعات پر عدالتی سماعت کے وقت یا اس سے پہلے ہی صحافی اپنے نتائج سنانے لگتے ہیں ۔
23,قتل کے جرم پر ہو رہی سماعت میں روزانہ نہ تو کوئی جیت سکتا ہے اور نہ ہی کوئی ہار سکتا ہے ۔
12,بہیمانہ قتل کے معاملے تفریح کی شکل نہیں لے سکتے ہیں ۔
18,شہزادی ڈائنا کی موت کو بھی مغربی میڈیا نے ایک تفریحی بکاو حادثہ کی طرح استعمال کیا ۔
34,ہندوستان میں گزشتہ دنوں شیوانی بھٹناگر قتل معاملے سے متعلق ہر دن پولس افسر روی کانت شرما کی اہلیہ سدھا شرما کے بیانوں کو ٹیلی_ویژن پر سنسی_خیز طریقے سے پیش کیا جاتا رہا ۔
30,سابق صدرجمہوریہ کرشن کانت کی آخری رسومات کے فوراً بعد نگم بودھ گھاٹ سے نکلنے پر سابق وزیراعظم چندرشیکھر سے اسی طرح کے سوال ٹیلی_ویژن نامہ_نگار پوچھتے دکھائی دئے ۔
22,آنجہانی کرشن کانت کے گہرے دوست سے اس طرح کا سوال انھیں مغموم کرنے کے ساتھ بےعزت کرنے جیسا ہی تھا ۔
26,میڈیا کی ایک بڑی دقت یہ ہوئی ہے کہ امریکہ کی ہی طرح ہندوستان میں بھی اعلیٰ طبقہ کے نوجوان اخباری وسایءل سے جڑے ہیں ۔
12,انھیں عمومی زندگی اور شائستگی سے کوئی واسطہ ہی نہیں پڑا ۔
27,واشنگٹن ٹائمز کے مدیر اعلیٰ ویسلے پروڈین یا ٹائمز آف انڈیا کے سابق مدیر گری لال جین عام خاندان سے نکل کر صحافت میں پہنچے تھے ۔
26,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
29,ہندی کے عظیم مصنف اور صحافی بابو ہریش چندر بھارتیندو اور ان کے ساتھیوں کی کوششوں کے نتیجے میں ہندی صحافت کے لئے ایک زرخیز زمین تیار ہوئی ۔
32,ان کی انتھک کوششوں سے ترغیب لے کر ہندی کی دیگر صلاحیتیں بھی اس میدان میں کود پڑیں اور حکومت و اس کی پالیسیوں کا بھنڈا پھوڑ ہونا شروع ہو گیا ۔
10,بھارت میں دربار لگانے کی روایت بہت قدیم ہے ۔
18,انگریزی حکومت نے بھی اس روایت کو اپنایا اور اس پر کثیر رقم پانی کی طرح بہایا ۔
26,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
18,ان دنوں ہندستان میں قحط پڑ رہا تھا اور معاشی بحران کے کالے بادل منڈلا رہے تھے ۔
14,اس دربار پر ہونے والے خرچ کو ہندستانی بادشاہوں سے یکجا کیا گیا ۔
17,ان میں کچھ تو اتنے قرضدار ہو گئے کہ وہ کبھی بحال ہو ہی نہیں سکے ۔
8,تحفتاً ان کو کچھ بھی نہیں ملا ۔
28,لہٰذا ہندی اخبارات نے اس کی مخالفت میں زبردست مہم چلائی تھی اور کہا کہ اس دربار کے تناظر میں فقط سامراجیت کو دکھانے کی منشا تھی ۔
21,لارڈ ریپن جن کو اعتدال _ پسند مانا جاتا ہے ، نے بھی ۱۸۸۰ میں لاہور میں ایک دربار کیا ۔
12,اس دربار کے سبب اس نے ہندوستانیوں کی ہمدردی کھو دی ۔
10,اسی طرح کا دربار لارڈ کرزن نے بھی کیا ۔
12,ان دنوں بھی ہندستانی سماج کی معاشی حالت نہایت تشویشناک تھی ۔
10,لیکن کرزن اپنے بداعمالیوں سے چوکنے والا نہیں تھا ۔
14,سرکاری خدمات میں ذات و نسل کی پالیسی کا بول _ بالا تھا ۔
19,کارنوالس سب سے پہلا انگریز تھا جس نے مکمل سرکاری اعلیٰ عہدوں کو گوروں کے لئے محفوظ کیا ۔
11,اس نے ہندستانیوں کو عمداً سرکاری خدمات سے محروم کیا ۔
19,اس غیرمنصفانہ سرکاری پالیسی کے خلاف ہندی اخبارات نے ڈٹ کر تبلیغ کیا اور ہندستانی عوام کو جگایا ۔
25,کاشی راسلے نے کچھ سوال و جواب کئے ; کیا سول سروس کے لئے امتحان پاس کرنے کے علاوہ کوئی اور بھی خوبی ہے ؟
36,کیا ہزاروں ہندوستانی جو ذہن ، انصاف ، حوصلے اور کردار وغیرہ جیسی صفات سے آراستہ ہونے پر بھی اس کے لیے مایوس ہو گئے ہیں جیسے سورج کے سامنے شمع دھندلی پڑ جاتی ہے ۔
22,جب اخبارات نے مذکورہ ڈھنگ سے بیان کیا تو سرکاری خدمات کے متعلق جگہ - جگہ پر جلسے منعقد کئے گئے ۔
38,اس کے ساتھ ہی ہندی اخبار و رسائل نے اترپردیش اور پنجاب میں صوبائی لیجسلیٹو کونسل کے قیام کے لئے مانگ کرنی شروع کر دی تاکہ ان صوبوں کے مسائل کو سرکار کے کانوں میں ڈالا جائے ۔
36,` آریہ متر ` نے کہا کہ اگر بمبئی ، کلکتہ اور مدراس جیسی لیجسلِٹیو کونسل ان صوبوں میں قائم کی جائیں تو لفٹیننٹ گورنر کو حکومت ، مہارت کے ساتھ چلانے میں تعاون ملیگا ۔
21,عسکریت_پسند اخبارات و رسائل کے مدیروں کے مضامین نے برطانوی حکومت کے خلاف آگ کے شعلے اگلنے شروع کر دیئے ۔
18,` ہندی پردیپ ` رسالے نے ان شعلہ_زدہ الفاظ سے ہندوستانی عوام کو ترغیب دی اور بیدار کیا
17,` او آزادی ، تم ہندستان کو چھوڑ کر کیوں بھاگ آئی اور اکیلا چھوڑ دیا ؟
16,خدا کی بیٹی دنیا کی معشوقہ اور صفات کا مجموعہ ، تم کہاں چلی گئی ؟
28,ہندوستانی اس نقصان پر بری طرح سبک رہے ہیں ، یہاں تک کہ سفر میں ہندی رسائل اور ان کے مدیروں کو بڑی بڑی تکالیف جھیلنی پڑی ۔
21,لارڈ بینٹک اور لارڈ میٹکاف نے جو آزادی ہندوستانی صحافت کو دی تھی وہ ۱۸۵۷ کے بعد چھین لی گئی ۔
15,پہلی جنگ آزادی میں یہاں کے اردو اخبارات نے بھی اہم رول نبھایا تھا ۔
22,لہٰذا برطانوی حکومت و اس کے انتظامیہ افسران اور اینگلو _ انڈِینز نے ہندوستانی پریس کو اپنا سخت دشمن مان لیا ۔
25,اینگلو انڈین پریس نے خصوصاً دیسی صحافت کے راستے میں ہر ممکنہ رکاوٹ کھڑی کر کے اس کی ترقی کو روکنے کی کوشش کی ۔
17,اس وقت کی ہندی صحافت کا فروغ متعدد معاشی وجوہات سے نہیں ہو پا رہا تھا ۔
17,سرکار انھیں اخبار و رسائل کو معاشی مدد دیتی تھی جو اس کی حمایت کرتے تھے ۔
23,پولس اور جج بھی اپنے گندے اور پہلے سے طےشدہ طریقوں کو مدیروں کے خلاف استعمال کرنے سے کبھی ہچکتے نہیں تھے ۔
25,ان کے ذریعہ مدیر ہمیشہ شک سے دیکھے جاتے تھے اور ان پر الزام لگایا جاتا تھا کہ وہ حکومت مخالف مضمون لکھتے ہیں ۔
15,حقیقت میں یہ ہندوستانی عوام کی تکلیفوں کو اپنے مضامین میں دکھا رہے تھے ۔
21,مثال کے لئے میرٹھ کے کلیکٹر نے ` میرٹھ گزٹ ` کو مذکورہ اسباب سے ہی بند کر دیا تھا ۔
20,جب کبھی کوئی اخبار تلخیوں کے متعلق لکھتا تو اس کے مدیر کو جرمانہ اور سزا دونوں بھگتنا پڑتا ۔
47,بھارتیندو ہریش چند نے جہاں اپنی زندگی میں ۱۷ ڈرامہ ، ۳ ناول ، ایک مضمون اور متعدد شعری مجموعے لکھے ، وہیں انھوں نے ` ہریشچنسدریکا ، ` کوی _ وچن سدُدھا ` اور ` بالا بودھنی ` نامی تین اخبارات کی ادارت بھی کی ۔
34,جناب بالمکند گپت نے لکھا ہے کہ ` کوی _ وچن سُدھا ` جب پندرہ_روزہ ہوکر سیاست سے متعلق اور دیگر مضامین آزادی کے جذبے سے شائع کرنے لگی تو بڑی تحریک چلی ۔
15,بھارتیندو جی آنرری مجسٹریٹ مقرر کئے گئے تب بھی وہ نڈر ہوکر لکھتے رہے ۔
10,عوام میں ان کے اخبارات کی عزت ہونے لگی ۔
19,اسی طرح آچاریہ مہاویرپرساد دیویدی کے ناقابل _ فراموش تعاون کو بھی ہندی اخبارات کبھی نہیں بھلا سکتی ۔
59,آچاریہ دیویدی جی نے ` سرسوتی ` کے جنوری ۱۹۰۴ کے شمارے میں ` مدیروں کے لئے اسکول ` جون ۱۹۰۷ میں ` مدیرانہ لیاقت ` اور فروی ۱۹۰۹ میں ` امریکہ میں عمدہ _ ترین مدیر ` عناوین پر جو تبصرے لکھے ہیں ان میں کامیاب مدیر بننے کے لئے لازمی لیاقت اور تعلیم کا ذکر ہے ۔
25,آچاریہ مہاویرپرساد دیویدی ایک نڈر مدیر ، انصاف _ پسند تنقید _ نگار ، ذمہ _ دار مصلح اور محنتی مضمون _ نگار تھے ۔
12,ان کا مدبرانہ مدیر ان کے جذباتی ادیب پر حاوی رہا ۔
28,انومودن کا انت ، سمپادک کی ودائی ، ماگھ کا پربھات ورڑن ، دمینتی کا چندرپالمبھ وغیرہ مضامین میں ان کے جذباتی اسلوب کا مظاہرہ ہوتا ہے ۔
25,صحافی کی اپنی عزت ضرور ہوتی ہے لیکن وہ سماج کے دیگر لوگوں کے مقابلے چوٹی پر بیٹھا ہوا دانشور نہیں کہا جا سکتا ۔
32,امریکہ کے اخباری وسائل میں ، چاہے وہ نیویارک ٹائمز یا واشنگٹن پوسٹ جیسے اخبار ہوں یا ٹیلی_ویژن نیٹ_ورک ، اس میں متمول طبقہ کے نوجوانوں کی بھرمار ہو گئی ہے ۔
14,وہ کسی نامی یونیورسٹی سے صحافت کی ڈگری لے کر باہر آتے ہیں ۔
31,اس طرح کی ڈگری لینا غلط نہیں کہا جا سکتا ، لیکن زمین سے کٹے ہونے کے سبب یہ تعلیم و تعلم اخباری ذرائع میں مصنوعییت ہی زیادہ لاتی ہے ۔
36,اسی طرح کسی خاص سیاسی نظریے میں اعتماد کرنے کا مطلب یہ مان لینا بھی غلط ہے کہ خبر کو اسی نظریاتی سطح پر توڑ مروڑ کر پیش کرنا ہی صحافی کا پیدائشی حق ہے ۔
19,ادارتی صفحہ سے ہٹ کر خبر صفحات پر لکھتے وقت صحافی کو جج کی طرح غیرجانبدار رہنا ہوگا ۔
11,آزاد سماج میں اخباروں اور صحافیوں کا رول یہی ہے ۔
18,وہ کڑوے سچ کو اس طرح پیش کریں کہ گڑبڑ کرنے والوں کا جینا حرام ہو جائے ۔
19,امریکہ کے مقبول صحافی ولیم رینڈولف کا ماننا تھا کہ اخبار کے مدیر کا کوئی دوست نہیں ہوتا ۔
26,وہ دوستانہ سلوک بھلے ہی کر سکتا ہے ، لیکن سچ کے اظہار کے بعد ممکن ہے کہ لوگ اسے دوست کے بجائے دشمن مانیں ۔
35,کوئی ایماندار اخبار اور اس کا مدیر کسی دوست یا پارٹی یا کمپنی کی حمایت میں متعصب ہو کر اخبارات کو پروسے گا تو اس کی عزت بہت جلد ہی مٹی میں مل جائے_گی ۔
10,حال کے برسوں میں ادھکچری صحافت دکھنے لگی ہے ۔
25,سیاسی حادثات کی بات دور رہی ، سفارتی نوعیت کے معاملات میں بھی آدھی - ادھوری اطلاعات اخباری صفحات پر اُنڈیل دی جاتی ہیں ۔
26,ممکن ہے کہ کچھ صحافی زیادہ تعلیم حاصل کر گئے ہوں لیکن وہ نیم تعلیم_یافتہ صحافیوں سے بھی بدتر خبریں اور خیالات پیش کرتے ہیں ۔
27,دوسری جانب صحافی اگر اپنے موضوع پر اچھی محنت کرے تو اس کے پاس بڑے سے بڑے افسر یا لیڈر سے زیادہ صحیح جانکاری دستیاب ہوگی ۔
27,امریکہ ، برطانیہ اور ہندوستان میں ایسے صحافی ہیں جن کے پاس سلامتی خفیہ ایجنسیوں کے ڈائریکٹروں سے بھی زیادہ صحیح اور مصدقہ جانکاریاں رہتی ہیں ۔
21,صحافت کی دو سب سے بڑی شرائط ہیں اپنے قارئین کو پہچاننا اور اخباروں کو سب سے زیادہ پراعتماد بنانا ۔
31,قاری کیا پڑھنا چاہتے ہیں اور کس موضوع پر بحث کر سکتے ہیں اس بات کی دوراندیشی ہونے پر ہی کوئی صحافی یا اس کا اخبار کامیاب ہو سکتا ہے ۔
18,ہمارے اخبار کی سب سے بڑی ضرورت اس کے اعتماد کو عمدہ_ترین سطح پر لے جانا ہے ۔
16,خبروں کو کھوجنا ٹھیک ہے لیکن خبروں کے لئے الفاظ سے کھیلنا یقیناً غلط ہے ۔
14,مصنف تو الفاظ سے کھیلتے ہیں ، صحافیوں کو کنٹرول رکھنا ہوتا ہے ۔
30,اچھی یا متحقق رپورٹ تیار کرنے والے کئی نامہ_نگار کی دلیل ہوتی ہے کہ ان کے پاس کاغذات ہیں اسلئے متعلقہ شخص کا پہلو جاننے کی ضرورت کیا ہے ۔
22,نامہ_نگاروں کو یہ بتایا جانا چاہیئے کہ کاغذات ہونے کا مطلب یہ نہیں ہے کہ ہمیں فیصلے کی چھوٹ مل گئی ۔
31,کئی مرتبہ خبروں میں یہ ذکر ملتا ہے کہ نامہ_نگار نے ملزم شخص یا متعلقہ جوابدہ افسر سے فون پر بات کرنے کی کوشش کی لیکن رابطہ نہ ہو سکا ۔
7,یہ بچاو کا پھوہڑ طریقہ ہے ۔
14,اس سے نامہ_نگار کو یا اخبار کو جوابدہی سے آزادی مل جاتی ہے ۔
28,عدالت کے منصف کے سامنے بھی کاغذات اور ثبوت ہوتے ہیں لیکن انھیں اس پر کوئی فیصلہ کرنے سے پہلے سبھی پہلووں کی دلیل سننی پڑتی ہے ۔
18,نام_نہاد قاتل تک سے پوچھنا پڑتا ہے کہ اسے اپنی صفائی میں کچھ کہنا تو نہیں ہے ۔
33,تصدیق اسلئے بھی لازمی ہے کہ ایک پہلو رکھنے کے بعد دوسرا فریق یہ مان کر چلتا ہے کہ خبر اس کے سیاسی دشمنوں نے چھپوائی یا اخبار کے انتظامیہ نے لکھوائی ۔
16,اصلیت یہ ہے کہ کوئی بھی سمجھدار صحافی اس قسم کی اسپانسرڈ خبر نہیں لکھتا ۔
18,لیکن جب وضاحت چھاپنے کی بات آتی ہے تو ہمارے کئی معاون صحافی دقت محسوس کرتے ہیں ۔
27,مغربی جرمنی میں تو قانون ہے کہ اگر آپ نے کوئی خبر غلط چھاپی ہے تو آپ کو جوابدہی کا حق متعلقہ فریق کو دینا پڑے_گا ۔
19,وہ جوابدہی بھی اتنی ہی اہمیت سے چھاپنی پڑے_گی جتنی اہمیت سے آپ نے خبر کو چھاپا تھا ۔
13,جرائم کی خبر کا انتخاب بہت ہی احتیاط کے ساتھ ہونا چاہیئے ۔
18,جرائم خبر کو لکھنے والے اور ادارت کرنے والے کو عام قانونی عمل کا علم ہونا چاہیئے ۔
21,جرائم کی خبریں سب سے زیادہ پڑھی جاتی ہیں اور اسلئے ان خبروں میں کساوٹ اور اعتمادیت مزید ضروری ہے ۔
24,کئی مرتبہ تبصروں میں بھی بہت عام ڈھنگ سے ` نامرد ` لکھے جانے سے اخبار کی ساکھ کو بھی دھچکا لگتا ہے ۔
18,عدالت یا منصف کو ہتک_عزت باتیں موجودہ قوانین کو دھیان میں رکھ کر لکھنی یا چھاپنی چاہیئے ۔
23,بہتر زبان کا مطلب یہ قطعی نہیں ہے کہ نامہ_نگار یا ڈیسک پر بیٹھا اہم نائب مدیر ہندی کا عالم ہونا چاہیئے ۔
8,اسے آسان زبان کا استعمال آنا چاہیئے ۔
30,اس کے الفاظ کا ذخیرہ فقط ذرائع - علم ، قابل ذکر ہے ، انھوں نے کہا یا بتایا تک نہیں ہونا چاہیئے نہ ہی اسے سنسکرت_زدہ ہونا چاہیئے ۔
21,ہمارے کچھ نامہ_نگار تو انٹرویو کے بعد شروع ہونے والے دوسرے پیراگراف میں ہی قابل ذکر کا استعمال کرتے ہیں ۔
16,اس سے ایسا لگتا ہے کہ خبر تو پہلے ہی پیراگراف میں ختم ہو گئی ۔
11,زبان کی آسانی فقط لفظوں پر ہی منحصر نہیں ہے ۔
10,جملوں کی تخلیق کا دھیان رکھا جانا لازمی ہے ۔
19,انگریزی زبان کی نحوی ترکیب کی ساخت ہندی یا دیگر ہندوستانی زبانوں کی فطرت کے مطابق نہیں ہے ۔
13,ترجمہ کے وقت نحوی ترکیب کی جانب دھیان دیا جانا ضروری ہے ۔
44,اکثر ایسی خبریں بھی دیکھی جاتی ہیں جن میں لکھا ہوتا ہے - ` ایک جانب وزیراعلیٰ خوف سے پاک سماج کا دعویٰ کرتے ہیں وہیں دوسری جانب چوروں نے فلاں گاوں میں ایک دکان کا تالا توڑ کر سامان نکال لیا ` ۔
12,یہ کسی لیڈر کا بیان ہو سکتا ہے ، خبر نہیں ۔
11,خبر فقط اتنی ہے کہ دکان میں چوری ہو گئی ۔
11,شروع شروع میں ریڈیو پروگرام ریڈیوں سیٹوں تک محدود تھے ۔
12,اب موبائل فون کے ذریعے ایف_ایم ریڈیو سنا جانے لگا ہے ۔
19,حال ہی میں مرکزی کابینہ میں ایف_ایم ریڈیو کے تیسرے مرحلے کی توسیع کو منظوری دے دی ہے ۔
17,ریڈیو صنعت کے لیے ایک اہم چیلنج ہے اس کے سامعین کی تعداد کا پتہ لگانا ۔
27,میڈیا اور تفریحی صنعت کے دیگر حصوں میں موسیقی ، گھر کے باہر تشہیر ، انٹرنیٹ اشتہار ، انیمیشن ، گیمنگ اور منظری اثر شامل ہیں ۔
17,ہندوستان میں موسیقی سے ملنے والی آمدنی کا ایک بڑا حصہ فلمی موسیقی سے آتا ہے ۔
9,آزاد موسیقی البموں کی فروخت کافی کم ہے ۔
12,ہندوستان میں اینیمیشن اور گیمنگ صنعت ۲۰۰۴ ۔ ۰۵ میں بڑھا ۔
