dropped,sentences
تھی,ہزاری_پرساد دیویدی کی ادارت میں شانتی نکیتن سے ۱۹۴۲ میں سہہ_ماہی ` وشوبھارتی ` کی اشاعت بھی ہندی ہفتہ_وار کی اشاعت میں میل کا پتھر تھی ۔
ہوئے,` وشوبھارتی ` میں متعدد دانشوروں کے تحقیقی اور مفکرانہ مضامین شائع ہوئے ۔
کہا تھا,مہاتماگاندھی نے ` وشوبھارت ` کی اشاعت کو حوصلہ_مند کوشش کہا تھا ۔
کیا تھا,ہفتہ_وار `` دھرم یُگ `` اور `` ہندستان `` کی اشاعت نے ہندی صحافت کی بڑی کمی کو پورا کیا تھا ۔
تھے,` دھرم یگ ` کے پہلے مدیر جوشی برادران ڈاکٹر ہیمچند جوشی اور الاچند جوشی تھے ۔
کی,انھوں نے بڑی مہارت سے اس کی شروعات کی ۔
لگائے,بعد میں دھرم ویر بھارتی نے اپنی ادارت سے اس میں چار چاند لگائے ۔
کرنے دیا,` دھرم یگ ` ، ` ساگریکا ` ، ` پراگ ` اور پھر `` سنڈے میل `` میں کنھیّا لال نندن جیسے ادیب اور مدیر نے سماجی ، ثقافتی سروکاروں کا تحفظ کرنے میں اہم تعاون دیا ۔
بنایا,منوہرشیام جوشی کی ادارت میں ` ساپتاہک ہندوستان ` نے بڑا ریکارڈ بنایا ۔
دی گئیں تھی,جنگ عظیم کے بعد ملک میں صنعتوں کے قیام کے لئے کارپوریشن میں کچھ کمپنیاں تشکیل دی گئیں لیکن ان کے حصص_کنندگان کی تعداد ہزاروں میں تھی ۔
پا سکتی ہے لگا ہو دیں بڑھے,معاشی صحافت تبھی فروغ پا سکتی ہے جب معاشی شعبے میں تیزی سے سرمایہ لگا ہو ، کمپنیاں اچھا فائدہ دیں اور ان کے حصص کی قدر تیزی سے بڑھے ۔
کیا,متعدد نئی کمپنیوں نے کام شروع کیا ۔
کرنے لگے,لوگ ایک معاشی رسالہ کی ضرورت محسوس کرنے لگے ۔
کرنے ہوئی,اس مانگ کو پورا کرنے کے لیے معاشی رسالوں ، `` اکنامِک ٹائمز `` اور `` فائننشیئل ایکسپریس `` کی اشاعت شروع ہوئی ۔
تھا,ان کی اشاعت کے بیچ فقط دو ہفتہ کا فرق تھا ۔
ہوئے کہا جاتا تھا,یہ دونوں اخبارات ممبئی سے شائع ہوئے جسے ملک کی معاشی راجدھانی کہا جاتا تھا ۔
کیا,عوام نے ان دونوں رسالوں کا استقبال کیا ۔
نکالنے کئے,کچھ برس بعد دونوں رسالوں نے دلی سے بھی اپنے شمارے نکالنے شروع کئے ۔
کیا,۱۹۷۵ میں ` بزنس اسٹینڈرڈ ` نے کلکتہ سے اشاعت شروع کیا ۔
کیا,اسی وقت ` اکنامک ٹائمز ` نے کلکتہ شمارہ شروع کیا ۔
دیکھا دیکھی NULL نکالے,اس کی دیکھا دیکھی ` فائننشیل ایکسپریس ` نے پہلے چِنّئی اور پھر کلکتہ سے اور ` اکنامک ٹائمز ` نے احمدآباد سے اپنے شمارے نکالے ۔
ہونے تھی,ہندستان میں شائع ہونے والی پہلی سائنسی میگزین ` ایشیاٹک ریسرچ ` تھی ۔
کیا تھا,اس کی اشاعت ۱۷۸۸ میں رائل ایشیاٹک سوسائٹی نے کیا تھا ۔
تھی,ہندوستانی زبانوں میں شائع پہلی سائنسی میگزین ` بنگلہ ` میں ۱۸۲۱ میں شائع ` پرشناولی ` تھی ۔
کرنے ہے,ہندی میں سائنسی رسالے کا آغاز کرنے کا سہرا ` آیوروید مہاسمّیلن پتریکا ` کو ہے ۔
ہوئی,اس کی اشاعت ۱۹۱۳ میں شروع ہوئی ۔
ہو رہا ہے,یہ رسالہ اب بھی شائع ہو رہا ہے ۔
ہوتے تھے,اس رسالہ میں آیوروید سے متعلق مضامین شائع ہوتے تھے ۔
کی,` آیوروید مہاسمّیلن پتریکا ` کی اشاعت کے دو برس بعد ۱۹۱۵ میں الہ_آباد کی سائنس کونسل نے ` سائنس پتریکا ` کی اشاعت شروع کی ۔
دیتے رہے ہیں,اس پرچہ کی اشاعت میں شروع سے اب تک الہ_آباد یونیورسٹی کے سائنس شعبہ کے ممبر اور چوٹی کے سائنسداں تعاون دیتے رہے ہیں ۔
لکھے ہو سکتے ہیں,عوام کے لئے آسان اور صریحی زبان و اسلوب میں لکھے رسائل ہی مفید ہو سکتے ہیں ۔
نکلتے ہیں,ہندی میں اس قسم کے متعدد ہفتہ_وار ، پندرہ_روزہ اور ماہانہ رسائل نکلتے ہیں ۔
دیا جاتا ہے ہو,ادب کا نوبل انعام کسی خاص زبان کے خصوصی قلمکار کو اس کے مجموعی تخلیقی تعاون کے لئے دیا جاتا ہے توصیفی سند میں بھلے ہی اس کی کچھ خاص تخلیقات کا ذکر ہو ۔
دئے گئے دی گئی ہے ہیں,سویڈن اکیڈمی نوبل کمیٹی کے ذریعہ رویندر ناتھ ٹیگور پر دئے گئے بیان میں بلاشبہہ ` گیتانجلی ` کو مرکزی اہمیت دی گئی ہے لیکن ` دی گارڈنر ` لرکس آف لو اینڈ لائف ` گلمپز آف بنگال لائف ` ، ` دی کرسنٹ موون ` اور سادھنا ` دی ریلائزیشن آف لائف ` کے ذکر بھی ہیں ۔
تھا ہوں,پچھلے برس سے ہی میں ۱۹۱۳ کے اس انعام کے کچھ حقائق کی تلاش میں تھا اور ایستونیا کی راجدھانی تالن میں واقع قومی لائبریری میں جس کا کچھ برسوں سے میں خوش_قسمت قاری ممبر ہوں -
ملے کئے جاتے ہیں,مجھے سویڈی اکادمی کے وہ نایاب سالانہ ` بروشیئر ` ملے جن میں انعام کمیٹی کے ممبران ، ان کے فیصلے ، فاتحین کی سوانح اور تقاریر شائع کئے جاتے ہیں ۔
ہیں,پچھلے ۱۱۲ برسوں کی یہ اصل یادگاری کتابیں ہندوستان میں شاید کہیں دستیاب نہیں ہیں ۔
دیے گئے ہیں چھاپا جاتا ہے,ان میں متعلقہ برس کے انعامات کسے کیوں دیے گئے ہیں اس کا ایک سطری اور کبھی اس سے بھی کم ، خلاصہ بھی چھاپا جاتا ہے ۔
کہا گیا ہے کروا سکی,ٹیگور کے متعلق اصل فرانسیسی کے اس کچے ہندی ترجمے میں کہا گیا ہے ، اس گہری اور بلیغ تاثر ، اس جمالیات اور نئےپن کے لئے ، جس کا تعارف ان کی صلاحیت ، انگریزی رنگ و روپ میں مغربی ادب سے کروا سکی ۔
ہے کہہ رہی ہے کروایا,غورطلب ہے کہ سویڈی اکادمی کہہ رہی ہے کہ ٹیگور نے انگریزی ` فارم ` میں ترجمہ میں نہیں ، مغرب کو اپنی صلاحیت سے متعارف کروایا ۔
دیا گیا مانتے دکھائی دیتے تھے,ٹیگور بھی اپنی اس ` گیتانجلی ` کو جس کی شہرت اور مقبولیت کی بنیاد پر انھیں نوبل دیا گیا اپنی اصل انگریزی تخلیق ہی مانتے دکھائی دیتے تھے ۔
ہے,اس ` گیتانجلی ` اور مبینہ اصل بنگلہ ` گیتانجلیہڑ ` میں بہت اور اہم فرق ہے ۔
ہوتے رہے ہیں,شاعر کی زندگی میں ہی شاید دونوں میں ترمیم بھی ہوتے رہے ہیں ۔
ہے لینے گئے,ایک عجیب سچ ہے کہ ٹیگور خود انعام لینے سویڈن نہیں گئے ۔
کرنی ہوتی ہے بھیجا پڑھ کر سنایا,انعام عشائیے پر جو بہت چھوٹی تقریر کرنی ہوتی ہے اس کی جگہ انھوں نے اکادمی کو یک_سطری تار انگریزی میں بھیجا ، جسے سویڈن میں برطانوی سفارت_خانے کے موجودہ کارگزار سفیر کلائیو نے موجود مہمانوں کو پڑھ کر سنایا ۔
کیا,کلائیو نے ہی ٹیگور کی غیرموجودگی میں ان کا انعام بھی حاصل کیا ۔
ہے بھیجی پڑھ سکے,اس سے بھی عجیب واقعہ یہ ہے کہ ٹیگور نے اپنی کوئی نوبل_انعام کی حصول تقریر بھی نہیں بھیجی کہ اکادمی کا کوئی جیوری یا افسر اس تاریخی موقع پر پڑھ سکے ۔
رہنے بولنے ہے کر کے بھجوایا تھا دکھایا سنایا گیا,حال کے برسوں میں ہماری متعارف آسٹریائی ناول_نگار ، شاعرہ و ڈرامہ_نگار ایلفریڈے یلینیک جنھیں بھیڑ کے درمیان رہنے اور اس کے سامنے بولنے سے وحشت ہے ، اپنی نوبل تقریر ویڈیو کر کے بھجوایا تھا اور وہی دکھایا ، سنایا گیا ۔
ہے بتاتا جینے کرنے پہنچے,کمال یہ ہے کہ سویڈی اکادمی کا یہ اشتہار کہیں کوئی سرکاری وجہ نہیں بتاتا کہ ٹیگور ایسے امر لمحے کو جینے اپنی ایک غیرمعمولی تقریر کرنے اسٹاک_ہوم کیوں نہیں پہنچے ۔
کی,اس کے عوض میں سویڈی اکادمی نوبل کمیٹی کے صدر ، ایمریٹس پروفیسر ڈاکٹر ہارالڈ ہیئر نے ٹیگور پر اپنی ایک نسبتاً لمبی تقریر کی ۔
ہے دیکھی ہے کرتے,بہت افسوس ہے کہ ایڈورڈ_سعید نے یہ تقریر نہیں دیکھی ورنہ اپنی ` اورئینٹلزم ` میں جو یوں تو کوئی بہت قابل_اطمینان کتاب نہیں ہے کم سے کم اس کا ذکر شاید وہ کرتے ۔
ہے لکھی جا سکتی ہے,یہ صدارتی تقریر اتنی نیم کچرےپن ، شبہات اور جذبہء_ہمدردی سے پُر ہے کہ خود اس پر کتاب لکھی جا سکتی ہے ۔
NULL ہے NULL رہا لایا جانا چاہیئے,پتہ نہیں اس کا ترجمہ بنگلہ ادب میں ہے یا نہیں اور اس پر اپنے شونار قلمکاروں کا کیا ردعمل رہا لیکن اس صدی برس میں ہندی میں تو اسے لایا ہی جانا چاہیئے ۔
کر دیا گیا ہے لیا گیا ہے بنا دیا گیا ہے,اول تو اس میں ٹیگور کو پہلے ہی اینگلو و انڈین پوئیٹ اعلان کر دیا گیا ہے ، گیتانجلی کو بےخوفی سے ` ایک کلیکشن آف ریلیجیس پوئمس ` تو مان ہی لیا گیا ہے اسے انگریزی ادب کی ملکیت بنا دیا گیا ہے ۔
کہا گیا ہے ہیں رہے ہیں,ٹیگور کے متعلق کہا گیا ہے کہ وہ ` اس شعری فن کے نئے اور لائقِ_ستائش ماسٹر ہیں جو ملکہ ایلیزابیتھ کے زمانے سے برطانوی تہذیب کی تشہیر کے معتمد ہمراہی رہے ہیں ۔ ` `
ہے کیا جا سکتا دے دیا گیا ہے,تقریر میں ہندوستان کے نشاۃالثانیہ کا پورا سہرا جس میں جدید ہندی زبانوں کا طلوع اور فروغ بھی شامل ہے عیسائی مشنریوں کو جن کے جزوی تعاون سے انکار تو نہیں کیا جا سکتا ، دے دیا گیا ہے ۔
کہا گیا ہے,بھکتی تحریک کو بھی مغربی مذاہب سے غیرمتاثر نہیں کہا گیا ہے ۔
کیا گیا ہے,اس سے بڑا دعویٰ ` برہمو سماج ` کے لئے کیا گیا ہے ۔
کرنے چھوڑی گئی ہے,ٹیگور کو اس سب سے متاثر بلکہ ان کا ایک ` ` پروڈکٹ ` ` نما صوفی ، فلسفی ، مذہبی انسان تقریباً ایک پیغمبر جیسا پیش کرنے کی کوئی کسر نہیں چھوڑی گئی ہے ۔
کرنا ہے تھا تھا,یہ معلوم کرنا مشکل ہے کہ ٹیگور کو اس سے ماقبل تحریر بیان کا علم تھا یا نہیں یا یہ ان کی غیرموجودگی سے متاثر تھا ۔
تھا چلتا,بعد میں ان کا اس پر کیا ردعمل تھا اس کا بھی کچھ پتہ نہیں چلتا ۔
ہو گئے ابل پڑے,بعد میں یہ ییٹس بھی ٹیگور کے مخالف ہو گئے اور ۱۹۳۵ میں ایک بار یوں ابل پڑے :
جائیں,` ` بھاڑ میں جائیں ٹیگور ` ` ۔
نکالی سوچا ہونے ہے جاننا بھرا چھپوانا کر دیا کر لیا,ہم ( اسٹرج مور اور میں ) نے ( اس کی ) تین اچھی کتابیں نکالی اور پھر کیونکہ اس نے سوچا کہ عظیم شاعر ہونے سے زیادہ اہم ہے انگریزی جاننا ، تو اس نے جذبات بھرا کوڑا چھپوانا شروع کر دیا اور اپنی شہرت کو برباد کر لیا ۔
جانتا جانتا,ٹیگور انگریزی نہیں جانتا کوئی بھی ہندوستانی انگریزی نہیں جانتا ۔
بگاڑ کر کیا کہا,فلپ لارکن نے تو ۱۹۵۶ میں ٹیگور کے نام کو بگاڑ کر ` روینڈرم ` کیا اور ایک نازیبا لفظ بھی کہا ۔
ہیں,کپل_سبّل اور نریندر مودی کی طرح وہ بھی تو شاعر ہیں ۔
ہو جائے پکڑنے رہ جائیں گے,یوں شروعاتی انتخاب ہو جائے تو اس بار ہندوستانی زبانوں سے چھ ہی تو اور پکڑنے رہ جائیں گے ۔
ہے چھوڑ کر پڑھتا ہے پڑھنا چاہتا ہے,سنجیدہ معاملہ یہ ہے کہ بنگلہ قارئین کو چھوڑ کر ٹیگور کو اب میری ہی طرح تقریباً نہ کوئی پڑھتا ہے نہ پڑھنا چاہتا ہے ۔
ہے NULL,عالمی ادب میں ان کی شہرت تاریخی ہے زندہء_جاوید نہیں ۔
کہہ چکا ہوں ہے دیتے ہیں,میں بےغیرتی ، پشیمانی سے کہہ چکا ہوں کہ میرے لئے آج ہندوستان میں ٹیگور سے کہیں زیادہ موزوں نامدیوڈھسال ہے جس کی شاعری اور مشتبہ سیاسی چال چلن ایک تیکھی بحث جنم تو دیتے ہیں ۔
چھپی ہیں NULL,انگریزی میں اسی صدی موقع کو بھنانے کے لئے ان کی کچھ کتابیں ضرور چھپی ہیں لیکن بہت محدود شماروں میں ۔
سننے آتا ہے کھوج لیا گیا ہے بھول رہے ہیں ہوا ہو,فرانس میں تو کبھی کبھی سننے میں آتا ہے کہ جب سے ہندی سے ایک عوضی کھوج لیا گیا ہے ٹیگور کو لوگ بھول رہے ہیں بھلے ہی مثلاً ٹیٹی_نگر میں بھی اس کا طلوع نہ ہوا ہو ۔
ہے خریدا پڑھا جا رہا ہے لیتا,بہرحال حقیقت یہ ہے کہ ٹیگور کا ہم عصر شاعر خلیل_جبران اب بھی ان سے ہزاروں گنا زیادہ خریدا پڑھا جا رہا ہے جبکہ جبران اور ٹیگور دونوں دنیا کے موافق ، حقیقی ادب کے شعبے میں آج کوئی بہت سنجیدگی سے نہیں لیتا ۔
ہے ہے ہو چکی ہونے کہی جاتی ہے,ایک عجب اتفاق ہے کہ اسی سال جبران کی ۱۳۰ ویں سالگرہ ہے اور بیسیوں تراجم اور کروڑوں کاپیوں میں فروخت ہو چکی ان کی تخلیق ` دی پروفٹ ` کی ۹۰ سالگرہ بھی جو شیکسپئر کے بعد دنیا میں اب بھی سب سے زیادہ فروخت ہونے والی دوسری ادبی کتاب کہی جاتی ہے ۔
ہے پڑھا ہوگا پڑھنا چاہتے ہونگے,مجھے مکمل یقین ہے کہ ان میں سے کئی نے نہ ٹیگور کو پڑھا ہوگا نہ پڑھنا چاہتے ہونگے ۔
ہے ہے مل جائے,یہ بات الگ ہے کہ اگر ہندستان کے دوسرے ادبی نوبل کے لئے ایک عجیب لابینگ کا حصہ ہے تو شاید خود منتظم ، یا کنورنارائن یا سچّدانندن یا کسی خودساختہ دیگر امیدوار کو مل ہی جائے ۔
سوچتا ہوں ملے گا کرتا ہے دیتے ہیں دیتا ہے,حالانکہ ہندی کے کچھ دیگر بیوقوف رجائیت_پسندوں کی طرح میں بھی سوچتا ہوں کہ اگر وہ ملے گا تو منگلیش ڈبرال کو جو اس پر بھی کم و بیش منحصر کرتا ہے کہ اشوک انھیں اپنے عالمی مشاعرے میں کیا رول دیتے ہیں یا شریکانت جی کے لہجے میں دیتا بھی ہے یا نہیں ۔
کرنے پڑھنے گھسنے دیا جائے گا,زمانہ کیا انھیں مہمانوں کا ترجمہ کرنے و پڑھنے یا جذبے میں گھسنے تک نہیں دیا جائے گا ؟
منانے ہے بھرا ہوا ہے,وشنوکھرے کا مضمون ` رویندر نوبل شتی کو یوں منانے کے جوکھم ` ( ۱۶ جون ) غیرمہذب ، غیرمتناسب اور بےصبر تو ہے ہی اوچھے_پن اور محرومی سے بھی بھرا ہوا ہے ۔
لگانا ہے,یوں تو اس محرومی مضمون کا فوری مقصد اشوک واجپیئی کے ذریعہ مجوزہ عالمی مشاعرہ کے انعقاد میں پہلے سے ہی پلیتا لگانا ہے ۔
چکتا کرنا ہے,لیکن لگے ہاتھ کچھ اور لوگوں سے حساب چکتا کرنا بھی اس کا مقصد ہے ۔
NULL,سب سے پہلے نوجوان شاعر ویومیش شکل سے ۔
NULL,پھر سینئر منگلیش ڈبرال سے ۔
لا کر ڈال سکتے,نہیں ، سوتیلی ماں لا کر ہم منّا کو اور دکھ میں نہیں ڈال سکتے ۔
ہوتی ہے ہیں دیکھنے ملیگا,ارے سوتیلی ماں کیا ہمیشہ خراب ہوتی ہے ، اور پھر ہم لوگ جو ہیں منّے کو دیکھنے کے لئے ، اس کو دکھ کیسے ملیگا ۔
دیکھتے ہوئے آ رہا ہے کہئے کہوں,حالات کو دیکھتے ہوئے ایک خیال آ رہا ہے ، کہئے تو کہوں ۔
کر لو ہو جائیگا,بیٹا اومکار ! تم اگر گُنجا سے شادی کر لو تو سارا مسئلہ حل ہو جائیگا ۔
کرنا ہے جانتے ہو ہلا ملا ہے,اس کا بھی تو بیاہ ہمیں کرنا ہی ہے ، اور تم جانتے ہو کہ منّا گُنجا سے ہلا ملا بھی ہے ۔
دیکھا سمجھا ہے جانتے ہو سمجھ پائے گا ہے NULL,گنجا نے یہ گھر دیکھا سمجھا ہے ، تم سب بھی اسے جانتے ہو ، منا کبھی بھی نہیں سمجھ پائے گا کہ گنجا اس کی ماں ہے یا نہیں ۔
کہتے ہو,کاہے چندن ! تم کا کہتے ہو ؟
ہو ہے,جس میں بھیّا کی خوشی ہو کاکا ، ہمیں منظور ہے ۔
سمجھا تھا کر کے آئے ہیں,چاچا ! اس نے تو سمجھا تھا کہ آپ اس کا بیاہ چندن سے طے کر کے آئے ہیں ۔
چاہتی ہے چاہتا ہے,یہ تو چندن کو چاہتی ہے اور چندن بھی اسی کو چاہتا ہے ۔
کرنا چاہتا تھا ہوئی تھا کہا,لیکن چندن اگر گنجا سے بیاہ کرنا چاہتا تھا تو جس دن یہ بات طے ہوئی ، اس دن وہ بھی وہاں تھا ، اس نے کچھ کیوں نہیں کہا ؟
سنو رہ لینا,بس ایک بار ہماری بات سنو گنجا ، پھر چاہے زندگی بھر ہم سے ناراض رہ لینا ۔
رہنے ہے,تم سے ناراض رہنے کا اب کا حق ہے ہمارا ؟
سمجھ لیا تھا چھین لیا,تھوڑا بہت حق جو ہم نے اپنا سمجھ لیا تھا ، وہ تو تم نے چھین ہی لیا نا ۔
آتی لیا,بس ایک بات نہیں سمجھ آتی کہ تم نے کس بات کا بدلہ لیا ہم سے ؟
تھا,تمھارا بڑا بھروسہ تھا چندن !
سمجھتے تھے ہوگی پا لینگے,ہم سمجھتے تھے اگر ہماری محبت میں طاقت ہوگی تو ہم تمھیں ضرور پا لینگے ۔
ہوتا ہے ہوتا ہے,زندگی میں موہ-مایا ہی سب کچھ تو نہیں ہوتا ہے گُنجا ، ایک فرض بھی ہوتا ہے ۔
آئیں کھلی جانا تھا NULL,تم تو بہت بعد آئیں گنجا ، آنکھ کھلی تو پہلے بھیّا کو جانا تھا ، باپ و ماں کے تو چہرے تک یاد نہیں ہم کو ۔
کرنے ہو گئے,ان کی خوشی کی خاطر ہی ہم اپنا سب کچھ نِچھاور کرنے کے لئے تیار ہو گئے ۔
رہ گئی تھی تھی تھی NULL تھی,گنجا ! بات صرف ہماری نہیں رہ گئی تھی ، بھیّا کی خوشی کی بات تھی ، اس گھر کی بات تھی جسے بھابھی نے اتنے جتن سے سنوارا و سجایا ، بات ہمارے منّا کی تھی ۔
سوچا دیکھنے سنبھالنے ہو NULL رہ گئے,اسلئے ہم نے سوچا کہ اس گھر کو دیکھنے و سنبھالنے کے لئے ایک تم ہی ہو اور کوئی نہیں ، اور ہم چپ رہ گئے ۔
تھا سنو گی سمجھو گی کر دوگی,گنجا ! ہمیں اتنا بھروسہ تھا تم پر کہ اگر تم ہماری مجبوری کو سنو گی تو ہمیں سمجھو گی اور معاف کر دوگی ۔
ہو چاہتی تھیں کرینگے,تم بہت بڑے ہو چندن ! ہاں ، پہلے تمھیں فقط چاہتی تھیں ، لیکن اب عقیدت کرینگے ۔
ملے چھوٹ جاتی ہے,دیوتا نہ بھی ملے ، تو کیا پجاری کی بھکتی چھوٹ جاتی ہے ؟
توڑینگے NULL کہو گے کرینگے,ہم تمھارا اعتماد نہیں توڑینگے چندن ، کبھی نہیں NULL ، تم جو بھی کہو گے ہم وہی کرینگے ۔
کر رہے تھے چھوڑ دوگے ہو جائینگے,یہ کیسی باتیں کر رہے تھے تم لوگ ، ہمارے لئے تم اپنی خوشیاں چھوڑ دوگے اور ہم خوش ہو جائینگے ۔
سمجھ رکھا ہے,تم نے سمجھ کا رکھا ہے ہمیں ؟
مت کرو بنے گا کر کے آتے ہیں,گنجا ! تم فکر مت کرو یہ دیوتا ہی تمھارا خاوند دیوتا بنے گا ، ہم ابھی بات کر کے آتے ہیں ۔
ہے,ویدجی ! بچوں کی خوشی میں ہی ہم دونوں کی خوشی ہے ۔
ہے بھرنے دیجئے,اسی میں ہم سب کا بھلا ہے ، گنجا کی مانگ تو اب چندن کو ہی بھرنے دیجئے ۔
ہے ہے,ٹینا بہت کریٹیکل ہے راہول ، اس کے پاس زیادہ وقت نہیں ہے ۔
کی بڑھ گئی تھی کر سکے,ہم نے بہت کوشش کی راہول ، مگر اس کی انٹرنل بلیڈنگ اتنی بڑھ گئی تھی کہ ہم کچھ نہیں کر سکے ۔
کہا تھا ہونگی,میں نے اس سے پہلے ہی کہا تھا کہ اس کی ڈلیوری میں کامپلیکیشنس ہونگی ۔
جانتی تھی چاہیئے,لیکن وہ یہ بھی جانتی تھی کہ تمھیں یہ بچہ کتنا چاہیئے ۔
تھی,اسے بھی یہ اپنی زندگی سے زیادہ پیاری تھی ۔
چاہتی ہوں جانے,میں چاہتی ہوں کہ میری بیٹی مجھے جانے ۔
تھی تھی دے سکے,اس کی ماں کیسی تھی ، کون تھی ، ان سوالوں کا جواب وہ خود دے سکے ۔
چھوڑ کر جا رہی ہوں,ممّا ! میں یہ آٹھ چٹھیاں آپ کے پاس چھوڑ کر جا رہی ہوں ۔
ہیں کہنا چاہتی ہوں,ان میں وہ ساری باتیں ہیں جو میں اپنی بیٹی کو کہنا چاہتی ہوں ۔
بن کر رہ جائینگی,یہی میری بیٹی کی یادیں بن کر رہ جائینگی ۔
سنائیگی,روپا ہمیں گائتری منتر سنائیگی ۔
بھول گئی,گائتری منتر تو میں بھول گئی ۔
,کیا ؟
کہہ رہی ہے,یہ تو کیا کہہ رہی ہے روپا ؟
سنا بھول گئی,سنا بہنوں ہماری روپا گائتری منتر بھول گئی ۔
رکھیگی سکھائیگی,ارے بیٹی ! تو پوجا پاٹھ میں دھیان نہیں رکھیگی تو اپنے بچوں کو کیا سکھائیگی ؟
کہتے ہیں سوچتے ہیں پڑتا ہے,جو ہم کہتے ہیں ، جو ہم سوچتے ہیں ، اسی کا اثر تو ہمارے بچوں پر پڑتا ہے ۔
جاؤٔ ہو جاؤ,جاؤٔ اسکول فنکشن کے لئے تیار ہو جاؤ ۔
دیا جائیگا,ہر اسٹوڈینٹ کو فقط ایک ہی منٹ دیا جائیگا ۔
ہے,ہماری پہلی کانٹیسٹ ہے جسبندر سنگھ ۔
بننے کیا,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
ہوئی,ہندی کے عظیم مصنف اور صحافی بابو ہریش چندر بھارتیندو اور ان کے ساتھیوں کی کوششوں کے نتیجے میں ہندی صحافت کے لئے ایک زرخیز زمین تیار ہوئی ۔
لے کر کود پڑیں ہونا ہو گیا,ان کی انتھک کوششوں سے ترغیب لے کر ہندی کی دیگر صلاحیتیں بھی اس میدان میں کود پڑیں اور حکومت و اس کی پالیسیوں کا بھنڈا پھوڑ ہونا شروع ہو گیا ۔
لگانے ہے,بھارت میں دربار لگانے کی روایت بہت قدیم ہے ۔
اپنایا بہایا,انگریزی حکومت نے بھی اس روایت کو اپنایا اور اس پر کثیر رقم پانی کی طرح بہایا ۔
بننے کیا,اسی تعلق سے لارڈ لٹن نے یکم جنوری ، ۱۸۷۷ کو ملکہ وکٹوریہ کے ہندوستان کی ملکہ بننے کے اعلان کے لئے ایک دربار کیا ۔
