wordcontent,sentences,index
ఇది,మనసు ఉంటే ఇది చాలా సులభం ణూLL .,89
ఇది,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు ణూLL .,102
ఇది,ఇది నిజం కాదు .,111
ఇది,ఇది ఎవరి చేతిలో లేదు .,276
ఇది,అంతేగాని ఇది ఎవరి చేతిలో లేదు .,286
ఇది,అది గావాలె ణూLL ఇది గావాలె అంటాడు .,381
చాలా,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .,5
చాలా,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?,50
చాలా,మనకు చాలా ఆలోచనలు ఉంటాయి .,85
చాలా,మనసు ఉంటే ఇది చాలా సులభం ణూLL .,89
చాలా,"బొప్పాయి కాయ , గింజలు , పాలు చాలా జబ్బులు పోగొడతాయి .",107
చాలా,మునగలు చాలా రకాలు ణూLL .,125
",","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక .",23
",","తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం .",28
",","గర్భవతి అయినప్పుడూ , ఆపరేషను చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?",48
",","అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?",58
",","పచ్చకామెర్లు , క్షయ , క్షయ , మలేరియా లాంటి రోగాలన్నీ నయమయ్యే రోగాలే ణూLL .",60
",","సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది .",62
?,మరో సంగతి మీకు తెలుసా ?,0
?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?,1
?,ఇట్లా ఎందుకు జరుగుతోంది ?,2
?,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?,10
?,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?,11
?,ఎందుకు అంటారు ?,12
ఉంది,మూడు ఆపిల్ పళ్లలో ఉండే బలం ఒక అరటి పండులో ఉంది .,164
ఉంది,దీనికొక ఉపాయం ఉంది .,177
ఉంది,అయితే ఏమీ ఉంది .,303
ఉంది,గుడి ఉంది .,416
ఉంది,బడి ఉంది .,417
ఉంది,చిన్న దవాఖానా ఒకటి ఉంది,418
ఆ,ఆ పైసలు సోములు చేతిలో ఉంచింది .,232
ఆ,ఆ ఊరి పేరు సిరిపురం ణూLL .,234
ఆ,ఎవరో సాధువు ఆ ఊరికి వచ్చాడు .,246
ఆ,ఆ సాధువు రోగాలు నయం చేసేవాడు .,247
ఆ,ఆ ఊరిలో రామయ్య సన్నకారు రైతు ఉన్నాడు .,420
ఆ,ముద్ద బంతి పూవు ముద్దులొలుకు ఆ మల్లి ణూLL .,425
అని,అని సోములు అనేవాడు .,189
అని,అని అనసూయ అనుకుంది .,199
అని,అని అనసూయ సోములుతో అంది .,204
అని,కొడుకు లేకపోవడం లోటు ణూLL అని అందరితో అనేవాడు .,242
అని,కొడుకుని కనకపోవడం సీతాలుదే తప్పు ణూLL . అని అందరితో అనేవాడు .,243
అని,ఈ సారి మగ పిల్లాడు కలిగేలా . అని రత్తాలు డాక్టరుతో ఒకటే ఏడుపు ణూLL .,272
