bshift,sentences
0,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
0,రోజూ ఈ వార్తలు మనం వింటూనే .
0,విజయవాడలో మరో ఆడశిశువు హత్య ణూLL .
0,కొంత మంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
0,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
0,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
0,కనీసం నెలకు 30 కేసులు పట్టుకొని .
1,ణూLL నిజమే .
1,ఆడవాళ్లు కడుపుతో . ఉన్నప్పుడు కనేటప్పుడూ వైద్యం అవసరమే ణూLL .
0,ఎక్కువ జాగ్రత్తలూ అవసరమే ణూLL .
0,కేవలం బిడ్డల్ని కనే యంత్రాలా ణూLL ?
1,వాళ్లకు ఏమీ జబ్బులు ? రావా
1,"గర్భవతి అయినప్పుడూ ఆపరేషను , చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?"
1,వైద్యం ? అవసరమయ్యేది
0,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?
1,అంతటితో కనేస్తుందా సుఖంగా ?
0,అసలైన ఆరోగ్యం కావాలంటే ఆమెకు ఆహారం కావాలి .
0,తగినంత తీరిక ఉండాలి .
0,చదువుండాలి .
0,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
0,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
0,ఇవన్నీ ఉంటే గర్భవతి కావడం ఆమెకో పండుగ ణూLL .
0,"అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?"
0,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?
0,"పచ్చకామెర్లు , క్షయ , క్షయ , మలేరియా లాంటి రోగాలన్నీ నయమయ్యే రోగాలే ణూLL ."
1,ఐతే ఉన్నవాళ్లకివి కడుపుతో సోకితే ప్రమాదం ణూLL .
0,"సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది ."
0,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం ణూLL .
1,మరీ ఆహారం సరైన ణూLL .
1,లేనివాళ్లకు మరిన్ని అవసరం జాగ్రత్తలు ణూLL .
0,అప్పుడే వాళ్లు సుఖంగా కంటారు .
1,అంటే కడుపుతో ఉన్న ప్రతి ణూLL ఇల్లాలికీ :
0,ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
0,ఇప్పటికే సరైన ఆహారం లేక ఆమె చిక్కిపోయిందనుకోండి .
1,ఆమె చదువుకోలేదు . అనుకోండి
0,కాన్పు తగిన సంరక్షణ లేదనుకోండి .
0,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి ణూLL .
0,మన ఆరోగ్యం బతుకుల్ని అద్దం పడుతుంది .
0,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం ణూLL .
0,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
0,"మగవాళ్లతో సమానమైన కూలి , జీతం ఉండాలి ."
1,ఎలాంటిదా కొత్త ప్రపంచం ? ణూLL
0,"సొంత ఇంట్లో - వాడలో , ఊళ్లో - రాష్ట్రంలో , దేశంలో ప్రతిచోట ప్రతి విషయంలోనూ ఆడా మగా సమానంగా ఉండే ప్రపంచం ణూLL !"
0,ఈ కొత్త ప్రపంచంలోకి మనం అడుగు పెడతాం ?
0,ఎలా అంటారా ?
0,చదువు నేర్చుకోడంతోనే
0,చదువంటే శక్తి ణూLL చదువుంటే ఆయుధం ణూLL .
0,అందుకే ఆడవాళ్లు చదువుకోవాలి .
1,సొంత నిలబడ్డం కాళ్ల తెలుసుకోవాలి .
0,మనకు చాలా ఆలోచనలు ఉంటాయి .
0,ఏదో చేయాలని అనుకొంటాం .
0,అది అందుబాటులో ఉండదు .
0,అందరికీ అందుబాటులోనిది పెరటి తోటల పెంపకం ణూLL .
0,మనసు ఉంటే ఇది చాలా సులభం ణూLL .
1,"ఆదాయం , ఆనందం . ణూLL"
0,"మునగ , కరివేపాకు , సీతాఫలం , జామ అందరూ పెంచగలవి , వీటిని వేసే మంచి జాతి మొక్కలు ఎంచుకోవాలి"
0,అరటి సులభంగా బతుకుతుంది .
0,నాలుగు కూరపాదులు వేసుకోలేమా ?
0,"వంగ , టొమాటో మొలకలు బాగా పెరుగుతాయి ."
1,బెండ తొందరగా . పెరుగుతుంది
0,"బీర , కాకర తీగలయితే పైకి పాకుతాయి , దొండ రెండో ఏడు ఉంటుంది ."
0,ఆకు కూరలు రోజూ తినగలిగినా మంచిదే ణూLL .
1,"పాలకూర గోంగూర , , తోటకూర , కొత్తిమీర , పుదీనా బాగా పెరుగుతాయి ."
0,"ఆకు కూరలు , కూరగాయలు నవనవలాడుతుంటాయి ."
0,బొప్పాయి సులభంగా పెరిగే చెట్టు ణూLL .
0,దీనికి పెద్ద చోటు అవసరం లేదు .
0,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు ణూLL .
0,చెట్టు కాయలుంటాయి .
0,వారానికి ఒక పండు తప్పకుండా పండుతుంది .
0,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .
1,పచ్చి బొప్పాయి కూరలు కాయలతో వండుకోవచ్చు .
0,"బొప్పాయి కాయ , గింజలు , పాలు చాలా జబ్బులు పోగొడతాయి ."
0,కంటి జబ్బులకు బొప్పాయి పండు మంచి మందు ణూLL .
1,తింటే బొప్పాయి రేచీకటి దగ్గరకు రాలేదు .
1,ఆడవాళ్లు కడుపుతో ఉంటే బొప్పాయి అంటారు తినగూడదు .
0,ఇది నిజం కాదు .
0,పైగా బిడ్డకు ఎంతో మంచిది ణూLL .
1,"మల బద్దకానికి పాలు బొప్పాయి , నీళ్లు , తేనె కలిపి తాగండి ."
0,బొప్పాయి గింజలు నూరి పాలలో కలిపి తాగండి .
1,ఏలిక పడి పాములు .
0,బొప్పాయి కాయ గుజ్జు రోజూ పూయండి .
1,మాడి కురుపులు .
1,! చూడండి
0,బొప్పాయి ఎంత గొప్పదో ణూLL !
0,ఒక మునగచెట్టు ఉంటే .
1,కూరకోసం వెతికే ఉండదు పని .
0,మునగ చేసే మేలు మనలో చాలామందికి తెలియదు .
0,మునగాకు కూర కళ్లకు ఎంతో మంచిది ణూLL .
0,పూత కూరలో వేసుకోవచ్చు .
0,మునగలు చాలా రకాలు ణూLL .
0,వీటిలో బెంగుళూరు రకం చాలా మంచిది ణూLL .
0,కాయ లావుగా పొడవుగా ఉంటుంది .
0,లోపల గుజ్జు బాగా ఉంటుంది .
0,ముదిరినా తగ్గని రుచి దీనిది ణూLL .
0,మంచి రకం మునగ ఏడాదిలో కాపుపడుతుంది .
0,మునగ కాసేది కాయలు కాదు రూపాయలే ణూLL .
1,పాల పెరగాలంటే దిగుబడి -
0,పాల దిగుబడి పెరిగితే మన ఆదాయం పెరుగుతుంది .
0,మెలకువగా పాడి చేసుకుంటే దిగుబడి బాగా పెంచుకోవచ్చు .
0,పచ్చి గడ్డి మేత వేసేటప్పుడు కంది వేయాలి .
0,దీని అరలీటరు పాలు దిగుబడి పెరుగుతుంది .
0,పశువును బాగా కడగాలి .
0,"కొట్టంలో పేడ , ఈగలు , దోమలు లేకుండా చూచుకోవాలి ."
0,పాలిచ్చేటప్పుడు గొడ్డును భయపెట్టగూడదు .
1,సంతోషంగా అది ఉండాలి .
1,దీని దిగుబడి పాల పెరుగుతుంది .
0,దూడకు మొదట పాలు తాపాలి .
0,తరువాత పాలు పిండాలి .
0,చివరి పాలు దూడకు వదల .
0,పాలు రోజూ ఒకే సమయంలో పిండాలి .
0,తొందర తొందరగా పిండాలి .
1,మానివేయ అప్పుడప్పుడు .
0,పశువు జబ్బుతో ఉంటే పాలు పిండగూడదు .
0,అరటి సులభంగా పెరిగే చెట్టు ణూLL .
0,దీనికి కొద్ది చోటు చాలు ణూLL .
0,ఇంటిలో ఒక పిలక నాటుకుంటే .
1,ఏళ్ల ఉంటుంది తరబడి .
0,ఒకటి రెండు పిలకలు ఉంచి మిగిలిన వాటిని తీసి .
0,గెల కోసిన చెట్టును నరికి .
1,వీటిలో పచ్చవి తొందరగా కాపుకు వచ్చే రకం . ణూLL
1,చెట్టు ఈ పొట్టిగా ఉంటుంది .
0,అరటికి పచ్చి పేడ మంచి ఎరువు ణూLL .
0,పూతకు వచ్చినప్పుడు యూరియా వాడడం మంచిది ణూLL .
0,పెద్ద గెల దిగుతుంది .
1,కాయ సైజు . పెరుగుతుంది
0,అరటికి తడి ఆరకుండా నీరు ఉండాలి .
0,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే .
1,సంగతి ఈ మీకు తెలుసా
0,మూడు ఆపిల్ పళ్లలో ఉండే బలం ఒక అరటి పండులో ఉంది .
0,అదనంగా సంపాదించాలని అందరికీ ఉంటుంది .
0,ఏదో చేయాలి అనుకుంటాము .
0,కానీ అందుబాటులో ఉండే పనులు మనకు కనబడవు .
0,కూరగాయలు పండించలేం .
1,రెండు కానీ కొబ్బరి మొలకలు నాటుకోవచ్చుగదా !
0,చెట్టు పెరిగి పైకి పోతుంది .
0,మనకు అడ్డం రాదు .
0,కొబ్బరిలో సంకరజాతివి నాటుకొంటే మంచిది ణూLL .
0,తొందరగా కాపు పడతాయి .
1,కొబ్బరి బాగా చెట్టు కాయాలంటే నీళ్లు బాగా ఉండాలి .
1,చెట్టు మొదట ఆరకుండా తడి చూచుకోవాలి .
0,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే .
0,దీనికొక ఉపాయం ఉంది .
1,గుంటను బండతో ఒక కప్పివేయాలి .
1,మనం నీళ్లు వాడిన ఈ గుంటలో పడేటట్టు చేయాలి .
0,చెట్టు తొందరగా పెరుగుతుంది .
0,ఒక కొబ్బరి చెట్టు సుమారుగా కాపు పడితే అయిదు వందల రూపాయల ఆదాయం ఉంటుంది .
0,ఇంతకంటే సులభమైన సంపాదన ఉంటుందా !
1,కొబ్బరి రెండు మొలకలు నాటండి !
0,వెంకటాపురంలో సోములు ఉండేవాడు .
0,సోములు ఏ పనీ చేసేవాడు .
0,నేను ఎందుకు పని చేయాలి .
0,ఏనాటికైనా నేను ధనవంతుడను అవుతాను .
1,అది నా జాతకంలోనే . రాసి
0,అని సోములు అనేవాడు .
0,పని చేసి బతుకు అనేవాడు .
0,ధనవంతునివి కావాలి అంటే పని చేయాలి .
0,సోములు వినేవాడు .
0,చివరికి పోచాలు సోములుతో విసిగిపోయాడు .
1,సోములుకు చేయాలి పెళ్లి .
0,సోములుకు పెళ్లి చేశారు .
1,సోములుకు అనసూయతో జరిగింది పెళ్లి .
0,సోములును ఒక దారికి తేవాలి .
0,పని చేయించాలి .
0,అని అనసూయ అనుకుంది .
0,ఒక రోజు ఉదయాన లేచింది .
0,నాకు కలలో ఒక దేవత కనిపించింది .
0,మన పెరటిలో లంకెబిందెలు ఉన్నాయట .
0,దేవత నాతో చెప్పింది .
1,అని అనసూయ సోములుతో . అంది
0,సోములు ముఖంలో సంతోషం నా జాతకం ఇదే అయుండాలి .
1,పలుగు పార . తీసుకున్నాడు
1,లంకెబిందెల పెరటిలో . తవ్వాడు
1,రోజులు పది తవ్వాడు .
0,అయినా లంకెబిందెలు కనపడలేదు .
0,కానీ గోతిలో నీళ్లు చేరాయి .
0,పైసా లేకుండా బావి పని అయింది .
0,అందుకు అనసూయ సంతోషించింది .
0,పెరడంతా దున్నాలి .
1,అప్పుడే లంకెబిందెలు . దొరుకుతాయి
0,సోములుకు ఆశ చావలేదు .
1,దున్నాడు పెరడంతా .
0,వారం రోజులు దున్నాడు .
0,అయినా లంకెబిందెల జాడలేదు .
0,అనసూయకు సంతోషం అయింది .
0,పెరడంతా అరటి పిలకలు నాటింది .
0,నా కల నిజం అవుతుంది .
0,దేవత మన మంచికే చెప్పింది .
0,లంకెబిందెలు పెరటిలో దొరకలేదు .
1,చావలేదు ఆశ .
0,అయినా బావిలో బిందెలు కనపడలేదు .
0,రోజురోజుకు నీళ్లు ఊరాయి .
0,అనసూయ పెరటిలో పాదులు తీసింది .
0,అరటి పిలకలకు నీళ్లు అందేలా .
0,కొన్ని రోజులకు అరటి గెలలు వేశాయి .
0,అనసూయ వాటిని అంగడికి పంపింది .
1,పైసలు జమ . చేసింది
0,ఆ పైసలు సోములు చేతిలో ఉంచింది .
0,అనగనగా ఒక ఊరు ణూLL .
0,ఆ ఊరి పేరు సిరిపురం ణూLL .
0,సోములు ణూLL సీతాలు ఆలుమగలు ణూLL .
1,వాళ్లది ణూLL సిరిపురం .
0,మొదటిసారి కూతురు పుట్టింది .
1,సోములు ణూLL సీతాలు . మురిసి
0,రెండోసారి కూతురే పుట్టింది .
1,సోములుకు మనసులో లేదు మనసు .
0,సీతాలును సూటిపోటి మాటలు అనేవాడు .
1,కొడుకు లేకపోవడం లోటు ణూLL అని అనేవాడు అందరితో .
0,కొడుకుని కనకపోవడం సీతాలుదే తప్పు ణూLL . అని అందరితో అనేవాడు .
0,కాన్పులతో సీతాలు పాడయింది .
1,అయినా సోములు . వినలేదు
0,ఎవరో సాధువు ఆ ఊరికి వచ్చాడు .
0,ఆ సాధువు రోగాలు నయం చేసేవాడు .
0,మందులు ఇచ్చేవాడు .
0,సోములుకు తెలిసింది .
0,సోములు సీతాలుతో సాధువును కలిశాడు .
0,కొడుకు పుట్టడానికి మందు అడిగాడు .
0,సాధువు ఏదో మందు ఇచ్చాడు .
0,సోములు సాధువు మాటలు నమ్మాడు .
1,అడిగిన ఇచ్చాడు ధనం .
0,సీతాలు మందు తినిపించాడు .
1,సీతాలుకు నిండాయి నెలలు .
0,కాన్పు అయింది .
0,ఈ సారి కూతురే ణూLL .
1,సోములు కోరిక . తీరలేదు
1,బాధలు సీతాలు పెరిగాయి .
0,ఒకసారి సోములుకు బాగాలేదు .
0,"కక్కుడు , పారుడు అయింది ."
0,దవాఖానాలో ఉంచారు .
0,వారం రోజులు దవాఖానాలో ఉన్నాడు .
0,రోజు డాక్టరు చూసేవాడు .
0,ఒకరోజు సోములుకు రత్తాలు దవాఖానాకు వచ్చింది .
0,డాక్టరును కలిసింది .
0,తన గోడు చెప్పుకుంది .
1,రత్తాలుకు ఆడపిల్లలే అయిదుగురు ణూLL .
0,అందుకు మొగుడు కొడుతున్నాడు .
0,మళ్లీ పెళ్లి చేసుకుంటాడట .
0,ఈ సారి మగ పిల్లాడు కలిగేలా . అని రత్తాలు డాక్టరుతో ఒకటే ఏడుపు ణూLL .
0,మందులతో లాభం లేదు .
0,మగపిల్లవాడు పుట్టడానికి మందులు లేవా అని రత్తాలు అడిగింది .
0,మగపిల్లవాడా ణూLL ఆడపిల్లనా ణూLL .
0,ఇది ఎవరి చేతిలో లేదు .
0,ఆడవాళ్లకు నెలా నెలా అండం వస్తుంది .
1,అండంతో వీర్య కణాలు . కలుస్తాయి
0,అప్పుడు పిండం తయారవుతుంది .
0,మగ ఆడ అనేది వీర్య కణాలను ఉంటుంది .
0,వీర్య కణాలు రెండు రకాలు ఉంటాయి .
0,ఒక రకంతో ఆడపిల్లలే పుడతారు .
1,ఇంకో రకంతో పుడతారు మగపిల్లలే .
1,మగవాళ్లలో ఒకే కణాలుంటే రకం ఆడపిల్లలే పుడతారు .
0,"రెండు రకాల కణాలు ఉంటే ఆడపిల్లలు పుడతారు , మగపిల్లలు పుడతారు ."
0,అంతేగాని ఇది ఎవరి చేతిలో లేదు .
0,ఆడవాళ్ల తప్పు అసలే కాదు . అని డాక్టరు చెప్పింది .
0,సోములు ఇదంతా విన్నాడు .
0,తన తప్పు తెలుసుకున్నాడు .
1,సీతాలు రాగానే తీసుకున్నాడు దగ్గరకు .
0,కొడుకైనా ణూLL కూతురైనా ఒకటే అన్నాడు .
0,రాజులు మగడు సాయిలు ణూLL .
1,సాయిలు చేసేది పని పాలేరు ణూLL .
0,దొరగారి పాలేరు ణూLL .
0,నెలకు మూడు కుంచాల జీతం ణూLL .
0,నిరుటి కుంచెడే ణూLL .
0,కుంచెడు కాలం తాను జీతగాడే ణూLL .
0,తాత జీతగాడే ణూLL .
0,నాయన జీతగాడే ణూLL .
0,రాజులు కూలికి నాలికి పోతది .
0,కోతల కాలంలో పరిగె ఏరుకుంటుంది .
0,దొర ఇంటి పనులకు పోతది .
0,అయితే ఏమీ ఉంది .
0,ఆరుగాలం పనిచేసినా . అయిదు వేళ్లు నోటిలోకి పోవుట గగనం ణూLL .
0,రాజులు తల్లి ఇంట సుఖపడలేదు .
0,ఇంట సుఖం లేదు .
1,మొదటి ణూLL బాధలే .
0,అయినా ఏ నాడు ఏడవలేదు .
0,గుండె బలంతో బతికింది .
1,మంచి అందరితోనూ అనిపించుకుంది .
0,మొదలు వరుసగా నలుగురు ఆడసంతానం ణూLL .
1,ఇద్దరు . పోయినారు
0,ఇద్దరు మిగిలినారు .
0,మనం పేదోళ్లం ణూLL .
1,కూతురే అనుకుందాం కొడుకు .
0,మగ పిల్లాడు లేకుంటే మానే .
0,మనకి భూములా ణూLL జాగాలా ణూLL .
0,పశువులా ణూLL పంటలా ణూLL .
0,వెండా ణూLL బంగారమా ణూLL .
0,బంగళాలా ణూLL .
0,సాయిలు వినలేదు .
0,నీ మాట నిజమే ణూLL .
0,మనకు ముల్లె లేదు .
0,ఎందరు పోరలు ణూLL అని అడుగుతారు .
0,ఆడపిల్ల మనకు కాదు .
0,అక్కడకే పోతది .
0,దీపం కాపాడుతాడు .
0,వంశం నిలుపుతాడు .
0,ముసలితనంలో ఇంత కూడు పెడతాడు .
0,చనిపోతే తలకు కొరివి పెడతాడు .
1,పుట్టిండు కొడుకు .
0,సాయిలుకు ణూLL రాజులకు సంతోషం ణూLL .
1,సాయిలు ఎంతో . మురిసిపోయాడు
0,కొడుకు పేరు వెంకట ణూLL .
0,బిడ్డలకు మనువు చేసింది .
0,మొదటి కూతురు బతుకు ణూLL .
1,దాని మొగుడు ణూLL మంచోడు .
0,తనది తనకు చాలు అంటడు .
0,నాలుగు పైసలు దాచుకుంటాడు .
1,దాని అది కాపురం చేసుకుంటోంది .
1,రెండో పిల్ల మొగుడే ణూLL చిరుతగాడు .
0,నేలమీద నిలిసి ఆకసానికి చేతులు చాపుతాడు .
0,అన్నీ బడాయి మాటలు ణూLL .
0,అవి ఏవీ జమ కావు .
0,పొల్లను అత పెడతాడు .
1,వాడిది ఏడిసిన కొంప . అగుపడుతుంది
0,ఇంటిది నవ్వుతూ తిరుగుతుంటే నీకే మంచిది ణూLL .
0,అని చెపితే వినడు .
0,సూడబోతే సుందరాంగుడు ణూLL .
1,పావురమలె ఉండె బాగనే .
0,నెలకు ఓసారి కూతురు అలిగొత్తది .
0,ఆనికేం రోగమో ణూLL తెలువది .
0,ఆలిని కాలుసుక తింటాడు .
0,మంచి పోలగాని జూసి మనువు చేతాం .
0,బంగారు కత్తి ణూLL అని మెడకోసుకుంటామా .
0,అంటే ఇంటి ఆయన వినడు .
1,ఆడదాని బతుకు ణూLL మొగనితోనే .
1,తెంపి ముడి ఏయడం ణూLL కురుస .
1,మారు మనువు . కూడదు
0,దాని రాతే అంత అనుకుందాం .
1,అని పలుకుతడు నీతులు .
1,రాతలు ణూLL కోతలు ణూLL అనేవి పాతకాలం ణూLL మాటలు .
0,అని నేను అంటే నా మాట వినడు .
0,ఈ కాలం చదివితేనే మనిషి ణూLL .
0,లేకుంటే విలువ లేదు .
1,మనవి గోస బతుకులు . ణూLL
1,వానల ఎండల మిడుకుడు .
1,కొలువు మంచి దొరుకుతది .
0,అని వెంకటిని బడికి పంపింది .
1,పదిదాకా బడికి . పోయాడు
0,పదిల లేవలేదు .
0,ఇక సదువు సాగలేదు .
0,చేతికి పని అంటలేదు .
0,పసుల గాయడు .
1,పొలంల . దిగడు
0,ఏడనో తిరుగుతడు ణూLL తిండికి ఇంటికి చేరుతడు .
1,వినడు మాట .
0,జులాయిగ తిరుగతడు .
1,పేకాట . ఆడతాడు
1,పోతడు సినిమాలకు .
1,అది గావాలె ణూLL ఇది అంటాడు గావాలె .
0,అయితే ఇంత గారాబం ణూLL .
0,ఏడికి కాకుండా .
1,బతికుండగానే కొరివి . పెడుతుండు
1,ఇంటికాడ నిలవదు కాలు .
0,తోటకూరోలె పెరిగిండు .
0,నూగు దోసకాయల్లె ఉండె .
1,ఆశ ఏలుతానంటె భూమయి .
0,నొసలు గాడిదలు కాయమనె .
0,ఆయనకు రాడు .
0,నామాట వినడు .
1,అని మీటింగులకు పోయాడు .
1,పోలీసుల కంట . పడిండు
0,తీసుకపోయి పొట్టు పొట్టు కొట్టిరి .
1,కొడుకు కావాలె ఏం అనిపోతే జరిగింది .
0,చెట్టు నిండా కాయలు ఉంటాయి
0,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం ణూLL .
0,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం .
0,వాళ్లు ఏమనుకొంటారు ?
1,ఎందుకమ్మా కంటావు ఆడపిల్లను .
0,విజయవాడలో మరో ఆడశిశువు హత్య ణూLL .
1,కడుపుతో ఆడవాళ్లు ఉన్నప్పుడు ణూLL
0,వాళ్లకేమీ జబ్బులు రావా ?
0,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ ణూLL
0,మంచి ఆహారం అందించాలి .
0,ఐరన్ మాత్రలు ఇవ్వాలి .
0,తీరిక ఉండాలి .
0,ఆరోగ్య కార్యకర్త తరచుగా వచ్చి పరీక్షలు చేస్తుండాలి .
0,అసలు విషయం ఏమంటే ణూLL మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి .
0,గర్భంతో ఉన్నప్పుడు ఆమెకు ణూLL ఇద్దరి ఆహారం అవసరం .
1,హనుమంతుని పల్లె దాని పేరు . ణూLL
0,ఊరి చెరువులో నీళ్లు ణూLL .
0,అందరికీ సరిపోవును .
0,మంచినీటికి ఒక నూయి ణూLL .
0,అందులో తియ్యని నీళ్లు ణూLL .
0,గుడి ఉంది .
0,బడి ఉంది .
0,చిన్న దవాఖానా ఒకటి ఉంది
1,ఊరివారి తగవులు తీర్చ సావడి కచేరి ఉంది .
0,ఆ ఊరిలో రామయ్య సన్నకారు రైతు ఉన్నాడు .
0,ఇద్దరు ణూLL .
0,ఒక కొడుకు ణూLL ఒక కూతురు ణూLL .
0,పిల్ల పేరు ణూLL నాగమల్లి
0,అందమైన ణూLL చిన్న తల్లి
0,ముద్ద బంతి పూవు ముద్దులొలుకు ఆ మల్లి ణూLL .
0,ఊరివారి అందరికీ ముద్దు మురిపాల మల్లి ణూLL .
0,పొద్దుననే లేస్తుంది .
1,చద్ది తింటుంది బువ్వ .
0,చిన్న చిన్న పనులు చేసి చేనుకు వెడుతుంది .
0,అయ్యకు అన్నం ఇచ్చి . అందరినీ పలకరించి కాలువలో ఆటలాడి కలకలమని తిరుగుతుంది .
0,మల్లి తల్లి చేనుకు ఏలితే ఇల్లు చిన్నబోతుంది .
0,వద్దంటే వినకుండా ఊరంతా తిరుగుతావు .
0,చెరువు గట్టుకు పోయినపుడు దెయ్యం పట్టినదేమో .
0,ఎండి వరుగు అయిపోయెను .
0,తిండి అసలు తినకుండెను .
1,అయినా ఎవరూ పేరు దవాఖానా ఎత్తరు .
1,ఒక్కరికైనా డాక్టరు గుర్తుకు రానే ణూLL ణూLL చెట్టుకు పుట్టకు మొక్కి ముడుపు కడతారు .
0,అమ్మలక్కలు అందరూ అయ్యో ఇది ఏమిటి ణూLL అని ఎవరికి తెలిసిన మందును వారు చెప్పి .
0,గుడిలో విబూది అడిగి బొట్టు పెట్టమని ఒకరు ణూLL .
1,మంత్రం నీటిని తెచ్చి తాగించమని ణూLL ఒకరు .
0,తాయెత్తులు కట్టమని ణూLL దిష్టి తాడు వేయమని పదిమంది పదిరకాల నమ్మకంగా పలికారు .
0,గుప్పెడు ఉప్పుతో దిగతుడిచింది తల్లి పోతుంది దిష్టి అని .
0,పొద్దు బారెడయినా లేవలేదు నాగమల్లి
0,లేచిన మాటా పలుకూ ణూLL లేదు .
0,ఇంటిలోన కళ లేదు ణూLL చేనులోన సందడే లేదు .
1,మంచంలోని మల్లిని ణూLL చుట్టూ ఉన్న మందిని మంత్రాలు చూచి తాయెత్తులను మామ తెల్లబోయె .
0,ఇది ఏమి తెలివి ణూLL ణూLL ఇట్లా చంపుతున్నారు .
0,తాళ్లూ తాయెత్తు ణూLL అంటూ ప్రాణం తీస్తున్నారు .
0,ఇకనైనా కళ్లు తెరచి దవాఖానాకు పదండి .
