 depth,sentences
3,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
3,కొంత మంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
2,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
2,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
3,కనీసం నెలకు 30 కేసులు పట్టుకొని .
2,నిజమే NULL .
3,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే NULL .
2,ఎక్కువ జాగ్రత్తలూ అవసరమే NULL .
4,కేవలం బిడ్డల్ని కనే యంత్రాలా NULL ?
2,వాళ్లకు ఏమీ జబ్బులు రావా ?
3,"గర్భవతి అయినప్పుడూ , ఆపరేషను చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?"
2,వైద్యం అవసరమయ్యేది ?
3,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?
3,అంతటితో సుఖంగా కనేస్తుందా ?
3,అసలైన ఆరోగ్యం కావాలంటే ఆమెకు ఆహారం కావాలి .
2,తగినంత తీరిక ఉండాలి .
1,చదువుండాలి .
4,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
3,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
3,ఇవన్నీ ఉంటే గర్భవతి కావడం ఆమెకో పండుగ NULL .
5,"అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?"
5,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?
4,"పచ్చకామెర్లు , క్షయ , క్షయ , మలేరియా లాంటి రోగాలన్నీ నయమయ్యే రోగాలే NULL ."
5,ఐతే కడుపుతో ఉన్నవాళ్లకివి సోకితే ప్రమాదం NULL .
3,"సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది ."
4,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం NULL .
2,మరీ సరైన ఆహారం NULL .
2,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం NULL .
3,అప్పుడే వాళ్లు సుఖంగా కంటారు .
4,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ NULL :
3,ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
3,ఇప్పటికే సరైన ఆహారం లేక ఆమె చిక్కిపోయిందనుకోండి .
3,ఆమె చదువుకోలేదు అనుకోండి .
3,కాన్పు తగిన సంరక్షణ లేదనుకోండి .
3,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి NULL .
2,మన ఆరోగ్యం బతుకుల్ని అద్దం పడుతుంది .
3,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం NULL .
4,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
3,"మగవాళ్లతో సమానమైన కూలి , జీతం ఉండాలి ."
2,ఎలాంటిదా కొత్త ప్రపంచం NULL ?
4,"సొంత ఇంట్లో - వాడలో , ఊళ్లో - రాష్ట్రంలో , దేశంలో ప్రతిచోట ప్రతి విషయంలోనూ ఆడా మగా సమానంగా ఉండే ప్రపంచం NULL !"
2,ఈ కొత్త ప్రపంచంలోకి మనం అడుగు పెడతాం ?
2,ఎలా అంటారా ?
2,చదువు నేర్చుకోడంతోనే
3,చదువంటే శక్తి చదువుంటే ఆయుధం NULL .
3,అందుకే ఆడవాళ్లు చదువుకోవాలి .
3,సొంత కాళ్ల నిలబడ్డం తెలుసుకోవాలి .
2,మనకు చాలా ఆలోచనలు ఉంటాయి .
3,ఏదో చేయాలని అనుకొంటాం .
2,అది అందుబాటులో ఉండదు .
3,అందరికీ అందుబాటులోనిది పెరటి తోటల పెంపకం NULL .
3,మనసు ఉంటే ఇది చాలా సులభం NULL .
3,"ఆదాయం , ఆనందం NULL ."
6,"మునగ , కరివేపాకు , సీతాఫలం , జామ అందరూ పెంచగలవి , వీటిని వేసే మంచి జాతి మొక్కలు ఎంచుకోవాలి"
2,అరటి సులభంగా బతుకుతుంది .
2,నాలుగు కూరపాదులు వేసుకోలేమా ?
4,"వంగ , టొమాటో మొలకలు బాగా పెరుగుతాయి ."
2,బెండ తొందరగా పెరుగుతుంది .
5,"బీర , కాకర తీగలయితే పైకి పాకుతాయి , దొండ రెండో ఏడు ఉంటుంది ."
3,ఆకు కూరలు రోజూ తినగలిగినా మంచిదే NULL .
3,"పాలకూర , గోంగూర , తోటకూర , కొత్తిమీర , పుదీనా బాగా పెరుగుతాయి ."
3,"ఆకు కూరలు , కూరగాయలు నవనవలాడుతుంటాయి ."
4,బొప్పాయి సులభంగా పెరిగే చెట్టు NULL .
2,దీనికి పెద్ద చోటు అవసరం లేదు .
4,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు NULL .
2,చెట్టు కాయలుంటాయి .
2,వారానికి ఒక పండు తప్పకుండా పండుతుంది .
2,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .
2,పచ్చి బొప్పాయి కాయలతో కూరలు వండుకోవచ్చు .
3,"బొప్పాయి కాయ , గింజలు , పాలు చాలా జబ్బులు పోగొడతాయి ."
2,కంటి జబ్బులకు బొప్పాయి పండు మంచి మందు NULL .
3,బొప్పాయి తింటే రేచీకటి దగ్గరకు రాలేదు .
4,ఆడవాళ్లు కడుపుతో ఉంటే బొప్పాయి తినగూడదు అంటారు .
2,ఇది నిజం కాదు .
3,పైగా బిడ్డకు ఎంతో మంచిది NULL .
4,"మల బద్దకానికి బొప్పాయి పాలు , నీళ్లు , తేనె కలిపి తాగండి ."
4,బొప్పాయి గింజలు నూరి పాలలో కలిపి తాగండి .
2,ఏలిక పాములు పడి .
3,బొప్పాయి కాయ గుజ్జు రోజూ పూయండి .
2,కురుపులు మాడి .
1,చూడండి !
2,బొప్పాయి ఎంత గొప్పదో NULL !
2,ఒక మునగచెట్టు ఉంటే .
4,కూరకోసం వెతికే పని ఉండదు .
4,మునగ చేసే మేలు మనలో చాలామందికి తెలియదు .
2,మునగాకు కూర కళ్లకు ఎంతో మంచిది NULL .
2,పూత కూరలో వేసుకోవచ్చు .
2,మునగలు చాలా రకాలు NULL .
3,వీటిలో బెంగుళూరు రకం చాలా మంచిది NULL .
2,కాయ లావుగా పొడవుగా ఉంటుంది .
3,లోపల గుజ్జు బాగా ఉంటుంది .
4,ముదిరినా తగ్గని రుచి దీనిది NULL .
3,మంచి రకం మునగ ఏడాదిలో కాపుపడుతుంది .
4,మునగ కాసేది కాయలు కాదు రూపాయలే NULL .
2,పాల దిగుబడి పెరగాలంటే -
3,పాల దిగుబడి పెరిగితే మన ఆదాయం పెరుగుతుంది .
3,మెలకువగా పాడి చేసుకుంటే దిగుబడి బాగా పెంచుకోవచ్చు .
4,పచ్చి గడ్డి మేత వేసేటప్పుడు కంది వేయాలి .
2,దీని అరలీటరు పాలు దిగుబడి పెరుగుతుంది .
2,పశువును బాగా కడగాలి .
5,"కొట్టంలో పేడ , ఈగలు , దోమలు లేకుండా చూచుకోవాలి ."
2,పాలిచ్చేటప్పుడు గొడ్డును భయపెట్టగూడదు .
2,అది సంతోషంగా ఉండాలి .
2,దీని పాల దిగుబడి పెరుగుతుంది .
2,దూడకు మొదట పాలు తాపాలి .
2,తరువాత పాలు పిండాలి .
3,చివరి పాలు దూడకు వదల .
2,పాలు రోజూ ఒకే సమయంలో పిండాలి .
2,తొందర తొందరగా పిండాలి .
2,అప్పుడప్పుడు మానివేయ .
3,పశువు జబ్బుతో ఉంటే పాలు పిండగూడదు .
4,అరటి సులభంగా పెరిగే చెట్టు NULL .
2,దీనికి కొద్ది చోటు చాలు NULL .
2,ఇంటిలో ఒక పిలక నాటుకుంటే .
2,ఏళ్ల తరబడి ఉంటుంది .
3,ఒకటి రెండు పిలకలు ఉంచి మిగిలిన వాటిని తీసి .
3,గెల కోసిన చెట్టును నరికి .
4,వీటిలో పచ్చవి తొందరగా కాపుకు వచ్చే రకం NULL .
2,ఈ చెట్టు పొట్టిగా ఉంటుంది .
2,అరటికి పచ్చి పేడ మంచి ఎరువు NULL .
4,పూతకు వచ్చినప్పుడు యూరియా వాడడం మంచిది NULL .
3,పెద్ద గెల దిగుతుంది .
3,కాయ సైజు పెరుగుతుంది .
3,అరటికి తడి ఆరకుండా నీరు ఉండాలి .
5,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే .
2,ఈ సంగతి మీకు తెలుసా
4,మూడు ఆపిల్ పళ్లలో ఉండే బలం ఒక అరటి పండులో ఉంది .
3,అదనంగా సంపాదించాలని అందరికీ ఉంటుంది .
3,ఏదో చేయాలి అనుకుంటాము .
5,కానీ అందుబాటులో ఉండే పనులు మనకు కనబడవు .
2,కూరగాయలు పండించలేం .
3,కానీ రెండు కొబ్బరి మొలకలు నాటుకోవచ్చుగదా !
2,చెట్టు పెరిగి పైకి పోతుంది .
2,మనకు అడ్డం రాదు .
4,కొబ్బరిలో సంకరజాతివి నాటుకొంటే మంచిది NULL .
2,తొందరగా కాపు పడతాయి .
3,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .
3,చెట్టు మొదట తడి ఆరకుండా చూచుకోవాలి .
5,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే .
2,దీనికొక ఉపాయం ఉంది .
2,గుంటను ఒక బండతో కప్పివేయాలి .
5,మనం వాడిన నీళ్లు ఈ గుంటలో పడేటట్టు చేయాలి .
2,చెట్టు తొందరగా పెరుగుతుంది .
3,ఒక కొబ్బరి చెట్టు సుమారుగా కాపు పడితే అయిదు వందల రూపాయల ఆదాయం ఉంటుంది .
2,ఇంతకంటే సులభమైన సంపాదన ఉంటుందా !
3,రెండు కొబ్బరి మొలకలు నాటండి !
2,వెంకటాపురంలో సోములు ఉండేవాడు .
2,సోములు ఏ పనీ చేసేవాడు .
2,నేను ఎందుకు పని చేయాలి .
2,ఏనాటికైనా నేను ధనవంతుడను అవుతాను .
3,అది నా జాతకంలోనే రాసి .
2,అని సోములు అనేవాడు .
3,పని చేసి బతుకు అనేవాడు .
3,ధనవంతునివి కావాలి అంటే పని చేయాలి .
2,సోములు వినేవాడు .
2,చివరికి పోచాలు సోములుతో విసిగిపోయాడు .
2,సోములుకు పెళ్లి చేయాలి .
2,సోములుకు పెళ్లి చేశారు .
2,సోములుకు అనసూయతో పెళ్లి జరిగింది .
2,సోములును ఒక దారికి తేవాలి .
2,పని చేయించాలి .
2,అని అనసూయ అనుకుంది .
2,ఒక రోజు ఉదయాన లేచింది .
2,నాకు కలలో ఒక దేవత కనిపించింది .
3,మన పెరటిలో లంకెబిందెలు ఉన్నాయట .
2,దేవత నాతో చెప్పింది .
2,అని అనసూయ సోములుతో అంది .
3,సోములు ముఖంలో సంతోషం నా జాతకం ఇదే అయుండాలి .
2,పలుగు పార తీసుకున్నాడు .
2,లంకెబిందెల పెరటిలో తవ్వాడు .
2,పది రోజులు తవ్వాడు .
2,అయినా లంకెబిందెలు కనపడలేదు .
2,కానీ గోతిలో నీళ్లు చేరాయి .
2,పైసా లేకుండా బావి పని అయింది .
2,అందుకు అనసూయ సంతోషించింది .
2,పెరడంతా దున్నాలి .
2,అప్పుడే లంకెబిందెలు దొరుకుతాయి .
2,సోములుకు ఆశ చావలేదు .
2,పెరడంతా దున్నాడు .
2,వారం రోజులు దున్నాడు .
2,అయినా లంకెబిందెల జాడలేదు .
2,అనసూయకు సంతోషం అయింది .
2,పెరడంతా అరటి పిలకలు నాటింది .
3,నా కల నిజం అవుతుంది .
2,దేవత మన మంచికే చెప్పింది .
2,లంకెబిందెలు పెరటిలో దొరకలేదు .
2,ఆశ చావలేదు .
2,అయినా బావిలో బిందెలు కనపడలేదు .
2,రోజురోజుకు నీళ్లు ఊరాయి .
2,అనసూయ పెరటిలో పాదులు తీసింది .
2,అరటి పిలకలకు నీళ్లు అందేలా .
2,కొన్ని రోజులకు అరటి గెలలు వేశాయి .
2,అనసూయ వాటిని అంగడికి పంపింది .
2,పైసలు జమ చేసింది .
3,ఆ పైసలు సోములు చేతిలో ఉంచింది .
2,అనగనగా ఒక ఊరు NULL .
2,ఆ ఊరి పేరు సిరిపురం NULL .
3,సోములు సీతాలు ఆలుమగలు NULL .
2,వాళ్లది సిరిపురం NULL .
2,మొదటిసారి కూతురు పుట్టింది .
3,సోములు సీతాలు మురిసి .
2,రెండోసారి కూతురే పుట్టింది .
2,సోములుకు మనసులో మనసు లేదు .
2,సీతాలును సూటిపోటి మాటలు అనేవాడు .
4,కొడుకు లేకపోవడం లోటు అని అందరితో అనేవాడు .
4,కొడుకుని కనకపోవడం సీతాలుదే తప్పు NULL . అని అందరితో అనేవాడు .
2,కాన్పులతో సీతాలు పాడయింది .
3,అయినా సోములు వినలేదు .
2,ఎవరో సాధువు ఆ ఊరికి వచ్చాడు .
2,ఆ సాధువు రోగాలు నయం చేసేవాడు .
2,మందులు ఇచ్చేవాడు .
2,సోములుకు తెలిసింది .
2,సోములు సీతాలుతో సాధువును కలిశాడు .
4,కొడుకు పుట్టడానికి మందు అడిగాడు .
3,సాధువు ఏదో మందు ఇచ్చాడు .
3,సోములు సాధువు మాటలు నమ్మాడు .
3,అడిగిన ధనం ఇచ్చాడు .
2,సీతాలు మందు తినిపించాడు .
2,సీతాలుకు నెలలు నిండాయి .
2,కాన్పు అయింది .
2,ఈ సారి కూతురే NULL .
3,సోములు కోరిక తీరలేదు .
3,సీతాలు బాధలు పెరిగాయి .
2,ఒకసారి సోములుకు బాగాలేదు .
3,"కక్కుడు , పారుడు అయింది ."
2,దవాఖానాలో ఉంచారు .
2,వారం రోజులు దవాఖానాలో ఉన్నాడు .
2,రోజు డాక్టరు చూసేవాడు .
2,ఒకరోజు సోములుకు రత్తాలు దవాఖానాకు వచ్చింది .
2,డాక్టరును కలిసింది .
3,తన గోడు చెప్పుకుంది .
3,రత్తాలుకు అయిదుగురు ఆడపిల్లలే NULL .
2,అందుకు మొగుడు కొడుతున్నాడు .
2,మళ్లీ పెళ్లి చేసుకుంటాడట .
4,ఈ సారి మగ పిల్లాడు కలిగేలా . అని రత్తాలు డాక్టరుతో ఒకటే ఏడుపు NULL .
2,మందులతో లాభం లేదు .
4,మగపిల్లవాడు పుట్టడానికి మందులు లేవా అని రత్తాలు అడిగింది .
3,మగపిల్లవాడా ఆడపిల్లనా NULL .
3,ఇది ఎవరి చేతిలో లేదు .
2,ఆడవాళ్లకు నెలా నెలా అండం వస్తుంది .
2,అండంతో వీర్య కణాలు కలుస్తాయి .
2,అప్పుడు పిండం తయారవుతుంది .
2,మగ ఆడ అనేది వీర్య కణాలను ఉంటుంది .
2,వీర్య కణాలు రెండు రకాలు ఉంటాయి .
2,ఒక రకంతో ఆడపిల్లలే పుడతారు .
2,ఇంకో రకంతో మగపిల్లలే పుడతారు .
3,మగవాళ్లలో ఒకే రకం కణాలుంటే ఆడపిల్లలే పుడతారు .
4,"రెండు రకాల కణాలు ఉంటే ఆడపిల్లలు పుడతారు , మగపిల్లలు పుడతారు ."
4,అంతేగాని ఇది ఎవరి చేతిలో లేదు .
5,ఆడవాళ్ల తప్పు అసలే కాదు . అని డాక్టరు చెప్పింది .
2,సోములు ఇదంతా విన్నాడు .
3,తన తప్పు తెలుసుకున్నాడు .
3,సీతాలు రాగానే దగ్గరకు తీసుకున్నాడు .
3,కొడుకైనా కూతురైనా ఒకటే అన్నాడు .
3,రాజులు మగడు సాయిలు NULL .
3,సాయిలు చేసేది పాలేరు పని NULL .
3,దొరగారి పాలేరు NULL .
2,నెలకు మూడు కుంచాల జీతం NULL .
2,నిరుటి కుంచెడే NULL .
2,కుంచెడు కాలం తాను జీతగాడే NULL .
2,తాత జీతగాడే NULL .
2,నాయన జీతగాడే NULL .
2,రాజులు కూలికి నాలికి పోతది .
2,కోతల కాలంలో పరిగె ఏరుకుంటుంది .
4,దొర ఇంటి పనులకు పోతది .
3,అయితే ఏమీ ఉంది .
3,ఆరుగాలం పనిచేసినా . అయిదు వేళ్లు నోటిలోకి పోవుట గగనం NULL .
3,రాజులు తల్లి ఇంట సుఖపడలేదు .
2,ఇంట సుఖం లేదు .
2,మొదటి బాధలే NULL .
3,అయినా ఏ నాడు ఏడవలేదు .
2,గుండె బలంతో బతికింది .
2,అందరితోనూ మంచి అనిపించుకుంది .
3,మొదలు వరుసగా నలుగురు ఆడసంతానం NULL .
2,ఇద్దరు పోయినారు .
2,ఇద్దరు మిగిలినారు .
2,మనం పేదోళ్లం NULL .
2,కూతురే కొడుకు అనుకుందాం .
3,మగ పిల్లాడు లేకుంటే మానే .
3,మనకి భూములా జాగాలా NULL .
3,పశువులా పంటలా NULL .
3,వెండా బంగారమా NULL .
2,బంగళాలా NULL .
2,సాయిలు వినలేదు .
3,నీ మాట నిజమే NULL .
2,మనకు ముల్లె లేదు .
4,ఎందరు పోరలు అని అడుగుతారు .
2,ఆడపిల్ల మనకు కాదు .
2,అక్కడకే పోతది .
2,దీపం కాపాడుతాడు .
2,వంశం నిలుపుతాడు .
2,ముసలితనంలో ఇంత కూడు పెడతాడు .
2,చనిపోతే తలకు కొరివి పెడతాడు .
2,కొడుకు పుట్టిండు .
3,సాయిలుకు రాజులకు సంతోషం NULL .
2,సాయిలు ఎంతో మురిసిపోయాడు .
3,కొడుకు పేరు వెంకట NULL .
2,బిడ్డలకు మనువు చేసింది .
3,మొదటి కూతురు బతుకు NULL .
3,దాని మొగుడు మంచోడు NULL .
3,తనది తనకు చాలు అంటడు .
2,నాలుగు పైసలు దాచుకుంటాడు .
3,దాని కాపురం అది చేసుకుంటోంది .
4,రెండో పిల్ల మొగుడే చిరుతగాడు NULL .
3,నేలమీద నిలిసి ఆకసానికి చేతులు చాపుతాడు .
3,అన్నీ బడాయి మాటలు NULL .
2,అవి ఏవీ జమ కావు .
2,పొల్లను అత పెడతాడు .
4,వాడిది ఏడిసిన కొంప అగుపడుతుంది .
4,ఇంటిది నవ్వుతూ తిరుగుతుంటే నీకే మంచిది NULL .
3,అని చెపితే వినడు .
2,సూడబోతే సుందరాంగుడు NULL .
2,పావురమలె బాగనే ఉండె .
2,నెలకు ఓసారి కూతురు అలిగొత్తది .
3,ఆనికేం రోగమో తెలువది .
3,ఆలిని కాలుసుక తింటాడు .
4,మంచి పోలగాని జూసి మనువు చేతాం .
4,బంగారు కత్తి అని మెడకోసుకుంటామా .
3,అంటే ఇంటి ఆయన వినడు .
3,ఆడదాని బతుకు మొగనితోనే NULL .
3,తెంపి ముడి ఏయడం కురుస NULL .
3,మారు మనువు కూడదు .
3,దాని రాతే అంత అనుకుందాం .
2,అని నీతులు పలుకుతడు .
4,రాతలు కోతలు అనేవి పాతకాలం మాటలు NULL .
3,అని నేను అంటే నా మాట వినడు .
2,ఈ కాలం చదివితేనే మనిషి NULL .
2,లేకుంటే విలువ లేదు .
2,మనవి గోస బతుకులు NULL .
2,ఎండల వానల మిడుకుడు .
2,మంచి కొలువు దొరుకుతది .
2,అని వెంకటిని బడికి పంపింది .
2,పదిదాకా బడికి పోయాడు .
2,పదిల లేవలేదు .
3,ఇక సదువు సాగలేదు .
2,చేతికి పని అంటలేదు .
2,పసుల గాయడు .
2,పొలంల దిగడు .
3,ఏడనో తిరుగుతడు తిండికి ఇంటికి చేరుతడు .
2,మాట వినడు .
2,జులాయిగ తిరుగతడు .
2,పేకాట ఆడతాడు .
2,సినిమాలకు పోతడు .
4,అది గావాలె ఇది గావాలె అంటాడు .
3,అయితే ఇంత గారాబం NULL .
2,ఏడికి కాకుండా .
2,బతికుండగానే కొరివి పెడుతుండు .
2,ఇంటికాడ కాలు నిలవదు .
2,తోటకూరోలె పెరిగిండు .
3,నూగు దోసకాయల్లె ఉండె .
2,ఆశ భూమయి ఏలుతానంటె .
2,నొసలు గాడిదలు కాయమనె .
2,ఆయనకు రాడు .
2,నామాట వినడు .
2,మీటింగులకు అని పోయాడు .
3,పోలీసుల కంట పడిండు .
2,తీసుకపోయి పొట్టు పొట్టు కొట్టిరి .
4,కొడుకు కావాలె అనిపోతే ఏం జరిగింది .
2,చెట్టు నిండా కాయలు ఉంటాయి
2,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
3,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం .
2,వాళ్లు ఏమనుకొంటారు ?
2,ఎందుకమ్మా ఆడపిల్లను కంటావు .
3,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
3,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు
2,వాళ్లకేమీ జబ్బులు రావా ?
4,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ
3,మంచి ఆహారం అందించాలి .
3,ఐరన్ మాత్రలు ఇవ్వాలి .
2,తీరిక ఉండాలి .
3,ఆరోగ్య కార్యకర్త తరచుగా వచ్చి పరీక్షలు చేస్తుండాలి .
4,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి .
3,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం .
3,హనుమంతుని పల్లె దాని పేరు NULL .
3,ఊరి చెరువులో నీళ్లు NULL .
2,అందరికీ సరిపోవును .
2,మంచినీటికి ఒక నూయి NULL .
2,అందులో తియ్యని నీళ్లు NULL .
2,గుడి ఉంది .
2,బడి ఉంది .
2,చిన్న దవాఖానా ఒకటి ఉంది
5,ఊరివారి తగవులు తీర్చ కచేరి సావడి ఉంది .
3,ఆ ఊరిలో రామయ్య సన్నకారు రైతు ఉన్నాడు .
2,ఇద్దరు NULL .
3,ఒక కొడుకు ఒక కూతురు NULL .
3,పిల్ల పేరు నాగమల్లి
3,అందమైన చిన్న తల్లి
3,ముద్ద బంతి పూవు ముద్దులొలుకు ఆ మల్లి NULL .
3,ఊరివారి అందరికీ ముద్దు మురిపాల మల్లి NULL .
2,పొద్దుననే లేస్తుంది .
2,చద్ది బువ్వ తింటుంది .
3,చిన్న చిన్న పనులు చేసి చేనుకు వెడుతుంది .
3,అయ్యకు అన్నం ఇచ్చి . అందరినీ పలకరించి కాలువలో ఆటలాడి కలకలమని తిరుగుతుంది .
4,మల్లి తల్లి చేనుకు ఏలితే ఇల్లు చిన్నబోతుంది .
3,వద్దంటే వినకుండా ఊరంతా తిరుగుతావు .
3,చెరువు గట్టుకు పోయినపుడు దెయ్యం పట్టినదేమో .
2,ఎండి వరుగు అయిపోయెను .
2,తిండి అసలు తినకుండెను .
3,అయినా ఎవరూ దవాఖానా పేరు ఎత్తరు .
5,ఒక్కరికైనా డాక్టరు గుర్తుకు రానే చెట్టుకు పుట్టకు మొక్కి ముడుపు కడతారు .
4,అమ్మలక్కలు అందరూ అయ్యో ఇది ఏమిటి అని ఎవరికి తెలిసిన మందును వారు చెప్పి .
4,గుడిలో విబూది అడిగి బొట్టు పెట్టమని ఒకరు NULL .
4,మంత్రం నీటిని తెచ్చి తాగించమని ఒకరు NULL .
4,తాయెత్తులు కట్టమని దిష్టి తాడు వేయమని పదిమంది పదిరకాల నమ్మకంగా పలికారు .
4,గుప్పెడు ఉప్పుతో దిగతుడిచింది తల్లి పోతుంది దిష్టి అని .
3,పొద్దు బారెడయినా లేవలేదు నాగమల్లి
2,లేచిన మాటా పలుకూ NULL లేదు .
3,ఇంటిలోన కళ లేదు చేనులోన సందడే లేదు .
6,మంచంలోని మల్లిని చుట్టూ ఉన్న మందిని మంత్రాలు తాయెత్తులను చూచి మామ తెల్లబోయె .
3,ఇది ఏమి తెలివి ఇట్లా చంపుతున్నారు .
4,తాళ్లూ తాయెత్తు అంటూ ప్రాణం తీస్తున్నారు .
3,ఇకనైనా కళ్లు తెరచి దవాఖానాకు పదండి .
4,వంటికి రోగం వస్తే డాక్టరును చూడాలి గాని పిచ్చి నమ్మకాలతో పిల్లను చంపేస్తారా .
4,దవాఖానాలో డాక్టరు అమ్మాయిని చూశాడు రోగం ముదిరింది ఇంక బస్తీకి పొమ్మన్నాడు .
3,కన్నీటితో అమ్మ కూలబడి ఏడిచింది
3,కంగారు పడి నాన్న బతిమిలాడుకున్నాడు .
2,ఇక మాకు ఏం తోచలేదు .
4,ఇటు మీ దగ్గరకి వచ్చాం ఏదో మీ దయ సామీ బిడ్డను దక్కించండి .
4,కన్నతండ్రి బాధతో కాళ్లావేళ్లా పడసాగె డాక్టరు పదపదమని బస్తీ అపుడు తీసుకుపోయె .
3,తరగని రోగం ముదిరింది .
2,ఇంత ముంచుకొచ్చింది .
