,gender,sentences
100,,బొప్పాయి సులభంగా పెరిగే చెట్టు NULL .
101,f,దీనికి పెద్ద చోటు అవసరం లేదు .
102,,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు NULL .
103,,చెట్టు కాయలుంటాయి .
104,f,వారానికి ఒక పండు తప్పకుండా పండుతుంది .
105,f,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .
106,any,పచ్చి బొప్పాయి కాయలతో కూరలు వండుకోవచ్చు .
107,n,"బొప్పాయి కాయ , గింజలు , పాలు చాలా జబ్బులు పోగొడతాయి ."
108,,కంటి జబ్బులకు బొప్పాయి పండు మంచి మందు NULL .
109,any,బొప్పాయి తింటే రేచీకటి దగ్గరకు రాలేదు .
110,,ఆడవాళ్లు కడుపుతో ఉంటే బొప్పాయి తినగూడదు అంటారు .
111,f,ఇది నిజం కాదు .
112,,పైగా బిడ్డకు ఎంతో మంచిది NULL .
113,,"మల బద్దకానికి బొప్పాయి పాలు , నీళ్లు , తేనె కలిపి తాగండి ."
114,,బొప్పాయి గింజలు నూరి పాలలో కలిపి తాగండి .
115,any,ఏలిక పాములు పడి .
116,,బొప్పాయి కాయ గుజ్జు రోజూ పూయండి .
117,any,కురుపులు మాడి .
118,,చూడండి !
119,,బొప్పాయి ఎంత గొప్పదో NULL !
120,any,ఒక మునగచెట్టు ఉంటే .
121,f,కూరకోసం వెతికే పని ఉండదు .
122,f,మునగ చేసే మేలు మనలో చాలామందికి తెలియదు .
123,,మునగాకు కూర కళ్లకు ఎంతో మంచిది NULL .
124,any,పూత కూరలో వేసుకోవచ్చు .
125,,మునగలు చాలా రకాలు NULL .
126,,వీటిలో బెంగుళూరు రకం చాలా మంచిది NULL .
127,f,కాయ లావుగా పొడవుగా ఉంటుంది .
128,f,లోపల గుజ్జు బాగా ఉంటుంది .
129,,ముదిరినా తగ్గని రుచి దీనిది NULL .
130,,మంచి రకం మునగ ఏడాదిలో కాపుపడుతుంది .
131,,మునగ కాసేది కాయలు కాదు రూపాయలే NULL .
132,any,పాల దిగుబడి పెరగాలంటే -
133,f,పాల దిగుబడి పెరిగితే మన ఆదాయం పెరుగుతుంది .
134,any,మెలకువగా పాడి చేసుకుంటే దిగుబడి బాగా పెంచుకోవచ్చు .
135,any,పచ్చి గడ్డి మేత వేసేటప్పుడు కంది వేయాలి .
136,f,దీని అరలీటరు పాలు దిగుబడి పెరుగుతుంది .
137,any,పశువును బాగా కడగాలి .
138,any,"కొట్టంలో పేడ , ఈగలు , దోమలు లేకుండా చూచుకోవాలి ."
139,any,పాలిచ్చేటప్పుడు గొడ్డును భయపెట్టగూడదు .
140,any,అది సంతోషంగా ఉండాలి .
141,f,దీని పాల దిగుబడి పెరుగుతుంది .
142,any,దూడకు మొదట పాలు తాపాలి .
143,any,తరువాత పాలు పిండాలి .
144,any,చివరి పాలు దూడకు వదల .
145,any,పాలు రోజూ ఒకే సమయంలో పిండాలి .
146,any,తొందర తొందరగా పిండాలి .
147,any,అప్పుడప్పుడు మానివేయ .
148,any,పశువు జబ్బుతో ఉంటే పాలు పిండగూడదు .
149,,అరటి సులభంగా పెరిగే చెట్టు NULL .
150,,దీనికి కొద్ది చోటు చాలు NULL .
151,any,ఇంటిలో ఒక పిలక నాటుకుంటే .
152,f,ఏళ్ల తరబడి ఉంటుంది .
153,any,ఒకటి రెండు పిలకలు ఉంచి మిగిలిన వాటిని తీసి .
154,any,గెల కోసిన చెట్టును నరికి .
155,,వీటిలో పచ్చవి తొందరగా కాపుకు వచ్చే రకం NULL .
156,f,ఈ చెట్టు పొట్టిగా ఉంటుంది .
157,,అరటికి పచ్చి పేడ మంచి ఎరువు NULL .
158,,పూతకు వచ్చినప్పుడు యూరియా వాడడం మంచిది NULL .
159,f,పెద్ద గెల దిగుతుంది .
160,f,కాయ సైజు పెరుగుతుంది .
161,any,అరటికి తడి ఆరకుండా నీరు ఉండాలి .
162,any,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే .
163,,ఈ సంగతి మీకు తెలుసా
164,f,మూడు ఆపిల్ పళ్లలో ఉండే బలం ఒక అరటి పండులో ఉంది .
165,f,అదనంగా సంపాదించాలని అందరికీ ఉంటుంది .
166,,ఏదో చేయాలి అనుకుంటాము .
167,,కానీ అందుబాటులో ఉండే పనులు మనకు కనబడవు .
168,,కూరగాయలు పండించలేం .
169,,కానీ రెండు కొబ్బరి మొలకలు నాటుకోవచ్చుగదా !
170,f,చెట్టు పెరిగి పైకి పోతుంది .
171,f,మనకు అడ్డం రాదు .
172,,కొబ్బరిలో సంకరజాతివి నాటుకొంటే మంచిది NULL .
173,n,తొందరగా కాపు పడతాయి .
174,any,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .
175,any,చెట్టు మొదట తడి ఆరకుండా చూచుకోవాలి .
176,any,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే .
177,f,దీనికొక ఉపాయం ఉంది .
178,any,గుంటను ఒక బండతో కప్పివేయాలి .
179,any,మనం వాడిన నీళ్లు ఈ గుంటలో పడేటట్టు చేయాలి .
180,f,చెట్టు తొందరగా పెరుగుతుంది .
181,f,ఒక కొబ్బరి చెట్టు సుమారుగా కాపు పడితే అయిదు వందల రూపాయల ఆదాయం ఉంటుంది .
182,f,ఇంతకంటే సులభమైన సంపాదన ఉంటుందా !
183,,రెండు కొబ్బరి మొలకలు నాటండి !
184,,వెంకటాపురంలో సోములు ఉండేవాడు .
185,,సోములు ఏ పనీ చేసేవాడు .
186,any,నేను ఎందుకు పని చేయాలి .
187,,ఏనాటికైనా నేను ధనవంతుడను అవుతాను .
188,any,అది నా జాతకంలోనే రాసి .
189,,అని సోములు అనేవాడు .
190,,పని చేసి బతుకు అనేవాడు .
191,any,ధనవంతునివి కావాలి అంటే పని చేయాలి .
192,,సోములు వినేవాడు .
193,m,చివరికి పోచాలు సోములుతో విసిగిపోయాడు .
194,any,సోములుకు పెళ్లి చేయాలి .
195,,సోములుకు పెళ్లి చేశారు .
196,f,సోములుకు అనసూయతో పెళ్లి జరిగింది .
197,any,సోములును ఒక దారికి తేవాలి .
198,any,పని చేయించాలి .
199,f,అని అనసూయ అనుకుంది .
200,f,ఒక రోజు ఉదయాన లేచింది .
201,f,నాకు కలలో ఒక దేవత కనిపించింది .
202,n,మన పెరటిలో లంకెబిందెలు ఉన్నాయట .
203,f,దేవత నాతో చెప్పింది .
204,any,అని అనసూయ సోములుతో అంది .
205,,సోములు ముఖంలో సంతోషం నా జాతకం ఇదే అయుండాలి .
206,m,పలుగు పార తీసుకున్నాడు .
207,m,లంకెబిందెల పెరటిలో తవ్వాడు .
208,m,పది రోజులు తవ్వాడు .
209,any,అయినా లంకెబిందెలు కనపడలేదు .
210,n,కానీ గోతిలో నీళ్లు చేరాయి .
211,f,పైసా లేకుండా బావి పని అయింది .
212,f,అందుకు అనసూయ సంతోషించింది .
213,any,పెరడంతా దున్నాలి .
214,n,అప్పుడే లంకెబిందెలు దొరుకుతాయి .
215,,సోములుకు ఆశ చావలేదు .
216,m,పెరడంతా దున్నాడు .
217,m,వారం రోజులు దున్నాడు .
218,,అయినా లంకెబిందెల జాడలేదు .
219,f,అనసూయకు సంతోషం అయింది .
220,f,పెరడంతా అరటి పిలకలు నాటింది .
221,f,నా కల నిజం అవుతుంది .
222,f,దేవత మన మంచికే చెప్పింది .
223,any,లంకెబిందెలు పెరటిలో దొరకలేదు .
224,,ఆశ చావలేదు .
225,any,అయినా బావిలో బిందెలు కనపడలేదు .
226,n,రోజురోజుకు నీళ్లు ఊరాయి .
227,f,అనసూయ పెరటిలో పాదులు తీసింది .
228,any,అరటి పిలకలకు నీళ్లు అందేలా .
229,n,కొన్ని రోజులకు అరటి గెలలు వేశాయి .
230,f,అనసూయ వాటిని అంగడికి పంపింది .
231,f,పైసలు జమ చేసింది .
232,f,ఆ పైసలు సోములు చేతిలో ఉంచింది .
233,,అనగనగా ఒక ఊరు NULL .
234,,ఆ ఊరి పేరు సిరిపురం NULL .
235,,సోములు సీతాలు ఆలుమగలు NULL .
236,,వాళ్లది సిరిపురం NULL .
237,f,మొదటిసారి కూతురు పుట్టింది .
238,any,సోములు సీతాలు మురిసి .
239,f,రెండోసారి కూతురే పుట్టింది .
240,f,సోములుకు మనసులో మనసు లేదు .
241,,సీతాలును సూటిపోటి మాటలు అనేవాడు .
242,,కొడుకు లేకపోవడం లోటు అని అందరితో అనేవాడు .
243,,కొడుకుని కనకపోవడం సీతాలుదే తప్పు NULL . అని అందరితో అనేవాడు .
244,f,కాన్పులతో సీతాలు పాడయింది .
245,,అయినా సోములు వినలేదు .
246,m,ఎవరో సాధువు ఆ ఊరికి వచ్చాడు .
247,,ఆ సాధువు రోగాలు నయం చేసేవాడు .
248,,మందులు ఇచ్చేవాడు .
249,f,సోములుకు తెలిసింది .
250,m,సోములు సీతాలుతో సాధువును కలిశాడు .
251,m,కొడుకు పుట్టడానికి మందు అడిగాడు .
252,m,సాధువు ఏదో మందు ఇచ్చాడు .
253,m,సోములు సాధువు మాటలు నమ్మాడు .
254,m,అడిగిన ధనం ఇచ్చాడు .
255,m,సీతాలు మందు తినిపించాడు .
256,n,సీతాలుకు నెలలు నిండాయి .
257,f,కాన్పు అయింది .
258,,ఈ సారి కూతురే NULL .
259,any,సోములు కోరిక తీరలేదు .
260,n,సీతాలు బాధలు పెరిగాయి .
261,,ఒకసారి సోములుకు బాగాలేదు .
262,f,"కక్కుడు , పారుడు అయింది ."
263,,దవాఖానాలో ఉంచారు .
264,m,వారం రోజులు దవాఖానాలో ఉన్నాడు .
265,,రోజు డాక్టరు చూసేవాడు .
266,f,ఒకరోజు సోములుకు రత్తాలు దవాఖానాకు వచ్చింది .
267,f,డాక్టరును కలిసింది .
268,f,తన గోడు చెప్పుకుంది .
269,,రత్తాలుకు అయిదుగురు ఆడపిల్లలే NULL .
270,m,అందుకు మొగుడు కొడుతున్నాడు .
271,m,మళ్లీ పెళ్లి చేసుకుంటాడట .
272,,ఈ సారి మగ పిల్లాడు కలిగేలా . అని రత్తాలు డాక్టరుతో ఒకటే ఏడుపు NULL .
273,f,మందులతో లాభం లేదు .
274,f,మగపిల్లవాడు పుట్టడానికి మందులు లేవా అని రత్తాలు అడిగింది .
275,,మగపిల్లవాడా ఆడపిల్లనా NULL .
276,f,ఇది ఎవరి చేతిలో లేదు .
277,f,ఆడవాళ్లకు నెలా నెలా అండం వస్తుంది .
278,n,అండంతో వీర్య కణాలు కలుస్తాయి .
279,f,అప్పుడు పిండం తయారవుతుంది .
280,f,మగ ఆడ అనేది వీర్య కణాలను ఉంటుంది .
281,n,వీర్య కణాలు రెండు రకాలు ఉంటాయి .
282,,ఒక రకంతో ఆడపిల్లలే పుడతారు .
283,,ఇంకో రకంతో మగపిల్లలే పుడతారు .
284,,మగవాళ్లలో ఒకే రకం కణాలుంటే ఆడపిల్లలే పుడతారు .
285,,"రెండు రకాల కణాలు ఉంటే ఆడపిల్లలు పుడతారు , మగపిల్లలు పుడతారు ."
286,,అంతేగాని ఇది ఎవరి చేతిలో లేదు .
287,f,ఆడవాళ్ల తప్పు అసలే కాదు . అని డాక్టరు చెప్పింది .
288,m,సోములు ఇదంతా విన్నాడు .
289,m,తన తప్పు తెలుసుకున్నాడు .
290,m,సీతాలు రాగానే దగ్గరకు తీసుకున్నాడు .
291,m,కొడుకైనా కూతురైనా ఒకటే అన్నాడు .
292,,రాజులు మగడు సాయిలు NULL .
293,,సాయిలు చేసేది పాలేరు పని NULL .
294,,దొరగారి పాలేరు NULL .
295,,నెలకు మూడు కుంచాల జీతం NULL .
296,,నిరుటి కుంచెడే NULL .
297,,కుంచెడు కాలం తాను జీతగాడే NULL .
298,,తాత జీతగాడే NULL .
299,,నాయన జీతగాడే NULL .
300,,రాజులు కూలికి నాలికి పోతది .
301,f,కోతల కాలంలో పరిగె ఏరుకుంటుంది .
302,,దొర ఇంటి పనులకు పోతది .
303,,అయితే ఏమీ ఉంది .
304,,ఆరుగాలం పనిచేసినా . అయిదు వేళ్లు నోటిలోకి పోవుట గగనం NULL .
305,any,రాజులు తల్లి ఇంట సుఖపడలేదు .
306,f,ఇంట సుఖం లేదు .
307,,మొదటి బాధలే NULL .
308,,అయినా ఏ నాడు ఏడవలేదు .
309,f,గుండె బలంతో బతికింది .
310,f,అందరితోనూ మంచి అనిపించుకుంది .
311,,మొదలు వరుసగా నలుగురు ఆడసంతానం NULL .
312,,ఇద్దరు పోయినారు .
313,,ఇద్దరు మిగిలినారు .
314,,మనం పేదోళ్లం NULL .
315,,కూతురే కొడుకు అనుకుందాం .
316,any,మగ పిల్లాడు లేకుంటే మానే .
317,,మనకి భూములా జాగాలా NULL .
318,,పశువులా పంటలా NULL .
319,,వెండా బంగారమా NULL .
320,,బంగళాలా NULL .
321,any,సాయిలు వినలేదు .
322,,నీ మాట నిజమే NULL .
323,f,మనకు ముల్లె లేదు .
324,,ఎందరు పోరలు అని అడుగుతారు .
325,f,ఆడపిల్ల మనకు కాదు .
326,,అక్కడకే పోతది .
327,m,దీపం కాపాడుతాడు .
328,m,వంశం నిలుపుతాడు .
329,m,ముసలితనంలో ఇంత కూడు పెడతాడు .
330,m,చనిపోతే తలకు కొరివి పెడతాడు .
331,,కొడుకు పుట్టిండు .
332,,సాయిలుకు రాజులకు సంతోషం NULL .
333,m,సాయిలు ఎంతో మురిసిపోయాడు .
334,,కొడుకు పేరు వెంకట NULL .
335,f,బిడ్డలకు మనువు చేసింది .
336,,మొదటి కూతురు బతుకు NULL .
337,,దాని మొగుడు మంచోడు NULL .
338,m,తనది తనకు చాలు అంటడు .
339,m,నాలుగు పైసలు దాచుకుంటాడు .
340,f,దాని కాపురం అది చేసుకుంటోంది .
341,,రెండో పిల్ల మొగుడే చిరుతగాడు NULL .
342,m,నేలమీద నిలిసి ఆకసానికి చేతులు చాపుతాడు .
343,,అన్నీ బడాయి మాటలు NULL .
344,n,అవి ఏవీ జమ కావు .
345,m,పొల్లను అత పెడతాడు .
346,,వాడిది ఏడిసిన కొంప అగుపడుతుంది .
347,,ఇంటిది నవ్వుతూ తిరుగుతుంటే నీకే మంచిది NULL .
348,m,అని చెపితే వినడు .
349,,సూడబోతే సుందరాంగుడు NULL .
350,n,పావురమలె బాగనే ఉండె .
351,,నెలకు ఓసారి కూతురు అలిగొత్తది .
352,,ఆనికేం రోగమో తెలువది .
353,m,ఆలిని కాలుసుక తింటాడు .
354,,మంచి పోలగాని జూసి మనువు చేతాం .
355,,బంగారు కత్తి అని మెడకోసుకుంటామా .
356,m,అంటే ఇంటి ఆయన వినడు .
357,,ఆడదాని బతుకు మొగనితోనే NULL .
358,,తెంపి ముడి ఏయడం కురుస NULL .
359,f,మారు మనువు కూడదు .
360,,దాని రాతే అంత అనుకుందాం .
361,,అని నీతులు పలుకుతడు .
362,,రాతలు కోతలు అనేవి పాతకాలం మాటలు NULL .
363,m,అని నేను అంటే నా మాట వినడు .
364,,ఈ కాలం చదివితేనే మనిషి NULL .
365,f,లేకుంటే విలువ లేదు .
366,,మనవి గోస బతుకులు NULL .
367,,ఎండల వానల మిడుకుడు .
368,,మంచి కొలువు దొరుకుతది .
369,f,అని వెంకటిని బడికి పంపింది .
370,m,పదిదాకా బడికి పోయాడు .
371,any,పదిల లేవలేదు .
372,,ఇక సదువు సాగలేదు .
373,any,చేతికి పని అంటలేదు .
374,,పసుల గాయడు .
375,m,పొలంల దిగడు .
376,,ఏడనో తిరుగుతడు తిండికి ఇంటికి చేరుతడు .
377,m,మాట వినడు .
378,,జులాయిగ తిరుగతడు .
379,m,పేకాట ఆడతాడు .
380,,సినిమాలకు పోతడు .
381,m,అది గావాలె ఇది గావాలె అంటాడు .
382,,అయితే ఇంత గారాబం NULL .
383,any,ఏడికి కాకుండా .
384,any,బతికుండగానే కొరివి పెడుతుండు .
385,f,ఇంటికాడ కాలు నిలవదు .
386,,తోటకూరోలె పెరిగిండు .
387,n,నూగు దోసకాయల్లె ఉండె .
388,,ఆశ భూమయి ఏలుతానంటె .
389,n,నొసలు గాడిదలు కాయమనె .
390,m,ఆయనకు రాడు .
391,m,నామాట వినడు .
392,m,మీటింగులకు అని పోయాడు .
393,,పోలీసుల కంట పడిండు .
394,n,తీసుకపోయి పొట్టు పొట్టు కొట్టిరి .
395,f,కొడుకు కావాలె అనిపోతే ఏం జరిగింది .
396,n,చెట్టు నిండా కాయలు ఉంటాయి
397,,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
398,any,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం .
399,,వాళ్లు ఏమనుకొంటారు ?
400,,ఎందుకమ్మా ఆడపిల్లను కంటావు .
401,,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
402,,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు
403,n,వాళ్లకేమీ జబ్బులు రావా ?
404,,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ
405,any,మంచి ఆహారం అందించాలి .
406,any,ఐరన్ మాత్రలు ఇవ్వాలి .
407,any,తీరిక ఉండాలి .
408,any,ఆరోగ్య కార్యకర్త తరచుగా వచ్చి పరీక్షలు చేస్తుండాలి .
409,,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి .
410,,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం .
411,,హనుమంతుని పల్లె దాని పేరు NULL .
412,,ఊరి చెరువులో నీళ్లు NULL .
413,n,అందరికీ సరిపోవును .
414,,మంచినీటికి ఒక నూయి NULL .
415,,అందులో తియ్యని నీళ్లు NULL .
416,f,గుడి ఉంది .
417,f,బడి ఉంది .
418,f,చిన్న దవాఖానా ఒకటి ఉంది
419,f,ఊరివారి తగవులు తీర్చ కచేరి సావడి ఉంది .
420,m,ఆ ఊరిలో రామయ్య సన్నకారు రైతు ఉన్నాడు .
421,,ఇద్దరు NULL .
422,,ఒక కొడుకు ఒక కూతురు NULL .
423,,పిల్ల పేరు నాగమల్లి
424,,అందమైన చిన్న తల్లి
425,,ముద్ద బంతి పూవు ముద్దులొలుకు ఆ మల్లి NULL .
426,,ఊరివారి అందరికీ ముద్దు మురిపాల మల్లి NULL .
427,f,పొద్దుననే లేస్తుంది .
428,f,చద్ది బువ్వ తింటుంది .
429,f,చిన్న చిన్న పనులు చేసి చేనుకు వెడుతుంది .
430,f,అయ్యకు అన్నం ఇచ్చి . అందరినీ పలకరించి కాలువలో ఆటలాడి కలకలమని తిరుగుతుంది .
431,f,మల్లి తల్లి చేనుకు ఏలితే ఇల్లు చిన్నబోతుంది .
432,,వద్దంటే వినకుండా ఊరంతా తిరుగుతావు .
433,,చెరువు గట్టుకు పోయినపుడు దెయ్యం పట్టినదేమో .
434,n,ఎండి వరుగు అయిపోయెను .
435,n,తిండి అసలు తినకుండెను .
436,,అయినా ఎవరూ దవాఖానా పేరు ఎత్తరు .
437,,ఒక్కరికైనా డాక్టరు గుర్తుకు రానే చెట్టుకు పుట్టకు మొక్కి ముడుపు కడతారు .
438,any,అమ్మలక్కలు అందరూ అయ్యో ఇది ఏమిటి అని ఎవరికి తెలిసిన మందును వారు చెప్పి .
439,,గుడిలో విబూది అడిగి బొట్టు పెట్టమని ఒకరు NULL .
440,,మంత్రం నీటిని తెచ్చి తాగించమని ఒకరు NULL .
441,,తాయెత్తులు కట్టమని దిష్టి తాడు వేయమని పదిమంది పదిరకాల నమ్మకంగా పలికారు .
